Q2,Q7,Q8,Q9,Q10,Q11,Q12_1,Q12_2,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q21_1,Q21_2,Q21_3,Q21_4,Q21_5,Q21_6,Q21_7,Q21_8,Q22,Q23,Q24,Q25,Q26_1,Q26_2,Q26_3,Q26_4,Q26_5,Q26_6,Q26_7,Q27,Q28,Q35_1,Q35_2,Q35_3,Q35_4,Q35_5,Q36_1,Q36_2,Q36_3,Q36_4,Q36_5,Q36_6,Q36_7,Q36_8,Q36_9,Q37,Q38_1,Q38_2,Q38_3,Q38_4,Q38_5,Q38_6,Q38_7,Q38_8,Q38_9,Q39_1,Q39_2,Q39_3,Q40,Q41_1,Q41_2,Q42_1,Q42_2,Q43_1,Q43_2,Q43_3,Q43_4,Q43_5,Q43_6,Q43_7,Q43_8,Q43_9,Q43_10,Q44_1_1,Q44_1_2,Q44_1_3,Q44_1_4,Q44_1_5,Q44_2_1,Q44_2_2,Q44_2_3,Q44_2_4,Q44_2_5,Q45,Q49,Q50,Q51,Q52,Q52_13_Other,Q53_1,Q53_2,Q53_3,Q53_4,Q53_5,Q53_6,Q53_7,Q54,Q54_6_Other,Q55,Q55_8_Other,Q56,Q56_4_Other,Q56_18_Other,Q57,DBMSOA,DBIMDDECILE,DBWARD,DBNEIGHBOURHOOD,Q26WEBWBSMETRIC,WEIGHT,SWEMWBS_Score,SWEMWBSCategories
Very satisfied,5 - Fantastic,Strongly agree,Neither safe nor unsafe,Very safe,Not changed much (hasn't got better or worse),Fairly strongly,Fairly strongly,I feel the same,Neither agree nor disagree,Tend to disagree,Fairly likely,Good,"Yes, but I no longer smoke","No, I have never used e-cigarettes","At least 3 portions, but less than 5 portions",Definitely agree,Tend to disagree,Tend to agree,Definitely agree,Tend to agree,Definitely agree,Definitely agree,Definitely disagree,Once or twice a week,You and other household members always had enough of the kinds of foods you wanted to eat,7 days,7 days,Often,Some of the time,Often,Often,All of the time,Often,All of the time,Not at all,Never,1 hour but less than 2 and a half hours,Some but less than 1 hour,1 hour but less than 2 and a half hours,None,More than 2 and a half hours,In person,In person,In person,In person,In person,Not attended/done at least three times in past 12 months,Not attended/done at least three times in past 12 months,Not attended/done at least three times in past 12 months,Not attended/done at least three times in past 12 months,No, , , , , , , , , ,Choir of man,Belgrade theatre, ,No - I don't think it has changed my perception,2 or 3,2 or 3,Yes,Yes,0 - Not worried at all,0 - Not worried at all,0 - Not worried at all,0 - Not worried at all,0 - Not worried at all,0 - Not worried at all,0 - Not worried at all,0 - Not worried at all,0 - Not worried at all,0 - Not worried at all,Not,Not,Not,No and I do not wish to for now,Not,Not,Not,Not,No and I do not wish to for now,Not,No,Female,55-64,Married,In part time paid work, ,0,0,0,0,1,0,1,Heterosexual, ,"Christian (including Church of England, Catholic, Protestant, and all other Christian denominations)", ,White: British (incl. English/Welsh/Scottish/Northern Irish), , ,Not an ex-services member or their dependant,E02001964,2,Henley Ward,NE,26.02,.605999412,29,High Mental Wellbeing
Fairly satisfied,2,Tend to disagree,Very unsafe,Fairly safe,Not changed much (hasn't got better or worse),Not at all strongly,Fairly strongly,I feel the same,Definitely disagree,Don't know,Not very likely,Good,"Yes, I currently smoke","Yes, but I no longer use e-cigarettes","At least 3 portions, but less than 5 portions",Definitely disagree,Tend to agree,Tend to agree,Tend to agree,Definitely agree,Definitely agree,Tend to agree,Definitely disagree,Once or twice a week,You and other household members always had enough of the kinds of foods you wanted to eat,7 days,7 days,Often,Often,Often,Often,Often,Some of the time,Often,"Yes, limited a little",Never,None,1 hour but less than 2 and a half hours,None,None,None,Not attended/done at least three times in past 12 months,In person,In person,In person,In person,Not attended/done at least three times in past 12 months,Not attended/done at least three times in past 12 months,Not attended/done at least three times in past 12 months,In person,No, , , , , , , , , ,Theatre,Local pub,Garden centre,Yes - its has changed my perception in a negative way,None,None,No,Don't know,1,0 - Not worried at all,5,2,2,3,5,1,2,2,Not,"Yes, I volunteer informally (such as by helping neighbours)",Not,Not,Not,Not,"Yes, I volunteer informally (such as by helping neighbours)",Not,Not,Not,No,Male,55-64,Married,Retired, ,0,0,0,0,1,0,0,Heterosexual, ,No religion, ,White: British (incl. English/Welsh/Scottish/Northern Irish), , ,Not an ex-services member or their dependant,E02001961,1,Longford Ward,NE,24.11,1.02227469,27,Average Mental Wellbeing
Fairly dissatisfied,1 - Terrible,Tend to disagree,Very unsafe,Fairly unsafe,Got worse to live in,Not very strongly,Fairly strongly,I feel less of a sense of belonging,Neither agree nor disagree,Don't know,Not at all likely,Very bad,"Yes, I currently smoke","Yes, but I no longer use e-cigarettes","At least 3 portions, but less than 5 portions",Tend to disagree,Tend to agree,Tend to disagree,Definitely disagree,Definitely disagree,Definitely disagree,Definitely disagree,Definitely disagree,Never,Often you and other household members didn’t have enough to eat,Prefer not to say,0 days,None of the time,None of the time,Rarely,Rarely,Rarely,None of the time,Rarely,"Yes, limited a lot",Almost all the time,None,None,None,None,None,Not attended/done at least three times in past 12 months,Not attended/done at least three times in past 12 months,Not attended/done at least three times in past 12 months,Not attended/done at least three times in past 12 months,Not attended/done at least three times in past 12 months,Not attended/done at least three times in past 12 months,Not attended/done at least three times in past 12 months,Not attended/done at least three times in past 12 months,Not attended/done at least three times in past 12 months,No, , , , , , , , , , , , ,No - I don't think it has changed my perception,None,None,Don't know,Don't know,10 - Very worried,0 - Not worried at all,10 - Very worried,10 - Very worried,10 - Very worried,10 - Very worried,10 - Very worried,10 - Very worried,10 - Very worried,0 - Not worried at all,Not,Not,Not,No and I do not wish to for now,Not,Not,Not,Not,No and I do not wish to for now,Not,No,Male,45-54,Single (Never married and never registered a same-sex civil partnership),Long-term sick or disabled, ,0,0,0,0,1,0,0,Other,I'm straight male,"Christian (including Church of England, Catholic, Protestant, and all other Christian denominations)", ,White: British (incl. English/Welsh/Scottish/Northern Irish), , ,Not an ex-services member or their dependant,E02001963,5,Bablake Ward,NW,13.33,1.190807727,11,Probable Depression
Fairly satisfied,2,Neither agree nor disagree,Fairly unsafe,Fairly safe,Not changed much (hasn't got better or worse),Fairly strongly,Fairly strongly,I feel the same,Neither agree nor disagree,Definitely disagree,Fairly likely,Bad,"Yes, but I no longer smoke","No, I have never used e-cigarettes",At least one portion but less than 3 portions,Definitely agree,Tend to agree,Tend to agree,Tend to agree,Tend to agree,Tend to agree,Tend to agree,Tend to disagree,Once or twice a month,You and other household members always had enough of the kinds of foods you wanted to eat,I Don't drink,0 days,Rarely,Rarely,Rarely,Some of the time,Some of the time,Often,Often,"Yes, limited a little",Quite often,None,Some but less than 1 hour,Some but less than 1 hour,Some but less than 1 hour,Some but less than 1 hour,Not attended/done at least three times in past 12 months,Not attended/done at least three times in past 12 months,In person,Not attended/done at least three times in past 12 months,Not attended/done at least three times in past 12 months,In person,Not attended/done at least three times in past 12 months,Not attended/done at least three times in past 12 months,In person,Yes,Not attended/done at least three times in past 12 months,Not attended/done at least three times in past 12 months,Not attended/done at least three times in past 12 months,Not attended/done at least three times in past 12 months,Not attended/done at least three times in past 12 months,In person,Not attended/done at least three times in past 12 months,Not attended/done at least three times in past 12 months,In person,Gardeners world live, , ,No - I don't think it has changed my perception,None,None,No,No,9,4,3,4,7,8,5,5,4,6,Not,Not,Not,No and I do not wish to for now,Not,Not,Not,Not,No and I do not wish to for now,Not,No,Female,35-44,Co-habiting,In part time paid work, ,0,0,2,0,3,0,0,Heterosexual, ,"Christian (including Church of England, Catholic, Protestant, and all other Christian denominations)", ,White: British (incl. English/Welsh/Scottish/Northern Irish), , ,Not an ex-services member or their dependant,E02001958,2,Longford Ward,NE,18.59,1.100362103,20,Possible Depression
Fairly dissatisfied,4,Tend to disagree,Very unsafe,Fairly unsafe,Got worse to live in,Not very strongly,Not very strongly,I feel less of a sense of belonging,Tend to disagree,Definitely disagree,Not very likely,Bad,"Yes, but I no longer smoke","No, I have never used e-cigarettes",Less than one portion,Definitely agree,Definitely agree,Tend to agree,Tend to disagree,Tend to disagree,Tend to agree,Tend to disagree,Tend to disagree,Less frequently,Sometimes you and other household members did not have enough to eat,Less than once a week,0 days,None of the time,Rarely,Some of the time,Rarely,Rarely,Some of the time,Some of the time,"Yes, limited a little",Almost all the time,Some but less than 1 hour,1 hour but less than 2 and a half hours,1 hour but less than 2 and a half hours,None,1 hour but less than 2 and a half hours,Not attended/done at least three times in past 12 months,Not attended/done at least three times in past 12 months,Not attended/done at least three times in past 12 months,Not attended/done at least three times in past 12 months,Not attended/done at least three times in past 12 months,Not attended/done at least three times in past 12 months,Not attended/done at least three times in past 12 months,Not attended/done at least three times in past 12 months,In person,No, , , , , , , , , ,Crocheting,Cross stitch,Reading,No - I don't think it has changed my perception,None,None,No,No,8,0 - Not worried at all,7,8,4,8,0 - Not worried at all,6,10 - Very worried,0 - Not worried at all,Not,Not,Not,No and I do not wish to for now,Not,Not,Not,Not,No and I do not wish to for now,Not,No,Female,65-74,Divorced,Retired, ,0,0,0,0,0,1,0,Heterosexual, ,"Christian (including Church of England, Catholic, Protestant, and all other Christian denominations)", ,White: British (incl. English/Welsh/Scottish/Northern Irish), , ,Not an ex-services member or their dependant,E02001978,7,Lower Stoke Ward,SE,16.36,.481338542,16,Probable Depression
Fairly dissatisfied,I haven't visited Coventry City Centre in the last year,I haven't visited Coventry City Centre in the last year,Fairly unsafe,Neither safe nor unsafe,Got worse to live in,Very strongly,Very strongly,I feel the same,Tend to agree,Don't know,Not very likely,Good,No,"No, I have never used e-cigarettes",At least 5 portions,Definitely agree,Definitely agree,Definitely agree,Definitely agree,Tend to agree,Tend to agree,Definitely agree,Tend to disagree,Never,You and other household members always had enough of the kinds of foods you wanted to eat,2-4 days,2 days,Some of the time,Some of the time,Some of the time,Some of the time,Some of the time,Some of the time,Often,"Yes, limited a little",Only sometimes,None,1 hour but less than 2 and a half hours,Some but less than 1 hour,None,None,Not attended/done at least three times in past 12 months,Not attended/done at least three times in past 12 months,Not attended/done at least three times in past 12 months,Not attended/done at least three times in past 12 months,Not attended/done at least three times in past 12 months,Not attended/done at least three times in past 12 months,Not attended/done at least three times in past 12 months,Not attended/done at least three times in past 12 months,In person,No, , , , , , , , , , , , ,No - I don't think it has changed my perception,None,None,Yes,Don't know,3,0 - Not worried at all,5,3,5,5,5,3,5,5,Not,Not,Not,No and I do not wish to for now,Not,Not,Not,Not,No and I do not wish to for now,Not,No,Female,65-74,Married,Retired, ,0,0,0,0,0,1,0,Heterosexual, ,"Christian (including Church of England, Catholic, Protestant, and all other Christian denominations)", ,White: British (incl. English/Welsh/Scottish/Northern Irish), , ,Not an ex-services member or their dependant,E02001970,5,Wyken Ward,NE,19.98,.518297647,22,Average Mental Wellbeing
Fairly satisfied,4,Tend to agree,Very unsafe,Neither safe nor unsafe,Got worse to live in,Not very strongly,Not very strongly,I feel the same,Tend to agree,Definitely disagree,Fairly likely,Fair,No,"No, I have never used e-cigarettes",At least 5 portions,Definitely agree,Tend to agree,Definitely agree,Tend to disagree,Definitely agree,Tend to disagree,Definitely agree,Definitely agree,Less frequently,"You and other household members had enough to eat, but not always the kinds of food you wanted",I Don't drink,0 days,Often,Often,Some of the time,Some of the time,All of the time,Some of the time,All of the time,Not at all,Only sometimes,Some but less than 1 hour,More than 2 and a half hours,Some but less than 1 hour,None,More than 2 and a half hours,In person,Not attended/done at least three times in past 12 months,Not attended/done at least three times in past 12 months,Not attended/done at least three times in past 12 months,Not attended/done at least three times in past 12 months,In person,Not attended/done at least three times in past 12 months,In person,Not attended/done at least three times in past 12 months,No, , , , , , , , , ,Transport Museum,I went to Coventry Cathedral,I went to a Hindu Temple in Coventry,Yes - it has changed my perception in a positive way,None,2 or 3,Don't know,Don't know,8,6,5,0 - Not worried at all,0 - Not worried at all,6,6,7,0 - Not worried at all,8,"Yes, I volunteer with an organisation",Not,Not,Not,Not,Not,Not,Not,Not,No but I would like to,No,Female,16-24,Single (Never married and never registered a same-sex civil partnership),In full-time education, ,0,0,0,0,6,0,0,Prefer not to say, ,Hindu, ,Any other ethnic group (please specify in the box below, ,Asian other,Not an ex-services member or their dependant,E02001968,2,Holbrook Ward,NW,24.11,2.655750909,27,Average Mental Wellbeing
Fairly satisfied,4,Strongly agree,Fairly safe,Very safe,Not changed much (hasn't got better or worse),Not very strongly,Fairly strongly,I feel the same,Definitely agree,Tend to disagree,Very likely,Very good,No,"No, I have never used e-cigarettes",At least 5 portions,Definitely agree,Tend to agree,Definitely agree,Definitely agree,Tend to agree,Definitely agree,Definitely agree,Tend to disagree,Once or twice a month,You and other household members always had enough of the kinds of foods you wanted to eat,I Don't drink,0 days,Often,Some of the time,Some of the time,Often,Often,Often,Often,Not at all,Never,1 hour but less than 2 and a half hours,More than 2 and a half hours,More than 2 and a half hours,Some but less than 1 hour,More than 2 and a half hours,Not attended/done at least three times in past 12 months,Not attended/done at least three times in past 12 months,Not attended/done at least three times in past 12 months,Not attended/done at least three times in past 12 months,Not attended/done at least three times in past 12 months,Not attended/done at least three times in past 12 months,Not attended/done at least three times in past 12 months,Not attended/done at least three times in past 12 months,Not attended/done at least three times in past 12 months,Yes,Not attended/done at least three times in past 12 months,Not attended/done at least three times in past 12 months,Not attended/done at least three times in past 12 months,Not attended/done at least three times in past 12 months,Not attended/done at least three times in past 12 months,In person,Not attended/done at least three times in past 12 months,Not attended/done at least three times in past 12 months,In person, , , ,No - I don't think it has changed my perception,None,None,Yes,Don't know,2,1,3,1,0 - Not worried at all,0 - Not worried at all,0 - Not worried at all,0 - Not worried at all,0 - Not worried at all,3,Not,"Yes, I volunteer informally (such as by helping neighbours)",Not,Not,Not,Not,"Yes, I volunteer informally (such as by helping neighbours)",Not,Not,Not,No,Male,35-44,Married,In full time paid work, ,1,1,0,0,2,0,0,Heterosexual, ,Hindu, ,Asian: Asian British Indian, , ,Not an ex-services member or their dependant,E02001975,6,Wyken Ward,NE,23.21,1.554370296,26,Average Mental Wellbeing
Fairly satisfied,4,Tend to agree,Neither safe nor unsafe,Fairly safe,Not changed much (hasn't got better or worse),Fairly strongly,Fairly strongly,I feel the same,Neither agree nor disagree,Tend to disagree,Fairly likely,Good,No,"No, I have never used e-cigarettes",At least one portion but less than 3 portions,Definitely agree,Definitely agree,Tend to agree,Tend to agree,Tend to agree,Tend to agree,Tend to agree,Tend to agree,Once or twice a week,"You and other household members had enough to eat, but not always the kinds of food you wanted",Once a week,1 day,None of the time,Some of the time,Some of the time,Rarely,Some of the time,Some of the time,Some of the time,Not at all,Quite often,None,Some but less than 1 hour,Some but less than 1 hour,Some but less than 1 hour,Some but less than 1 hour,Not attended/done at least three times in past 12 months,In person,In person,In person,Not attended/done at least three times in past 12 months,Not attended/done at least three times in past 12 months,In person,Not attended/done at least three times in past 12 months,In person,No, , , , , , , , , ,Ivy House basement events,Empire events, ,Yes - it has changed my perception in a positive way,None,1,Yes,No,7,0 - Not worried at all,8,0 - Not worried at all,8,8,0 - Not worried at all,5,8,0 - Not worried at all,Not,Not,Not,No and I do not wish to for now,Not,Not,Not,Not,No and I do not wish to for now,Not,No,Male,25-34,Co-habiting,Not registered unemployed but actively seeking work (i.e. have actively looked for work in the last 4 weeks), ,0,0,0,0,2,0,0,Heterosexual, ,No religion, ,White: British (incl. English/Welsh/Scottish/Northern Irish), , ,Not an ex-services member or their dependant,E02001964,1,Henley Ward,NE,17.43,5.7502816,18,Possible Depression
Very dissatisfied,3,Tend to agree,Very unsafe,Neither safe nor unsafe,Got worse to live in,Not very strongly,Not at all strongly,I feel the same,Tend to disagree,Definitely disagree,Fairly likely,Good,"Yes, but I no longer smoke","No, I have never used e-cigarettes","At least 3 portions, but less than 5 portions",Definitely agree,Tend to disagree,Tend to agree,Tend to agree,Tend to agree,Definitely agree,Tend to agree,Don't know,Once or twice a month,You and other household members always had enough of the kinds of foods you wanted to eat,Less than once a week,0 days,Some of the time,Some of the time,Rarely,Some of the time,Some of the time,Some of the time,Often,Not at all,Never,More than 2 and a half hours,More than 2 and a half hours,1 hour but less than 2 and a half hours,Some but less than 1 hour,Some but less than 1 hour,Not attended/done at least three times in past 12 months,In person,In person,Not attended/done at least three times in past 12 months,In person,In person,Not attended/done at least three times in past 12 months,In person,In person,Yes,In person,In person,In person,In person,In person,In person,Not attended/done at least three times in past 12 months,In person,In person, , , ,No - I don't think it has changed my perception,1,1,Don't know,Don't know,0 - Not worried at all,0 - Not worried at all,3,0 - Not worried at all,0 - Not worried at all,0 - Not worried at all,0 - Not worried at all,0 - Not worried at all,0 - Not worried at all,0 - Not worried at all,Not,Not,Not,No and I do not wish to for now,Not,Not,Not,Not,No and I do not wish to for now,Not,No,Female,35-44,Married,In full time paid work, ,0,1,1,1,2,0,0,Heterosexual, ,No religion, ,White: British (incl. English/Welsh/Scottish/Northern Irish), , ,Not an ex-services member or their dependant,E02001968,3,Radford Ward,NW,19.25,1.822325625,21,Average Mental Wellbeing
