IOBS,RESPID,QA,QB,Q1,Q2_1,Q2_2,Q2_3,Q2_4,Q2_5,Q3_1,Q3_2,Q3_3,Q3_4,Q4,Q4DKA,Q4_RCA,Q4_RCB,Q4_RCC,Q4_RCD,Q4_RCE,Q4_RCF,Q4_RCG,Q4_RCH,Q4_RCI,Q4_RCJ,Q4_RCK,Q4_RCL,Q4_RCM,Q4_RCN,Q4_RCO,Q4_RCP,Q4_RCQ,Q4_RCR,Q4_RCS,Q4_RCT,Q5,Q6_1,Q6_2,Q6_3,Q6_4,Q6_5,Q7A,Q7B,Q7C,Q7D,Q7E,Q7F,Q7G,Q7H,Q7I,Q8,Q9A,Q9B,Q9C,Q9D,Q9E,Q9F,Q9G,Q9H,Q10A,Q10B,Q10C,Q10D,Q10E,Q10F,Q10G,Q10H,Q11,Q11A,Q12,Q12DKA,Q13_1,Q13_2,Q13_3,Q13_4,Q13_5,Q14_1,Q14_2,Q14_3,Q14_4,Q14_5,Q14_6,Q15,Q15B,Q16,Q17,Q17DKA,Q18,Q18REFA,Q19,Q20,Q21,Q22,STYPE,WARD,AREA,TYPE,ACORN,WEIGHT
1,1,50-64,Female,Yes,Yes,No,No,Yes,Yes,Strongly disagree,Not sure,Strongly disagree,Agree,Keeping the City vibrant.,,,,,,,,,,,,,,,,,,Positive comments,,,,Strongly agree,Agree,Not sure,Strongly agree,Not sure,Agree,,,Live events,Live music,Theatre,,,,,5-6,,,,,,,,,,Events that involve family and friends,Events which are free,Events across different times of the day in different places in the city,Events which are low cost,Offers for exclusive deals with partners such as restaurants and bars,,,Fairly likely,Looking for new experiences,Improving.,,Definitely,Somewhat,Somewhat,Definitely,Somewhat,Fairly important,Fairly important,Very important,Fairly important,Very important,Fairly important,Very important,Fairly important,Agree,Doing up the buildings around the cathedral,,CV3 6NR,,"Yes, limited a lot",White – British,Heterosexual/Straight,No,Lifestyle,Wainbody,South West,CATI,1 - Affluent Achievers,0.8615715
2,2,20-34,Female,Yes,Yes,Not sure,Yes,Yes,Yes,Disagree,Strongly disagree,Strongly disagree,Strongly agree,Assembly gardens,,Assembly/festival garden to stay,,,,,,,,,,,,,,,,,,,,Strongly agree,Not sure,Strongly agree,Agree,Agree,Agree,Museums and galleries,"Pubs, clubs, and bars",Live events,Live music,,,,,,11+,,,,,,,,,Events that are based on my interests,Events that involve family and friends,Events which are free,Events across different times of the day in different places in the city,Events which are low cost,Offers for exclusive deals with partners such as restaurants and bars,Opportunity to earn loyalty points to unlock exclusive experiences and opportunities,,Fairly likely,To see a show or event that I know will appeal to my friend or family member,"home, history, heritage",,Definitely,Somewhat,Definitely,Somewhat,Somewhat,Very important,Fairly important,Fairly important,Fairly important,Very important,Fairly important,Very important,Fairly important,Strongly agree,Indian festival  Community centre for homeless,,7FT,,No,White – British,Heterosexual/Straight,No,Lifestyle,Longford,North East,CATI,Prefer not to say / Unable to code,0.8246246
3,3,50-64,Male,Yes,Yes,Yes,Yes,Yes,Yes,Disagree,Disagree,Disagree,Agree,BUILD ON THE LEGACY,,,,,,,,,,,,,,,,,,Positive comments,,,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Museums and galleries,"Pubs, clubs, and bars",Live events,Live music,Theatre,Cinema,,,,7-8,,,,,,,,,Events that are based on my interests,Events that involve family and friends,Events which are free,Events across different times of the day in different places in the city,Events which are low cost,Offers for exclusive deals with partners such as restaurants and bars,Opportunity to earn loyalty points to unlock exclusive experiences and opportunities,,Extremely likely,The opportunity to show off my city,diverse,,Definitely,Definitely,Definitely,Definitely,Definitely,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Strongly agree,different events put on at the festival gardens and royal park,,CV2 5GU,,No,White – British,Heterosexual/Straight,No,Lifestyle,Lower Stoke,South East,CATI,3 - Comfortable Communities,0.9535254
4,4,50-64,Female,Yes,Yes,No,No,Yes,No,Strongly disagree,Disagree,Strongly disagree,Strongly agree,keep assembly garden,,Assembly/festival garden to stay,,,,,,,,,,,,,,,,,,,,Strongly agree,Agree,Strongly agree,Agree,Agree,Strongly agree,,"Pubs, clubs, and bars",Live events,Live music,Theatre,Cinema,,,,11+,,,,,,,,,Events that are based on my interests,Events that involve family and friends,Events which are free,Events across different times of the day in different places in the city,Events which are low cost,Offers for exclusive deals with partners such as restaurants and bars,Opportunity to earn loyalty points to unlock exclusive experiences and opportunities,,Extremely likely,To see a show or event that I know will appeal to my friend or family member,cathedral,,Definitely,Somewhat,Somewhat,Definitely,Definitely,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Fairly important,Agree,more aware of different areas,,BB4 9TH,,No,White – British,Heterosexual/Straight,No,RDD,Woodlands,South West,CATI,4 - Financially Stretched,0.8615715
5,5,50-64,Female,Yes,Yes,Yes,Yes,Yes,Yes,Disagree,Disagree,Disagree,Agree,"continued cultured events and parades, like before.",,,Arts/theatre/music/cultural events,,,,,,,,,,,,,,,,,,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Museums and galleries,"Pubs, clubs, and bars",Live events,,,Cinema,,,,7-8,,,,,,,,,Events that are based on my interests,Events that involve family and friends,Events which are free,Events across different times of the day in different places in the city,Events which are low cost,Offers for exclusive deals with partners such as restaurants and bars,,,Extremely likely,Visiting the city and seeing existing attractions,"multicultural, very green. diversity.",,Definitely,Definitely,Definitely,Definitely,Definitely,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Fairly important,Agree,"i have been to to the Herbert and volunteer now, more aware of groups, ie: drama group",,CV3 2RW,,No,White – British,Heterosexual/Straight,No,Lifestyle,Wyken,North East,CATI,1 - Affluent Achievers,0.9500341
6,6,65+,Female,Yes,No,No,No,Yes,No,Disagree,Disagree,Not sure,Disagree,PEOPLE BE TOGETHER,,,,,,,,,,,,,,,,,,Positive comments,,,,Agree,Disagree,Agree,Agree,Agree,Agree,,,,,,,"Activities organised by arts-based community groups (e.g. dance, music, arts, etc.)",,,3-4,,,,,,,,,,,,,Events which are low cost,,,,Not very likely,,FRIENDLY POEPLE,,Definitely,Not Sure,Somewhat,Definitely,Definitely,Fairly important,Very important,Fairly important,Don't know / Not sure,Don't know / Not sure,Don't know / Not sure,Very important,Fairly important,Disagree,,,CV5 9JR,,"Yes, limited a lot",White – British,Heterosexual/Straight,No,RDD,Upper Stoke,South East,CATI,4 - Financially Stretched,1.3299649
7,7,65+,Female,Yes,No,No,No,No,No,Strongly agree,Strongly agree,Strongly agree,Agree,I have no idea,,,,,,,,,,,,,,,,,,,,,Don't know,Agree,Not sure,Not sure,Agree,Agree,Strongly agree,,,,,,,,,None of these,,,,,,,,Any other reason,,,,,,,,,None of these / Would not attend,Not very likely,,Lady Godava. Car factories,,Not really,Not Sure,Not Sure,Definitely,Not at all,Fairly important,Fairly important,Very important,Fairly important,Very important,Very important,Very important,Not at all important,Strongly disagree,,,CV5 6EL,,No,White – British,Heterosexual/Straight,No,RDD,Whoberley,South West,CATI,5 - Urban Adversity,0.7896985
8,8,50-64,Male,Yes,Yes,No,No,Yes,No,Disagree,Strongly agree,Not sure,Strongly agree,keep the same events going on in the city centre,,,,,,,,,,,,,Events/facilities e.g. more/better/continue,,,,,,,,,Strongly agree,Agree,Not sure,Agree,Agree,Not sure,Museums and galleries,"Pubs, clubs, and bars",Live events,Live music,,Cinema,"Activities organised by arts-based community groups (e.g. dance, music, arts, etc.)",Faith-based cultural activities,,11+,,,,,,,,,Events that are based on my interests,Events that involve family and friends,Events which are free,Events across different times of the day in different places in the city,Events which are low cost,Offers for exclusive deals with partners such as restaurants and bars,Opportunity to earn loyalty points to unlock exclusive experiences and opportunities,,Fairly likely,Looking for new experiences,,Don't know,Definitely,Not Sure,Not Sure,Definitely,Somewhat,Fairly important,Fairly important,Fairly important,Fairly important,Very important,Don't know / Not sure,Very important,Fairly important,Agree,"Goes to the village, events are common there",,CV3 8GE,,No,White – Irish,Heterosexual/Straight,No,RDD,Whoberley,South West,CATI,Prefer not to say / Unable to code,0.9638936
9,9,20-34,Female,Yes,No,No,No,Yes,No,Disagree,Disagree,Disagree,Strongly agree,More of a reach out for events.,,,,,,,,,,,,,,,,,,,Other,,,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Museums and galleries,"Pubs, clubs, and bars",Live events,Live music,Theatre,Cinema,"Activities organised by arts-based community groups (e.g. dance, music, arts, etc.)",Faith-based cultural activities,,11+,,,,,,,,,Events that are based on my interests,Events that involve family and friends,Events which are free,Events across different times of the day in different places in the city,Events which are low cost,Offers for exclusive deals with partners such as restaurants and bars,Opportunity to earn loyalty points to unlock exclusive experiences and opportunities,,Fairly likely,To see a show or event that I know will appeal to my friend or family member,"Diverse, homely, expanding.",,Definitely,Definitely,Definitely,Definitely,Definitely,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Strongly agree,"The galleries around the Cathedral, such as the Herbert Art Gallery.",,CV15AE,,No,Asian or Asian British – Indian,Heterosexual/Straight,No,Lifestyle,St Michael's,South East,CATI,5 - Urban Adversity,0.9480587
10,10,65+,Male,Yes,Yes,No,No,No,No,Not sure,Agree,Disagree,Agree,A youth orchestra.,,,Arts/theatre/music/cultural events,,,,,,,,,,,,,,,,,,,Agree,Agree,Agree,Agree,Agree,Agree,Museums and galleries,,,Live music,Theatre,,,Faith-based cultural activities,,3-4,,,,,,,,,,Events that involve family and friends,Events which are free,Events across different times of the day in different places in the city,Events which are low cost,,,,Fairly likely,Visiting the city and seeing existing attractions,Multi racial,,Definitely,Somewhat,Definitely,Definitely,Somewhat,Very important,Fairly important,Fairly important,Fairly important,Fairly important,Fairly important,Fairly important,Fairly important,Agree,There was much more musical involvement,,CV4 9LD,,No,White – British,Heterosexual/Straight,No,RDD,Woodlands,South West,CATI,3 - Comfortable Communities,0.8399628
