survey,Please rate the quality of your experience:,I had a good time!,Did the event have an impact on your perception of Coventry?,This experience increases my pride in Coventry as an area.,Please indicate your gender?,What is your age bracket?,Do you identify as disabled?,Please indicate your ethnic origin and cultural background:,Ethnic Group,Sexuality
The Walk - Coventry Embraces,Very Good,Strongly Agree,"Yes, it has improved",Strongly Agree,Female,50 - 64,No,White â€“ British,White British,Heterosexual/Straight
The Walk - Coventry Embraces,Very Good,Strongly Agree,"Yes, it has improved",Strongly Agree,Female,65 +,No,White â€“ British,White British,Heterosexual/Straight
The Walk - Coventry Embraces,Good,Agree,"Yes, it has improved",Agree,Male,50 - 64,No,White â€“ British,White British,Prefer Not To Say
The Walk - Coventry Embraces,Good,Agree,"No, it is the same",Not Sure,Female,50 - 64,No,White â€“ British,White British,Heterosexual/Straight
The Walk - Coventry Embraces,Very Good,Strongly Agree,"Yes, it has improved",Not Sure,Other,50 - 64,No,White â€“ British,White British,Heterosexual/Straight
The Walk - Coventry Embraces,Poor,Disagree,"No, it is the same",Agree,Female,35 - 49,No,White â€“ British,White British,Heterosexual/Straight
The Walk - Coventry Embraces,Not Sure,Agree,"No, it is the same",Disagree,Female,35 - 49,No,Mixed or Multiple - White and Black Caribbean,Mixed or multiple ethnic group,Prefer Not To Say
The Walk - Coventry Embraces,Very Good,Strongly Agree,"Yes, it has improved",Strongly Agree,Female,35 - 49,No,White â€“ British,White British,Heterosexual/Straight
The Walk - Coventry Embraces,Not Sure,Disagree,"Yes, it has worsened",Not Sure,Female,35 - 49,Yes,Any Other White Background,"White Other, White Irish, White Gypsy or Irish Traveller",Heterosexual/Straight
The Walk - Coventry Embraces,Very Good,Strongly Agree,"No, it is the same",Agree,Female,35 - 49,No,Any Other White Background,"White Other, White Irish, White Gypsy or Irish Traveller",Bisexual
The Walk - Coventry Embraces,Very Good,Strongly Agree,"No, it is the same",Strongly Agree,Female,65 +,No,White British,White British,Prefer Not To Say
The Walk - Coventry Embraces,Very Good,Strongly Agree,"Yes, it has improved",Agree,Female,null,No,null,null,null
The Walk - Coventry Embraces,Good,Agree,"Yes, it has improved",Strongly Agree,Female,35 - 49,No,White British,White British,Heterosexual/Straight
