Twitter,Twitter,Twitter,Facebook,Facebook,Facebook,Instagram,Instagram,Instagram
Week Commencing,Number of Twitter Followers,Weekly Change,Week Commencing,Number of Facebook Page likes,Weekly Change,Week Commencing,Number of Instagram Followers,Weekly Change
04-Mar-19,"10,974",,04-Mar-19,21331,,04-Mar-19,"4,694",
11-Mar-19,"12,032","1,058",11-Mar-19,21371,40,11-Mar-19,"4,745",51
18-Mar-19,"12,257",225,18-Mar-19,21586,215,18-Mar-19,"4,800",55
25-Mar-19,"12,298",41,25-Mar-19,21605,19,25-Mar-19,"4,872",72
01-Apr-19,"12,632",334,01-Apr-19,21607,2,01-Apr-19,"4,945",73
08-Apr-19,"12,364",-268,08-Apr-19,21617,10,08-Apr-19,"4,999",54
15-Apr-19,"12,759",395,15-Apr-19,21634,17,15-Apr-19,"5,043",44
22-Apr-19,"12,721",-38,22-Apr-19,21645,11,22-Apr-19,"5,095",52
29-Apr-19,"13,031",310,29-Apr-19,21652,7,29-Apr-19,"5,095",0
06-May-19,"13,125",94,06-May-19,21660,8,06-May-19,"5,145",50
13-May-19,"13,194",69,13-May-19,21652,-8,13-May-19,"5,142",-3
20-May-19,"13,231",37,20-May-19,21658,6,20-May-19,"5,207",65
27-May-19,"13,564",333,27-May-19,21659,1,27-May-19,"5,261",54
03-Jun-19,"13,647",83,03-Jun-19,21658,-1,03-Jun-19,"5,319",58
10-Jun-19,"13,701",54,10-Jun-19,21658,0,10-Jun-19,"5,368",49
17-Jun-19,"13,806",105,17-Jun-19,21663,5,17-Jun-19,"5,435",67
24-Jun-19,"13,745",-61,24-Jun-19,21676,13,24-Jun-19,"5,504",69
01-Jul-19,"13,903",158,01-Jul-19,21660,-16,01-Jul-19,"5,432",-72
08-Jul-19,"13,908",5,08-Jul-19,21697,37,08-Jul-19,"5,509",77
15-Jul-19,"13,543",-365,15-Jul-19,21710,13,15-Jul-19,"5,641",132
22-Jul-19,"13,965",422,22-Jul-19,21730,20,22-Jul-19,"5,478",-163
29-Jul-19,"13,875",-90,29-Jul-19,21738,8,29-Jul-19,"5,613",135
05-Aug-19,"13,621",-254,05-Aug-19,21742,4,05-Aug-19,"5,676",63
12-Aug-19,"14,021",400,12-Aug-19,21750,8,12-Aug-19,"5,745",69
19-Aug-19,"14,083",62,19-Aug-19,21765,15,19-Aug-19,"5,807",62
26-Aug-19,"14,054",-29,26-Aug-19,21788,23,26-Aug-19,"5,868",61
02-Sep-19,"14,326",272,02-Sep-19,21798,10,02-Sep-19,"5,903",35
09-Sep-19,"14,478",152,09-Sep-19,21807,9,09-Sep-19,"5,904",1
16-Sep-19,"14,521",43,16-Sep-19,21816,9,16-Sep-19,"5,907",3
23-Sep-19,"14,523",2,23-Sep-19,21830,14,23-Sep-19,"5,932",25
30-Sep-19,"14,678",155,30-Sep-19,21842,12,30-Sep-19,"5,953",21
07-Oct-19,"15,014",336,07-Oct-19,21865,23,07-Oct-19,"5,988",35
14-Oct-19,"15,111",97,14-Oct-19,21864,-1,14-Oct-19,"6,036",48
21-Oct-19,"15,154",43,21-Oct-19,21889,25,21-Oct-19,"6,117",81
28-Oct-19,"15,257",103,28-Oct-19,21919,30,28-Oct-19,"6,192",75
04-Nov-19,"15,783",526,04-Nov-19,21952,33,04-Nov-19,"6,262",70
11-Nov-19,"15,398",-385,11-Nov-19,22000,48,11-Nov-19,"6,296",34
18-Nov-19,"15,421",23,18-Nov-19,22078,78,18-Nov-19,"6,367",71
25-Nov-19,"15,444",23,25-Nov-19,22096,18,25-Nov-19,"6,475",108
02-Dec-19,"15,452",8,02-Dec-19,22099,3,02-Dec-19,"6,518",43
09-Dec-19,"15,501",49,09-Dec-19,22106,7,09-Dec-19,"6,571",53
16-Dec-19,"15,699",198,16-Dec-19,22109,3,16-Dec-19,"6,612",41
23-Dec-19,"15,781",82,23-Dec-19,22130,21,23-Dec-19,"6,635",23
30-Dec-19,"15,274",-507,30-Dec-19,22123,-7,30-Dec-19,"6,650",15
06-Jan-20,"16,309","1,035",06-Jan-20,22163,40,06-Jan-20,"6,681",31
13-Jan-20,"16,401",92,13-Jan-20,22272,109,13-Jan-20,"6,834",153
20-Jan-20,"16,421",20,20-Jan-20,22340,68,20-Jan-20,"6,971",137
27-Jan-20,"16,431",10,27-Jan-20,22395,55,27-Jan-20,"7,118",147
03-Feb-20,"16,455",24,03-Feb-20,22416,21,03-Feb-20,"7,228",110
10-Feb-20,"16,535",80,10-Feb-20,22455,39,10-Feb-20,"7,284",56
17-Feb-20,"16,635",100,17-Feb-20,22457,2,17-Feb-20,"7,324",40
24-Feb-20,"16,717",82,24-Feb-20,22459,2,24-Feb-20,"7,379",55
02-Mar-20,"16,787",70,02-Mar-20,22471,12,02-Mar-20,"7,434",55
09-Mar-20,"16,842",55,09-Mar-20,22491,20,09-Mar-20,"7,460",26
16-Mar-20,"16,892",50,16-Mar-20,22496,5,16-Mar-20,"7,485",25
23-Mar-20,"16,939",47,23-Mar-20,22503,7,23-Mar-20,"7,491",6
30-Mar-20,"16,977",38,30-Mar-20,22512,9,30-Mar-20,"7,516",25
06-Apr-20,"17,029",52,06-Apr-20,22516,4,06-Apr-20,"7,548",32
13-Apr-20,"17,080",51,13-Apr-20,22542,26,13-Apr-20,"7,591",43
20-Apr-20,"17,141",61,20-Apr-20,22564,22,20-Apr-20,"7,602",11
27-Apr-20,"17,184",43,27-Apr-20,22571,7,27-Apr-20,"7,625",23
04-May-20,"17,242",58,04-May-20,22578,7,04-May-20,"7,644",19
11-May-20,"17,276",34,11-May-20,22586,8,11-May-20,"7,646",2
18-May-20,"17,321",45,18-May-20,22672,86,18-May-20,"7,667",21
25-May-20,"17,370",49,25-May-20,22682,10,25-May-20,"7,693",26
