Event,Programme,Venue,Venue Postcode,Commercial or Non-Commercial?,Co-Created,"Free Event, or Paid Event",Streamed on Social Media or Broadcast,Box Office,First Performance,No. of Performances
Cariba Dance,Love Coventry,Online,Online,Non-Commercial,Co-Created,Free Event,Online Zoom Session,The Ticket Factory,04/05/2021,Home Based
Dancehall King and Queens,Love Coventry,Online,Online,Non-Commercial,Co-Created,Free Event,Online Zoom Session,The Ticket Factory,05/05/2021,Home Based
Generate Festival Application Surgery,Love Coventry,Panel Talk,Online,Non-Commercial,Co-Created,Free Event,Online Zoom Session,The Ticket Factory,11/05/2021,1
Coventry Moves School Workshop,City of Culture Main Programme,In School,VARIOUS,Non-Commercial,Co-Created,Free Event,N/A,The Ticket Factory,15/05/2021,8
New Commissions Information Surgeries,Love Coventry,Online,Online,Non-Commercial,Co-Created,Free Event,Online Zoom Session,The Ticket Factory,19/05/2021,1
Generate Festival Application In Person Surgery,Love Coventry,Albany Theatre,CV5 6JQ,Non-Commercial,Co-Created,Free Event,N/A,The Ticket Factory,20/05/2021,1
Summer of Surprises: Music In Pubs (The Devonshire Arms),Summer of Surprises,The Devonshire Arms,CV2 3NX,Non-Commercial,Not Co-Created,Free Event,N/A,Unticketed,28/05/2021,1
Summer of Surprises: Music In Pubs (The Festival),Summer of Surprises,The Festival,CV3 5QJ,Non-Commercial,Not Co-Created,Free Event,N/A,Unticketed,28/05/2021,1
Summer of Surprises: Music In Pubs (The New Parkgate Hotel),Summer of Surprises,The New Parkgate Hotel,CV6 4GD,Non-Commercial,Not Co-Created,Free Event,N/A,Unticketed,28/05/2021,1
Summer of Surprises: Music In Pubs (The Red Lion),Summer of Surprises,The Red Lion,CV2 2EY,Non-Commercial,Not Co-Created,Free Event,N/A,Unticketed,28/05/2021,1
Summer of Surprises: Music In Pubs (The Squirrel),Summer of Surprises,The Squirrel,CV1 2GY,Non-Commercial,Not Co-Created,Free Event,N/A,Unticketed,28/05/2021,1
Summer of Surprises: Music In Pubs (The Wallace),Summer of Surprises,The Wallace,CV6 2JF,Non-Commercial,Not Co-Created,Free Event,N/A,Unticketed,28/05/2021,1
Summer of Surprises: Music In Pubs (Miners Arms),Summer of Surprises,Miners Arms,CV3 2JU,Non-Commercial,Not Co-Created,Free Event,N/A,Unticketed,29/05/2021,1
Summer of Surprises: Music In Pubs (The Jag),Summer of Surprises,The Jag,CV5 9PS,Non-Commercial,Not Co-Created,Free Event,N/A,Unticketed,29/05/2021,1
Summer of Surprises: Music In Pubs (The Royal Hotel),Summer of Surprises,The Royal Hotel,CV6 7DU,Non-Commercial,Not Co-Created,Free Event,N/A,Unticketed,29/05/2021,1
