survey,How likely is it that you would recommend the City Host volunteer programme to a friend or colleague?,"On reflection of your City Host experience so far, has the City Host programme helped you gain more confidence?",I have interacted with people I wouldn't have normally.,I have gained new skills or my skills have increased through being a City Host.,What is your age?,What is the gender to which you identify?,What is your marital status?,Please can you tell us which of the following best describes you?,Other please specify,Which of the following best describes your religion?,Other please specify,Please indicate your ethnic origin and cultural background:,Ethnic Group,Household composition: Pre-school age (0-4 years). How many people living permanently in your household (including yourself) fit within the above category?,Household composition: Primary school age (5-11 years). How many people living permanently in your household (including yourself) fit within the above category?,Household composition: Secondary school age (12-16 years). How many people living permanently in your household (including yourself) fit within the above category?,Household composition: Post school education (16-17 years). How many people living permanently in your household (including yourself) fit within the above category?,"Household composition: Adult (18-59-female, 18-64-male). How many people living permanently in your household (including yourself) fit within the above category?","Household composition: Working (60+ female, 65+ male). How many people living permanently in your household (including yourself) fit within the above category?","Household composition: Retired (60+ female, 65+ male). How many people living permanently in your household (including yourself) fit within the above category?",Household composition: Adult (18-64). How many people living permanently in your household (including yourself) fit within the above category?,Household composition: Working (65+). How many people living permanently in your household (including yourself) fit within the above category?,Household composition: Retired (65+). How many people living permanently in your household (including yourself) fit within the above category?,How often would you say you have been worried about money during the last few weeks?,Which of the following best describes your current economic status?,Other please specify,"Are your day-to-day activities limited because of a health problem or disability which has lasted, or is expected to last, at least 12 months?",Would you say in general your health is...,I've been feeling optimistic about the future,Iâ€™ve been feeling useful,I've been feeling relaxed,I've been dealing with problems well,I've been thinking clearly,I've been feeling close to other people,I've been able to make up my own mind about things,Please let us know how strongly you feel you belong to the your local area.,Please let us know how strongly you feel you belong to Coventry.,To what extent do you agree or disagree that there are opportunities for you to be actively involved in improving your local area?,"Overall, how satisfied or dissatisfied are you with your local area as a place to live?",Do you think volunteering as a City Host improves your wellbeing?,"How would you rate the City Host organisation, communication and management?",The training provided prepared me well for the City Host role.,Please rate the quality of the selection events.,Please rate the quality of the core training.,Please rate the quality of the on-line induction events.,Please rate the quality of the on-line core training.,Please rate the quality of the Get Ready events.,Did you take part in Team Leader training? If so please rate the quality of the team leader training.
City Host Survey - July 2021,10 - Extremely likely,"No, my confidence has not increased",Strongly agree,Strongly agree,45-54,Prefer not to say,Single (never married and never registered a same sex civil partnership),Prefer not to say,No Response,"Christian (including Church of England, Catholic, Protestant and all other Christian denominations)",No Response,White â€“ British,White British,0,0,0,0,No Response,No Response,No Response,1,0,0,"Quite often,",Registered unemployed/signing on for job seekers allowance,No Response,Yes limited a lot,Very good,All of the time,All of the time,Rarely,All of the time,All of the time,All of the time,No Response,Very strongly,Very strongly,Definitely agree,Very satisfied,"Yes, it improves wellbeing a lot",Not Sure,Strongly agree,No Response,No Response,Excellent,Excellent,Excellent,Very Poor
City Host Survey - July 2021,10 - Extremely likely,"Yes, my confidence has increased",Agree,Agree,25-34,Female,Single (never married and never registered a same sex civil partnership),Heterosexual,No Response,Muslim,No Response,Any Other Mixed Background,Mixed or multiple ethnic group,0,0,0,0,No Response,No Response,No Response,1,0,0,Only sometimes,In full-time education,No Response,No Response,Very good,All of the time,All of the time,Often,No Response,Often,Often,Often,Not very strongly,Not very strongly,Definitely agree,No Response,"Yes, it improves wellbeing a lot",Excellent,No Response,No Response,No Response,Excellent,Excellent,Excellent,No Response
City Host Survey - July 2021,10 - Extremely likely,"Yes, my confidence has increased",Strongly agree,Agree,45-54,Female,Co-habiting,Heterosexual,No Response,No religion,No Response,White â€“ British,White British,No Response,0,2,0,No Response,No Response,No Response,2,0,0,"Quite often,",Self-employed,No Response,Not at all,Good,Often,Often,Rarely,Some of the time,Some of the time,Often,Often,Very strongly,Very strongly,Tend to disagree,Fairly satisfied,"Yes, it improves wellbeing a lot",Good,Agree,No Response,No Response,Good,Good,Excellent,No Response
City Host Survey - July 2021,No Response,"No, my confidence has not increased",Agree,Not sure,45-54,Female,Single (never married and never registered a same sex civil partnership),Heterosexual,No Response,No religion,No Response,White â€“ British,White British,0,0,0,0,No Response,No Response,No Response,1,0,0,Only sometimes,In part time paid work,No Response,Not at all,Good,Some of the time,Some of the time,Often,Some of the time,Some of the time,Some of the time,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response
City Host Survey - July 2021,No Response,Not sure,Disagree,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response
City Host Survey - July 2021,9,"No, my confidence has not increased",Agree,Disagree,55-64,Male,Married,Heterosexual,No Response,No religion,No Response,White â€“ British,White British,0,0,0,0,No Response,No Response,No Response,4,0,0,Never,Retired,No Response,Not at all,Good,Some of the time,Often,Often,Often,Often,Often,Often,Very strongly,Fairly strongly,Tend to agree,Very satisfied,"Yes, it improves wellbeing a little",Good,Agree,No Response,No Response,Good,Good,Good,No Response
City Host Survey - July 2021,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response
City Host Survey - July 2021,10 - Extremely likely,Not sure,Not sure,Not sure,45-54,Female,Married,Heterosexual,No Response,"Christian (including Church of England, Catholic, Protestant and all other Christian denominations)",No Response,Any Other White Background,"White Other, White Irish, or White Gypsy or Irish Traveller",0,1,1,1,No Response,No Response,No Response,2,0,0,Almost all the time,In part time paid work,No Response,Not at all,Fair,Rarely,Some of the time,Rarely,Some of the time,Rarely,Rarely,Some of the time,Very strongly,Very strongly,Don't know,Fairly satisfied,"Yes, it improves wellbeing a little",Excellent,Agree,No Response,No Response,Excellent,Excellent,Excellent,No Response
City Host Survey - July 2021,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response
City Host Survey - July 2021,10 - Extremely likely,"Yes, my confidence has increased",Strongly agree,Not sure,65-74,Female,Divorced,Heterosexual,No Response,No religion,No Response,White â€“ British,White British,0,0,0,0,No Response,No Response,No Response,0,1,1,Only sometimes,Retired,No Response,Not at all,Good,Often,Often,Often,Often,Often,Often,Often,Very strongly,Very strongly,Definitely agree,Fairly satisfied,"Yes, it improves wellbeing a lot",Good,Strongly agree,No Response,No Response,Good,Good,Excellent,No Response
