survey,How likely is it that you would recommend the City Host volunteer programme to a friend or colleague?,"On reflection of your City Host experience so far, has the City Host programme helped you gain more confidence?",I have interacted with people I wouldn't have normally.,I have gained new skills or my skills have increased through being a City Host.,Would you say in general your health is...,I've been feeling optimistic about the future,Iâ€™ve been feeling useful,I've been feeling relaxed,I've been dealing with problems well,I've been thinking clearly,I've been feeling close to other people,I've been able to make up my own mind about things,Please let us know how strongly you feel you belong to the your local area.,Please let us know how strongly you feel you belong to Coventry.,To what extent do you agree or disagree that there are opportunities for you to be actively involved in improving your local area?,"Overall, how satisfied or dissatisfied are you with your local area as a place to live?",Do you think volunteering as a City Host improves your wellbeing?,"How would you rate the City Host organisation, communication and management?",The training provided prepared me well for the City Host role.,Please rate the quality of the on-line induction events.,Please rate the quality of the on-line core training.,Please rate the quality of the Get Ready events.,Did you take part in Team Leader training? If so please rate the quality of the team leader training.,Which of the following best describes your current economic status?,"Not stated, please specify","Are your day-to-day activities limited because of a health problem or disability which has lasted, or is expected to last, at least 12 months?",What is your age?,What is the gender to which you identify?,What is your marital status?,Please can you tell us which of the following best describes you?,"Not stated, please specify",Which of the following best describes your religion?,"Not stated, please specify",Please indicate your ethnic origin and cultural background:,Ethnic Group,Nearly there! Household composition: Pre-school age (0-4 years). How many people living permanently in your household (including yourself) fit within the above category?,Household composition: Primary school age (5-11 years). How many people living permanently in your household (including yourself) fit within the above category?,Household composition: Secondary school age (12-16 years). How many people living permanently in your household (including yourself) fit within the above category?,Household composition: Post school education (16-17 years). How many people living permanently in your household (including yourself) fit within the above category?,Household composition: Adult (18-64). How many people living permanently in your household (including yourself) fit within the above category?,Household composition: Working (65+). How many people living permanently in your household (including yourself) fit within the above category?,Household composition: Retired (65+). How many people living permanently in your household (including yourself) fit within the above category?,How often would you say you have been worried about money during the last few weeks?
City Host Survey - November 2021,5,"Yes, my confidence has increased",Agree,Disagree,Very good,Rarely,Some of the time,Often,All of the time,All of the time,Some of the time,All of the time,Very strongly,Not very strongly,Definitely agree,Very dissatisfied,"No, it doesn't improve wellbeing",Poor,Disagree,Poor,Poor,Good,No Response,Retired,No Response,Not at all,65-74,Male,Married,Heterosexual,No Response,No religion,No Response,White â€“ British,White British,0,0,0,0,0,No Response,2,Never
City Host Survey - November 2021,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response
City Host Survey - November 2021,5,"No, my confidence has not increased",Disagree,Disagree,Good,Some of the time,No Response,No Response,No Response,Often,Often,All of the time,Fairly strongly,Fairly strongly,Tend to agree,Very satisfied,Not sure,Not Sure,Agree,Not Sure,Not Sure,Good,No Response,Retired,No Response,Not at all,65-74,Female,Married,Heterosexual,No Response,No religion,No Response,White â€“ British,White British,0,0,0,0,0,2,2,Never
City Host Survey - November 2021,3,Not sure,Disagree,Not sure,Good,Some of the time,Some of the time,Some of the time,Often,Some of the time,Rarely,Often,Not very strongly,Donâ€™t know,Tend to disagree,Fairly satisfied,"Yes, it improves wellbeing a little",No Response,Disagree,Very Poor,Not Sure,Good,No Response,In part time paid work,No Response,No Response,55-64,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response
City Host Survey - November 2021,10 - Extremely likely,"No, my confidence has not increased",Strongly disagree,Disagree,Very good,All of the time,All of the time,All of the time,All of the time,All of the time,All of the time,All of the time,Very strongly,Very strongly,Definitely agree,Very satisfied,"Yes, it improves wellbeing a lot",Excellent,Strongly agree,Excellent,Excellent,Excellent,Excellent,Retired,No Response,Not at all,65-74,Male,Married,Heterosexual,No Response,"Christian (including Church of England, Catholic, Protestant and all other Christian denominations)",No Response,White â€“ British,White British,0,0,0,0,0,No Response,2,Never
City Host Survey - November 2021,8,"No, my confidence has not increased",Agree,Disagree,Very good,Often,Often,Often,Often,Often,Some of the time,All of the time,Fairly strongly,Fairly strongly,Tend to disagree,Very satisfied,"Yes, it improves wellbeing a little",Good,Agree,Excellent,Good,Excellent,No Response,In full time paid work,No Response,Not at all,45-54,Female,Married,Heterosexual,No Response,"Christian (including Church of England, Catholic, Protestant and all other Christian denominations)",No Response,White â€“ British,White British,0,0,0,1,2,0,0,Never
City Host Survey - November 2021,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response,No Response
City Host Survey - November 2021,9,"Yes, my confidence has increased",Strongly agree,Strongly agree,Very good,All of the time,All of the time,Some of the time,Some of the time,Often,Often,Often,Fairly strongly,Very strongly,Tend to disagree,Fairly satisfied,"Yes, it improves wellbeing a lot",Good,Agree,Good,Good,Excellent,No Response,In part time paid work,No Response,Not at all,45-54,Female,Co-habiting,Heterosexual,No Response,No religion,No Response,White â€“ British,White British,0,0,2,0,2,0,0,Only sometimes
City Host Survey - November 2021,8,Not sure,Agree,Agree,Good,Often,Often,Some of the time,Often,Often,Some of the time,All of the time,Very strongly,Fairly strongly,Tend to agree,Very satisfied,"Yes, it improves wellbeing a little",Good,Agree,Good,Good,Good,No Response,No Response,No Response,Not at all,45-54,Male,Married,Heterosexual,No Response,"Christian (including Church of England, Catholic, Protestant and all other Christian denominations)",No Response,White â€“ British,White British,0,0,1,1,2,0,0,Never
City Host Survey - November 2021,10 - Extremely likely,"Yes, my confidence has increased",Strongly agree,Agree,Very good,All of the time,All of the time,Often,Often,Often,Often,All of the time,Fairly strongly,Fairly strongly,Definitely agree,Very satisfied,"Yes, it improves wellbeing a little",Excellent,Strongly agree,Good,Good,Good,No Response,In full time paid work,No Response,Not at all,45-54,Female,Married,Heterosexual,No Response,"Christian (including Church of England, Catholic, Protestant and all other Christian denominations)",No Response,White â€“ British,White British,No Response,0,0,0,2,0,0,Only sometimes
