Survey,How likely is it that you would recommend the City Host volunteer programme to a friend or colleague? Where 10 - Extremely likely and 0 - Not at all likely,"On reflection of your City Host experience so far, has the City Host programme helped you gain more confidence?",I have interacted with people I wouldn't have normally.,I have gained new skills or my skills have increased through being a City Host.,Would you say in general your health is...,I've been feeling optimistic about the future,I've been feeling useful,I've been feeling relaxed,I've been dealing with problems well,I've been thinking clearly,I've been feeling close to other people,I've been able to make up my own mind about things,Please let us know how strongly you feel you belong to the your local area.,Please let us know how strongly you feel you belong to Coventry.,To what extent do you agree or disagree that there are opportunities for you to be actively involved in improving your local area?,"Overall, how satisfied or dissatisfied are you with your local area as a place to live?",Do you think volunteering as a City Host improves your wellbeing?,"How would you rate the City Host organisation, communication and management?",The training provided prepared me well for the City Host role.,Please rate the quality of the on-line induction events.,Please rate the quality of the on-line core training.,Please rate the quality of the Get Ready events.,Did you take part in Team Leader training? If so please rate the quality of the team leader training.,Which of the following best describes your current economic status?,"Are your day-to-day activities limited because of a health problem or disability which has lasted, or is expected to last, at least 12 months?",What is your age?,What is the gender to which you identify?,What is your marital status?,Please can you tell us which of the following best describes you?,Which of the following best describes your religion?,Please indicate your ethnic origin and cultural background:,Ethnicity,How often would you say you have been worried about money during the last few weeks?
City Host Survey - April 2022,8,"Yes, my confidence has increased",Strongly agree,Agree,Good,Some of the time,Often,Some of the time,Often,Some of the time,Some of the time,Often,Fairly strongly,Fairly strongly,Tend to agree,Neither satisfied nor dissatisfied,"Yes, it improves wellbeing a lot",Good,Agree,Good,Good,Good,Good,In full time paid work,Yes limited a little,35-44,Prefer not to say,Prefer not to say,Prefer not to say,"Christian (including Church of England, Catholic, Protestant and all other Christian denominations)",Any Other Asian Background,Asian or Asian British,Only sometimes
City Host Survey - April 2022,10,"Yes, my confidence has increased",Strongly agree,Strongly agree,Very good,None of the time,Rarely,All of the time,Rarely,All of the time,All of the time,Often,Very strongly,Very strongly,Definitely agree,Very satisfied,"Yes, it improves wellbeing a lot",Excellent,Strongly agree,Excellent,Excellent,Excellent,null,In full-time education,Not at all,25-34,Male,Married,null,Muslim,Any Other Black Background,"Black, African, Caribbean, or Black British",null
City Host Survey - April 2022,10,"Yes, my confidence has increased",Strongly agree,Agree,Good,Often,Often,Often,Some of the time,Often,Often,All of the time,Fairly strongly,Fairly strongly,Don't know,Neither satisfied nor dissatisfied,"Yes, it improves wellbeing a lot",Excellent,Agree,Good,Poor,Good,null,Doing unpaid/voluntary work,Yes limited a little,35-44,Female,Single (never married and never registered a same sex civil partnership),Heterosexual,"Christian (including Church of England, Catholic, Protestant and all other Christian denominations)",Any Other Ethnic Group,Any other ethnic group,Quite often
City Host Survey - April 2022,7,"Yes, my confidence has increased",Strongly agree,Not sure,Good,All of the time,All of the time,All of the time,All of the time,All of the time,All of the time,All of the time,Fairly strongly,Fairly strongly,Tend to agree,Fairly satisfied,"Yes, it improves wellbeing a lot",Poor,Agree,Not Sure,Good,Good,null,In part time paid work,Not at all,45-54,Female,Married,Heterosexual,"Christian (including Church of England, Catholic, Protestant and all other Christian denominations)",Any Other Ethnic Group,Any other ethnic group,Quite often
City Host Survey - April 2022,10,"Yes, my confidence has increased",Strongly agree,Strongly agree,Good,Often,All of the time,All of the time,Often,Often,All of the time,All of the time,Very strongly,Very strongly,Definitely agree,Fairly satisfied,"Yes, it improves wellbeing a lot",Excellent,Strongly agree,Excellent,Excellent,Excellent,Excellent,In full time paid work,Not at all,55-64,Male,Single (never married and never registered a same sex civil partnership),Heterosexual,Other; Spiritualist,Any Other Ethnic Group,Any other ethnic group,Only sometimes
City Host Survey - April 2022,10,"Yes, my confidence has increased",Strongly agree,Strongly agree,Very good,Often,Some of the time,Some of the time,All of the time,All of the time,Some of the time,All of the time,Not very strongly,Fairly strongly,Tend to disagree,Fairly satisfied,"Yes, it improves wellbeing a lot",Excellent,Strongly agree,Excellent,Excellent,Excellent,Excellent,In full time paid work,Not at all,25-34,Male,null,Heterosexual,Muslim,Any Other Mixed Background,Mixed or multiple ethnic group,Quite often
City Host Survey - April 2022,6,"Yes, my confidence has increased",Strongly agree,Agree,Good,Often,Often,Some of the time,Often,Often,Often,All of the time,Very strongly,Very strongly,Definitely agree,Very satisfied,"Yes, it improves wellbeing a lot",Excellent,Agree,Not Sure,Good,Good,Good,In full time paid work,Yes limited a little,55-64,Female,Divorced,Heterosexual,"Christian (including Church of England, Catholic, Protestant and all other Christian denominations)",Any Other Mixed Background,Mixed or multiple ethnic group,Almost all the time
City Host Survey - April 2022,7,Not sure,Agree,Agree,Fair,All of the time,Often,Some of the time,Often,Often,Some of the time,All of the time,Not very strongly,Very strongly,Definitely disagree,Fairly dissatisfied,"Yes, it improves wellbeing a little",Good,Agree,Good,Not Sure,Good,null,In full time paid work,Yes limited a little,45-54,Female,Prefer not to say,Heterosexual,No religion,Any Other Mixed Background,Mixed or multiple ethnic group,Quite often
City Host Survey - April 2022,7,Not sure,Strongly agree,Not sure,Good,All of the time,All of the time,All of the time,All of the time,All of the time,All of the time,All of the time,Fairly strongly,Fairly strongly,Don't know,Neither satisfied nor dissatisfied,"Yes, it improves wellbeing a lot",Good,Strongly agree,Excellent,Not Sure,Excellent,Good,Other; Workbreak,Not at all,35-44,Female,Prefer not to say,Prefer not to say,No religion,Any Other White Background,"White Other, White Irish, or White Gypsy or Irish Traveller",Never
City Host Survey - April 2022,6,"Yes, my confidence has increased",Agree,Agree,Very good,Some of the time,Some of the time,Some of the time,Some of the time,Some of the time,Some of the time,Some of the time,Not very strongly,Fairly strongly,Tend to disagree,Fairly satisfied,"Yes, it improves wellbeing a little",Good,Agree,Good,Good,Good,null,Other; combine two part time jobs along side being artist,Not at all,55-64,Female,Married,Heterosexual,"Christian (including Church of England, Catholic, Protestant and all other Christian denominations)",Any Other White Background,"White Other, White Irish, or White Gypsy or Irish Traveller",Quite often
