Address,Postcode,Type,Status,Source,lat,long,Description
MAXIMS CASINO FLETCHAMSTEAD HIGHWAY CV4 9DW,CV4 9DW,Commercial - Retail - Public House / Bar / Nightclub,,LLPG-BLPU-20200709,52.403918,-1.560938,
STANDARD TRIUMPH RECREATION CLUB TILE HILL LANE CV4 9DG,CV4 9DG,Commercial - Retail - Public House / Bar / Nightclub,,LLPG-BLPU-20200709,52.404172,-1.549126,
BINLEY PARK INN BRINKLOW ROAD CV3 2DS,CV3 2DS,Commercial - Retail - Public House / Bar / Nightclub,,LLPG-BLPU-20200709,52.403819,-1.443048,
THE OLD CLARENCE EARLSDON AVENUE NORTH CV5 6GN,CV5 6GN,Commercial - Retail - Public House / Bar / Nightclub,,LLPG-BLPU-20200709,52.40231,-1.532669,
OUR LADY OF THE ASSUMPTION CHURCH SOCIAL CLUB TILE HILL LANE CV4 9TA,CV4 9TA,Commercial - Retail - Public House / Bar / Nightclub,,LLPG-BLPU-20200709,52.402604,-1.582954,
LIME TREE WORKING MENS CLUB TEMPLAR AVENUE CV4 9BQ,CV4 9BQ,Commercial - Retail - Public House / Bar / Nightclub,,LLPG-BLPU-20200709,52.400827,-1.570722,
215  THE FARMHOUSE BEECHWOOD AVENUE CV5 6HB,CV5 6HB,Commercial - Retail - Public House / Bar / Nightclub,,LLPG-BLPU-20200709,52.401505,-1.542878,
THE BEAR AND STAFF PRINCETHORPE WAY CV3 2HG,CV3 2HG,Commercial - Retail - Public House / Bar / Nightclub,,LLPG-BLPU-20200709,52.400025,-1.452708,
PARKS DEPARTMENT SOCIAL CLUB LONDON ROAD CV1 2JR,CV1 2JR,Commercial - Retail - Public House / Bar / Nightclub,,LLPG-BLPU-20200709,52.400525,-1.494326,
BELL INN STATION AVENUE CV4 9HS,CV4 9HS,Commercial - Retail - Public House / Bar / Nightclub,,LLPG-BLPU-20200709,52.398944,-1.595614,
10 EARLSDON STREET CV5 6EG,CV5 6EG,Commercial - Retail - Public House / Bar / Nightclub,,LLPG-BLPU-20200709,52.399545,-1.531537,
1  THE CITY ARMS EARLSDON STREET CV5 6EP,CV5 6EP,Commercial - Retail - Public House / Bar / Nightclub,,LLPG-BLPU-20200709,52.398961,-1.531916,
22 EARLSDON STREET CV5 6EJ,CV5 6EJ,Commercial - Retail - Public House / Bar / Nightclub,,LLPG-BLPU-20200709,52.398679,-1.533045,
22-24  EARLSDON COTTAGE WARWICK STREET CV5 6ET,CV5 6ET,Commercial - Retail - Public House / Bar / Nightclub,,LLPG-BLPU-20200709,52.39912,-1.533442,
6  STANDARD BEARER SANTOS CLOSE CV3 2FG,CV3 2FG,Commercial - Retail - Public House / Bar / Nightclub,,LLPG-BLPU-20200709,52.397776,-1.448415,
COVENTRY ARMS QUORN WAY CV3 2JU,CV3 2JU,Commercial - Retail - Public House / Bar / Nightclub,,LLPG-BLPU-20200709,52.394101,-1.454751,
