Source,Type,Category,Sub-category,Assets,Culture
Care Quality Commission,Ambulances,Emergency,Emergency (Ambulances),TRUE,
NHS Digital,Care Home,Care Homes,Care Homes,TRUE,
Care Quality Commission,Clinic,Medical,Medical Services,TRUE,
Coventry City Council,Commercial - Agricultural - Farm / Non-Residential Associated Building,Farmers/Growers,Farmers/Growers,TRUE,
Coventry City Council,Commercial - Animal Centre - Animal Services,Animal,Animal,TRUE,
Coventry City Council,Commercial - Animal Centre - Cattery / Kennel,Animal,Animal,TRUE,
Coventry City Council,Commercial - Animal Centre - Vet / Animal Medical Treatment,Animal,Animal,TRUE,
Coventry City Council,Commercial - Community Services - Cemetery / Crematorium / Graveyard. In Current Use,Cemeteries,Cemeteries,TRUE,TRUE
Coventry City Council,Commercial - Community Services - Church halls,Church Halls,Church Halls,TRUE,TRUE
Coventry City Council,Commercial - Community Services - Community Service Centre / Office,Social Clubs/Village Halls,Social Clubs/Village Halls,TRUE,TRUE
Coventry City Council,Commercial - Community Services - Law courts,Law Courts,Law Courts,TRUE,
Coventry City Council,Commercial - Community Services - Public / Village Hall / Other Community Facility,Social Clubs/Village Halls,Social Clubs/Village Halls,TRUE,TRUE
Coventry City Council,Commercial - Community Services - Public Conveniences,Public Conveniences,Public Conveniences,,
Coventry City Council,Commercial - Education - Colleges,Education,Education (Colleges),TRUE,
Coventry City Council,Commercial - Education - Nursery/creche,Childcare/Caring,Childcare/Caring,TRUE,
Coventry City Council,Commercial - Education - Other educational establishments,Education,Education (Other),TRUE,
Coventry City Council,Commercial - Education - Primary,Education,Schools (Primary),,
Coventry City Council,Commercial - Education - Secondary School,Education,Schools (Secondary),,
Coventry City Council,Commercial - Education - Special needs establishments,Education,Schools (Special),,
Coventry City Council,Commercial - Education - Universities,Education,Education (Universities),TRUE,
Coventry City Council,Commercial - Emergency and Rescue Services - Ambulance Station,Emergency,Emergency (Ambulances),TRUE,
Coventry City Council,Commercial - Emergency and Rescue Services - Fire Station,Emergency,Emergency (Fire),TRUE,
Coventry City Council,Commercial - Emergency and Rescue Services - Police Station,Emergency,Emergency (Police),TRUE,
Coventry City Council,Commercial - Hotels - Boarding and Guest Houses,Hotels/Guesthouses,Hotels/Guesthouses,TRUE,TRUE
Coventry City Council,Commercial - Industrial - Factory / Manufacturing,Industrial,Industrial (Manufacturers),TRUE,
Coventry City Council,Commercial - Industrial - Incinerators and Waste Transfer Stations,Industrial,Industrial (Waste),TRUE,
Coventry City Council,Commercial - Industrial - Maintenance depots,Industrial,Industrial (Maintenance),TRUE,
Coventry City Council,Commercial - Industrial - Mineral / Ore Working / Quarry / Mine,Industrial,Industrial (Extraction),TRUE,
Coventry City Council,Commercial - Industrial - Recycling Plant,Industrial,Industrial (Waste),TRUE,
Coventry City Council,Commercial - Industrial - Warehouse / Store / Storage Depot,Industrial,Industrial (Distributors),TRUE,
Coventry City Council,Commercial - Industrial - Wholesale distribution,Industrial,Industrial (Distributors),TRUE,
Coventry City Council,Commercial - Industrial - Workshop / Light Industrial,Industrial,Industrial (Manufacturers),TRUE,
Coventry City Council,Commercial - Information - Advertising Hoardings,Information/Advertisements,Information/Advertisements,TRUE,
Coventry City Council,Commercial - Information - Traffic Information Signage,Information/Advertisements,Information/Advertisements,TRUE,
Coventry City Council,Commercial - Leisure - Amusements,Social Clubs/Village Halls,Social Clubs/Village Halls,TRUE,TRUE
Coventry City Council,Commercial - Leisure - Arena / Stadium,Sports/Leisure,Sports/Leisure,TRUE,TRUE
Coventry City Council,Commercial - Leisure - Bingo Hall / Cinema / Conference / Theatre,Cinema/Theatres,Cinema/Theatres,TRUE,TRUE
Coventry City Council,Commercial - Leisure - Holiday/camp sites,Sports/Leisure,Sports/Leisure,TRUE,TRUE
Coventry City Council,Commercial - Leisure - Indoor / Outdoor Leisure / Sporting Activity/ Centre,Sports/Leisure,Sports/Leisure,TRUE,TRUE
Coventry City Council,Commercial - Leisure - Libraries,Libraries,Libraries,TRUE,TRUE
Coventry City Council,Commercial - Leisure - Licensed private members' clubs,Social Clubs/Village Halls,Social Clubs/Village Halls,TRUE,TRUE
Coventry City Council,Commercial - Leisure - Museum / Gallery,Museums/Galleries,Museums/Galleries,TRUE,TRUE
