Period,Period Start,Period End,Period Type,Period Frequency,PeriodKey
2014-15,01/04/2014,31/03/2015,Financial,Annual,1415
2015-16,01/04/2015,31/03/2016,Financial,Annual,1516
2016-17,01/04/2016,31/03/2017,Financial,Annual,1617
2017-18,01/04/2017,31/03/2018,Financial,Annual,1718
2018-19,01/04/2018,31/03/2019,Financial,Annual,1819
2019-20,01/04/2019,31/03/2020,Financial,Annual,1920
2016,01/01/2016,31/12/2016,Calendar,Annual,2016
2018,01/01/2018,31/12/2018,Calendar,Annual,2018
2013,01/01/2013,31/12/2013,Calendar,Annual,2013
2012,01/01/2012,31/12/2012,Calendar,Annual,2012
2011,01/01/2011,31/12/2011,Calendar,Annual,2011
