Metric Type Identifier,Measurement Unit,Measurement Unit (Short Label),MetricTypeKey,Source,Hyperlink,Theme,Subcategory,MetricTypes_Key,Metric Type (Short Label),Metric Type
2,%,%,2-lgip,LGInformPlus,http://id.esd.org.uk/metricType/2,Unspecified,Unspecified,2,Black or black British population - 2,Population - Ethnicity - Percentage of the population who are black or black British - 2
3,%,%,3-lgip,LGInformPlus,http://id.esd.org.uk/metricType/3,Unspecified,Unspecified,3,GCSE achieved (5A*-C inc. Eng & Maths) - 3,"Achievement of 5 or more A*-C grades at GCSE or equivalent, including English and Maths - 3"
4,%,%,4-lgip,LGInformPlus,http://id.esd.org.uk/metricType/4,Unspecified,Unspecified,4,White population - 4,Population - Ethnicity - Percentage of the population who are white - 4
5,%,%,5-lgip,LGInformPlus,http://id.esd.org.uk/metricType/5,Unspecified,Unspecified,5,Mixed race population - 5,Population - Ethnicity - Percentage of the population who are mixed race - 5
8,%,%,8-lgip,LGInformPlus,http://id.esd.org.uk/metricType/8,Unspecified,Unspecified,7,Asian or Asian British population - 8,Population - Ethnicity - Percentage of the population who are Asian or Asian British - 8
10,%,%,10-lgip,LGInformPlus,http://id.esd.org.uk/metricType/10,Unspecified,Unspecified,8,Chinese or other ethnic group population - 10,Population - Ethnicity - Percentage of the population who are Chinese or other ethnic group - 10
11,%,%,11-lgip,LGInformPlus,http://id.esd.org.uk/metricType/11,Unspecified,Unspecified,9,NEETs (16-18 year olds) - 11,"Percentage of 16 to 18 year olds who are not in education, employment or training (NEET) - 11"
12,%,%,12-lgip,LGInformPlus,http://id.esd.org.uk/metricType/12,Unspecified,Unspecified,10,Population living in rural settlements - 12,Population - % of the population living in large market towns or rural towns - 12
3288,%,%,3288-lgip,LGInformPlus,http://id.esd.org.uk/metricType/3288,Unspecified,Unspecified,39,% aged under 16 - 3288,Proportion of population aged under 16 - 3288
3289,%,%,3289-lgip,LGInformPlus,http://id.esd.org.uk/metricType/3289,Unspecified,Unspecified,40,% aged 16 - 24 - 3289,Proportion of population aged 16 to 24 - 3289
3290,%,%,3290-lgip,LGInformPlus,http://id.esd.org.uk/metricType/3290,Unspecified,Unspecified,41,% aged 25 - 64 - 3290,Proportion of population aged 25 to 64 - 3290
3291,%,%,3291-lgip,LGInformPlus,http://id.esd.org.uk/metricType/3291,Unspecified,Unspecified,42,% aged 65 - 84 - 3291,Proportion of population aged 65 to 84 - 3291
3292,%,%,3292-lgip,LGInformPlus,http://id.esd.org.uk/metricType/3292,Unspecified,Unspecified,43,% aged 65 and over - 3292,Proportion of population aged 65 and over - 3292
3293,%,%,3293-lgip,LGInformPlus,http://id.esd.org.uk/metricType/3293,Unspecified,Unspecified,44,% aged 85 and over - 3293,Proportion of population aged 85 and over - 3293
