PeriodKey,Period,Period Start,Period End,Period Type,Period Frequency
"2_2011/12","2011/12",2011-01-01 00:00:00.000,,"Financial",""
"2_2012/13","2012/13",2012-01-01 00:00:00.000,,"Financial",""
"2_2013/14","2013/14",2013-01-01 00:00:00.000,,"Financial",""
"2_2014/15","2014/15",2014-01-01 00:00:00.000,,"Financial",""
"2_2015/16","2015/16",2015-01-01 00:00:00.000,,"Financial",""
"2_2016/17","2016/17",2016-01-01 00:00:00.000,,"Financial",""
"2_2017/18","2017/18",2017-01-01 00:00:00.000,,"Financial",""
"2_2009/10 - 11/12","2009/10 - 11/12",2009-01-01 00:00:00.000,,"Financial",""
"2_2010/11 - 12/13","2010/11 - 12/13",2010-01-01 00:00:00.000,,"Financial",""
"2_2011/12 - 13/14","2011/12 - 13/14",2011-01-01 00:00:00.000,,"Financial",""
"2_2012/13 - 14/15","2012/13 - 14/15",2012-01-01 00:00:00.000,,"Financial",""
"2_2013/14 - 15/16","2013/14 - 15/16",2013-01-01 00:00:00.000,,"Financial",""
"2_2014/15 - 16/17","2014/15 - 16/17",2014-01-01 00:00:00.000,,"Financial",""
"2_2015/16 - 17/18","2015/16 - 17/18",2015-01-01 00:00:00.000,,"Financial",""
"2_2010/11","2010/11",2010-01-01 00:00:00.000,,"Financial",""
"2_2018/19","2018/19",2018-01-01 00:00:00.000,,"Financial",""
"2_2009/10","2009/10",2009-01-01 00:00:00.000,,"Financial",""
"2_2006/07","2006/07",2006-01-01 00:00:00.000,,"Financial",""
"2_2007/08","2007/08",2007-01-01 00:00:00.000,,"Financial",""
"2_2008/09","2008/09",2008-01-01 00:00:00.000,,"Financial",""
"2_2002/03","2002/03",2002-01-01 00:00:00.000,,"Financial",""
"2_2003/04","2003/04",2003-01-01 00:00:00.000,,"Financial",""
"2_2004/05","2004/05",2004-01-01 00:00:00.000,,"Financial",""
"2_2005/06","2005/06",2005-01-01 00:00:00.000,,"Financial",""
"2_2008/09 - 10/11","2008/09 - 10/11",2008-01-01 00:00:00.000,,"Financial",""
"2_2006/07 - 10/11","2006/07 - 10/11",2006-01-01 00:00:00.000,,"Financial",""
"2_2007/08 - 11/12","2007/08 - 11/12",2007-01-01 00:00:00.000,,"Financial",""
"2_2008/09 - 12/13","2008/09 - 12/13",2008-01-01 00:00:00.000,,"Financial",""
"2_2009/10 - 13/14","2009/10 - 13/14",2009-01-01 00:00:00.000,,"Financial",""
"2_2010/11 - 14/15","2010/11 - 14/15",2010-01-01 00:00:00.000,,"Financial",""
"2_2011/12 - 15/16","2011/12 - 15/16",2011-01-01 00:00:00.000,,"Financial",""
"2_2013/14 Q1","2013/14 Q1",2013-01-01 00:00:00.000,,"Financial",""
"2_2013/14 Q2","2013/14 Q2",2013-01-01 00:00:00.000,,"Financial",""
"2_2013/14 Q3","2013/14 Q3",2013-01-01 00:00:00.000,,"Financial",""
"2_2013/14 Q4","2013/14 Q4",2013-01-01 00:00:00.000,,"Financial",""
"2_2014/15 Q1","2014/15 Q1",2014-01-01 00:00:00.000,,"Financial",""
"2_2014/15 Q2","2014/15 Q2",2014-01-01 00:00:00.000,,"Financial",""
"2_2014/15 Q3","2014/15 Q3",2014-01-01 00:00:00.000,,"Financial",""
"2_2014/15 Q4","2014/15 Q4",2014-01-01 00:00:00.000,,"Financial",""
"2_2015/16 Q1","2015/16 Q1",2015-01-01 00:00:00.000,,"Financial",""
"2_2015/16 Q2","2015/16 Q2",2015-01-01 00:00:00.000,,"Financial",""
"2_2015/16 Q3","2015/16 Q3",2015-01-01 00:00:00.000,,"Financial",""
"2_2015/16 Q4","2015/16 Q4",2015-01-01 00:00:00.000,,"Financial",""
"2_2016/17 Q1","2016/17 Q1",2016-01-01 00:00:00.000,,"Financial",""
"2_2016/17 Q2","2016/17 Q2",2016-01-01 00:00:00.000,,"Financial",""
"2_2016/17 Q3","2016/17 Q3",2016-01-01 00:00:00.000,,"Financial",""
"2_2016/17 Q4","2016/17 Q4",2016-01-01 00:00:00.000,,"Financial",""
"2_2017/18 Q1","2017/18 Q1",2017-01-01 00:00:00.000,,"Financial",""
"2_2017/18 Q2","2017/18 Q2",2017-01-01 00:00:00.000,,"Financial",""
"2_2017/18 Q3","2017/18 Q3",2017-01-01 00:00:00.000,,"Financial",""
"2_2017/18 Q4","2017/18 Q4",2017-01-01 00:00:00.000,,"Financial",""
"2_2018/19 Q1","2018/19 Q1",2018-01-01 00:00:00.000,,"Financial",""
"2_2018/19 Q2","2018/19 Q2",2018-01-01 00:00:00.000,,"Financial",""
"2_2018/19 Q3","2018/19 Q3",2018-01-01 00:00:00.000,,"Financial",""
"2_2018/19 Q4","2018/19 Q4",2018-01-01 00:00:00.000,,"Financial",""
"2_2019/20 Q1","2019/20 Q1",2019-01-01 00:00:00.000,,"Financial",""
"2_2013/14 - 17/18","2013/14 - 17/18",2013-01-01 00:00:00.000,,"Financial",""
"2_2014/15 - 18/19","2014/15 - 18/19",2014-01-01 00:00:00.000,,"Financial",""
"2_Dec 2015","Dec 2015",2015-01-01 00:00:00.000,,"Financial",""
"2_Jan 2016","Jan 2016",2015-01-01 00:00:00.000,,"Financial",""
"2_Feb 2016","Feb 2016",2015-01-01 00:00:00.000,,"Financial",""
"2_Mar 2016","Mar 2016",2015-01-01 00:00:00.000,,"Financial",""
"2_Apr 2016","Apr 2016",2016-01-01 00:00:00.000,,"Financial",""
"2_May 2016","May 2016",2016-01-01 00:00:00.000,,"Financial",""
"2_Jun 2016","Jun 2016",2016-01-01 00:00:00.000,,"Financial",""
"2_Jul 2016","Jul 2016",2016-01-01 00:00:00.000,,"Financial",""
"2_Aug 2016","Aug 2016",2016-01-01 00:00:00.000,,"Financial",""
"2_Sep 2016","Sep 2016",2016-01-01 00:00:00.000,,"Financial",""
"2_Oct 2016","Oct 2016",2016-01-01 00:00:00.000,,"Financial",""
"2_Nov 2016","Nov 2016",2016-01-01 00:00:00.000,,"Financial",""
"2_Dec 2016","Dec 2016",2016-01-01 00:00:00.000,,"Financial",""
"2_Jan 2017","Jan 2017",2016-01-01 00:00:00.000,,"Financial",""
"2_Feb 2017","Feb 2017",2016-01-01 00:00:00.000,,"Financial",""
"2_Mar 2017","Mar 2017",2016-01-01 00:00:00.000,,"Financial",""
"2_Apr 2017","Apr 2017",2017-01-01 00:00:00.000,,"Financial",""
"2_May 2017","May 2017",2017-01-01 00:00:00.000,,"Financial",""
"2_Jun 2017","Jun 2017",2017-01-01 00:00:00.000,,"Financial",""
"2_Jul 2017","Jul 2017",2017-01-01 00:00:00.000,,"Financial",""
"2_Aug 2017","Aug 2017",2017-01-01 00:00:00.000,,"Financial",""
"2_Sep 2017","Sep 2017",2017-01-01 00:00:00.000,,"Financial",""
"2_Oct 2017","Oct 2017",2017-01-01 00:00:00.000,,"Financial",""
"2_Nov 2017","Nov 2017",2017-01-01 00:00:00.000,,"Financial",""
"2_Dec 2017","Dec 2017",2017-01-01 00:00:00.000,,"Financial",""
"2_Jan 2018","Jan 2018",2017-01-01 00:00:00.000,,"Financial",""
"2_Feb 2018","Feb 2018",2017-01-01 00:00:00.000,,"Financial",""
"2_Mar 2018","Mar 2018",2017-01-01 00:00:00.000,,"Financial",""
"2_Apr 2018","Apr 2018",2018-01-01 00:00:00.000,,"Financial",""
"2_May 2018","May 2018",2018-01-01 00:00:00.000,,"Financial",""
"2_Jun 2018","Jun 2018",2018-01-01 00:00:00.000,,"Financial",""
"2_Jul 2018","Jul 2018",2018-01-01 00:00:00.000,,"Financial",""
"2_Aug 2018","Aug 2018",2018-01-01 00:00:00.000,,"Financial",""
"2_Sep 2018","Sep 2018",2018-01-01 00:00:00.000,,"Financial",""
"2_Oct 2018","Oct 2018",2018-01-01 00:00:00.000,,"Financial",""
"2_Nov 2018","Nov 2018",2018-01-01 00:00:00.000,,"Financial",""
"2_Dec 2018","Dec 2018",2018-01-01 00:00:00.000,,"Financial",""
"2_Sep 2015","Sep 2015",2015-01-01 00:00:00.000,,"Financial",""
"2_Oct 2015","Oct 2015",2015-01-01 00:00:00.000,,"Financial",""
"2_Nov 2015","Nov 2015",2015-01-01 00:00:00.000,,"Financial",""
"2_2012/13 - 16/17","2012/13 - 16/17",2012-01-01 00:00:00.000,,"Financial",""
"2_2019/20","2019/20",2019-01-01 00:00:00.000,,"Financial",""
"2_2020/21","2020/21",2020-01-01 00:00:00.000,,"Financial",""
"2_2021/22","2021/22",2021-01-01 00:00:00.000,,"Financial",""
"2_2022/23","2022/23",2022-01-01 00:00:00.000,,"Financial",""
"2_2023/24","2023/24",2023-01-01 00:00:00.000,,"Financial",""
"2_2024/25","2024/25",2024-01-01 00:00:00.000,,"Financial",""
"2_2025/26","2025/26",2025-01-01 00:00:00.000,,"Financial",""
"2_2026/27","2026/27",2026-01-01 00:00:00.000,,"Financial",""
"2_2027/28","2027/28",2027-01-01 00:00:00.000,,"Financial",""
"2_2028/29","2028/29",2028-01-01 00:00:00.000,,"Financial",""
"2_2029/30","2029/30",2029-01-01 00:00:00.000,,"Financial",""
"2_2030/31","2030/31",2030-01-01 00:00:00.000,,"Financial",""
"2_2031/32","2031/32",2031-01-01 00:00:00.000,,"Financial",""
"2_2032/33","2032/33",2032-01-01 00:00:00.000,,"Financial",""
"2_2033/34","2033/34",2033-01-01 00:00:00.000,,"Financial",""
"2_2034/35","2034/35",2034-01-01 00:00:00.000,,"Financial",""
"2_2035/36","2035/36",2035-01-01 00:00:00.000,,"Financial",""
"2_2036/37","2036/37",2036-01-01 00:00:00.000,,"Financial",""
"2_2037/38","2037/38",2037-01-01 00:00:00.000,,"Financial",""
"2_2038/39","2038/39",2038-01-01 00:00:00.000,,"Financial",""
"2_2039/40","2039/40",2039-01-01 00:00:00.000,,"Financial",""
