SubcategoryKey,MetricTypeKey
22,825
22,4743
22,511
22,6998
22,8329
22,3897
22,7491
22,8905
22,50285
22,50173
22,50177
22,50182
22,50183
22,50290
22,50291
22,50293
22,50294
22,50295
22,50296
22,50297
22,50298
22,50299
22,50300
22,50301
22,50302
22,50303
22,50344
22,50274
22,50275
22,50390
22,50440
22,50441
22,50443
22,50444
22,50459
22,50460
22,50461
22,50465
22,50469
22,50470
22,50628
22,50630
22,50631
22,50632
22,50634
22,50635
22,50636
22,51358
22,51367
22,51368
22,51369
22,51370
22,51371
22,51372
22,51373
22,51389
22,50717
22,50718
22,50719
22,50720
22,50721
22,51425
22,51426
22,51427
22,50728
22,50729
22,50730
22,50731
22,50732
22,50733
22,50742
22,50743
22,50744
22,50745
22,50746
22,50747
22,50748
22,50749
22,51430
22,51439
22,51440
22,51441
22,51442
22,51443
22,51444
22,51445
22,51446
22,51447
22,51448
22,51449
22,51450
22,50753
22,50754
22,50755
22,50756
22,50757
22,50758
22,50759
22,50902
22,50907
22,50909
22,50910
22,50911
22,50912
22,50913
22,51646
34,1973
34,9474
34,3860
34,6421
34,5621
34,1497
34,5237
34,704
34,3157
34,6581
34,1803
34,5717
34,7064
34,8325
34,1998
34,3239
34,7242
34,776
34,4693
34,6044
34,372
34,4221
34,8023
34,1602
34,2754
34,3840
34,7584
34,1222
34,4579
34,8719
34,1559
34,7753
34,3958
34,5317
34,9543
34,5801
34,1917
34,3159
34,8436
34,1999
34,3320
34,5441
34,9345
34,2877
34,2755
34,6731
34,7988
34,3880
34,5226
34,1519
34,2756
34,6905
34,463
34,4222
34,8109
34,1833
34,3073
34,9644
34,3022
34,6839
34,7934
34,4092
34,5431
34,1298
34,2865
34,6688
34,161
34,4093
34,8793
34,2268
34,3669
34,10080
34,1139
34,7619
34,8945
34,3023
34,3024
34,2116
34,1865
34,5557
34,50207
34,50256
34,50257
34,50258
34,51189
34,51190
34,51243
34,51299
34,50647
34,51387
34,51388
34,50722
34,51420
34,51421
34,51422
34,51423
34,51424
34,51559
34,51627
34,51630
33,5808
33,7250
33,7561
33,9661
33,2850
33,9196
33,5587
33,9476
33,2058
33,10059
33,3778
33,10170
33,1569
33,9225
33,418
33,6914
33,8074
33,1717
33,5728
33,9540
33,6993
33,6248
33,10128
33,1108
33,7511
33,8925
33,5068
33,6410
33,10291
33,3850
33,7676
33,1153
33,5069
33,6237
33,2291
33,3691
33,10092
33,182
33,4101
33,2364
33,3692
33,7593
33,748
33,4578
33,8394
33,2532
33,3851
33,10165
33,6613
33,3348
33,318
33,9674
33,897
33,4725
33,8541
33,1715
33,5635
33,9367
33,404
33,6973
33,8228
33,1867
33,5778
33,9033
33,3139
33,6974
33,50180
33,50181
33,50250
33,51018
33,50413
33,50493
33,50861
33,50862
33,51591
33,51593
26,50309
26,50330
26,50331
26,50365
26,50366
26,50367
26,50368
26,50369
26,50370
26,50371
26,50372
26,50373
26,50374
26,50439
26,51134
26,51135
26,51136
26,51137
26,51141
26,50487
26,51208
26,50538
26,50555
26,50556
26,50557
26,51250
26,51251
26,51252
26,50559
26,50560
26,50561
26,50562
26,50563
26,50564
26,50565
26,50566
26,50567
26,50573
26,51283
26,51037
26,51041
26,51333
26,50669
26,50682
26,50683
26,50685
26,50686
26,50687
26,51357
26,51391
26,50715
26,50799
26,50800
26,51483
26,51484
26,51508
26,51509
26,51510
26,51518
26,50865
26,50866
26,50867
26,50868
26,51647
26,51648
26,50983
26,50987
26,50988
26,50994
26,51663
26,51665
26,51666
2,3819
2,4590
2,1165
2,312
2,5920
2,4266
3,6632
3,7524
3,924
3,8698
10,1890
3,9307
3,6123
3,9848
3,7908
3,5719
3,9409
3,1469
4,6338
4,1401
7,678
7,8493
10,2502
10,3522
11,9019
11,5250
13,9945
13,3493
13,3537
20,4385
20,10127
20,3690
20,7433
20,1073
20,2801
20,6624
20,252
20,4187
20,7763
29,4375
29,5791
29,1919
29,2914
29,9420
29,538
29,4376
29,9799
29,779
29,7112
29,8428
29,2163
35,2542
35,677
35,8456
35,2101
35,6017
35,9939
35,806
35,1022
2,7810
2,1530
2,5368
2,9501
2,464
2,8122
2,6364
2,1486
2,1994
2,2800
2,3249
2,9146
21,4033
21,3786
21,6339
21,9136
21,32
21,2687
21,8821
21,2394
21,3716
21,8346
21,2895
21,527
17,50283
19,50284
20,50286
19,50287
19,50288
16,50289
23,50157
17,50158
19,50160
23,50161
19,50162
19,50164
18,50165
19,50167
20,50168
17,50170
2,50172
20,50174
17,50175
29,50176
16,50178
16,50179
28,50184
29,50292
2,50304
2,50305
2,50306
2,50307
2,50308
17,50310
19,50311
19,50312
19,50313
19,50314
19,50315
21,50316
28,50185
19,50186
17,50190
17,50191
19,50192
19,50193
18,50194
19,50195
2,50203
9,50204
20,50206
7,50208
28,50210
7,50317
7,50318
7,50319
7,50320
7,50321
7,50322
11,50324
10,50325
20,50326
32,50327
20,50328
31,50329
21,50332
28,50333
18,50334
18,50335
17,50211
17,50212
17,50213
30,50214
25,50215
25,50216
25,50217
25,50218
25,50219
25,50220
25,50221
25,50222
25,50223
25,50224
25,50225
25,50226
25,50227
19,50230
19,50231
18,50232
18,50233
27,50234
27,50340
30,50341
30,50342
28,50343
17,50345
17,50349
17,50350
17,50351
25,50354
29,50247
29,50248
5,50249
20,50252
20,50253
15,50254
15,50255
9,50375
17,50378
17,50379
32,50380
32,50381
32,50382
28,50383
17,50261
17,50273
20,50276
28,50280
28,50281
28,50399
17,50401
17,50402
16,50405
20,50408
32,50409
32,50410
32,50411
32,50412
7,50414
5,50415
31,50416
17,50417
17,50418
28,50420
28,50421
31,51115
31,51116
18,51117
31,51118
32,51119
31,51120
31,51121
31,51125
31,51126
31,50429
31,50430
31,50431
31,50432
31,50433
20,50436
20,50437
7,50438
31,50442
11,50445
20,50446
20,50450
20,50451
18,50452
20,51138
20,51140
20,51142
21,51145
35,50455
17,51164
17,51165
17,51166
31,51167
31,51168
31,51169
31,51170
28,50478
17,50481
17,50482
17,50484
17,50485
17,50486
28,51176
20,51177
20,51178
20,51187
20,51188
18,51191
18,51192
17,51193
19,51194
19,51195
17,50504
17,51207
17,51209
28,51213
28,51214
31,51217
31,51218
31,51219
32,50517
32,50518
20,50519
20,50520
18,50521
18,50522
18,50523
18,50524
18,50525
18,50526
18,50528
18,50536
25,51222
25,51223
25,51224
25,51225
25,51226
25,51227
25,51228
5,51238
28,50539
28,50542
25,50543
25,50544
31,50545
32,50546
19,50547
19,50548
15,50554
31,50558
31,51244
31,51245
31,51246
31,51247
18,51257
17,51258
17,51259
17,51260
15,50568
15,50569
20,50570
20,50571
16,50572
31,50574
31,50575
28,51270
4,51271
17,51275
20,51298
32,50629
32,50633
31,50637
31,50638
32,51313
21,51314
31,51324
31,51325
31,51326
31,51327
31,51328
31,51329
31,51330
31,51331
2,50645
2,50646
11,50648
21,50649
18,50651
25,50653
25,50659
28,50667
20,50668
7,50679
35,51359
30,51360
30,51361
30,51362
35,51363
17,51364
20,51374
20,51375
20,51376
20,51377
20,51378
20,51379
20,51382
20,50693
20,50694
20,50697
20,50698
20,50699
20,50701
20,50705
32,51383
15,50713
15,50714
28,50716
7,50723
28,50725
30,51407
19,51408
19,51409
28,51410
19,51411
19,51412
19,51413
25,51419
35,50739
21,50740
11,50741
20,50750
20,50751
7,51428
19,51431
7,51432
7,51433
7,51434
7,51435
18,51436
30,51437
17,51438
19,51456
28,51460
10,51461
2,50789
7,50790
32,50798
17,51090
23,51093
32,50824
32,51515
29,51516
29,51520
29,51521
29,50857
32,50858
29,50859
29,50860
17,50863
25,50878
25,50895
32,51548
20,51550
20,51551
32,51588
9,50923
31,51601
31,51602
20,51607
20,51608
20,51609
20,51610
20,51611
23,50954
29,51621
29,51624
28,51625
29,51626
32,50982
32,51640
32,51641
32,51642
32,51643
32,51644
16,51650
28,51651
9,51664
