Name,Address,Postcode,Category,Type,Type 2,Source,lat,long,Description
Vip Electronic Cigarette Stall  Cannon Park Centre Lynchgate Road,VIP ELECTRONIC CIGARETTE STALL  CANNON PARK CENTRE LYNCHGATE ROAD,,Commercial - Retail - Shop / Showroom,Commercial - Retail - Shop / Showroom,,Coventry City Council (LLPG),#N/A,#N/A,LLPG 9 Jul 2020
Japanese Food Van Hertford Street,JAPANESE FOOD VAN HERTFORD STREET,,Commercial - Retail - Fast food outlets / takeaways (hot and cold),Commercial - Retail - Fast food outlets / takeaways (hot and cold),,Coventry City Council (LLPG),#N/A,#N/A,LLPG 9 Jul 2020
Pancake Food Van Hertford Street,PANCAKE FOOD VAN HERTFORD STREET,,Commercial - Retail - Fast food outlets / takeaways (hot and cold),Commercial - Retail - Fast food outlets / takeaways (hot and cold),,Coventry City Council (LLPG),#N/A,#N/A,LLPG 9 Jul 2020
Italian Food Van Hertford Street,ITALIAN FOOD VAN HERTFORD STREET,,Commercial - Retail - Fast food outlets / takeaways (hot and cold),Commercial - Retail - Fast food outlets / takeaways (hot and cold),,Coventry City Council (LLPG),#N/A,#N/A,LLPG 9 Jul 2020
Jacket Potato Food Van Hertford Street,JACKET POTATO FOOD VAN HERTFORD STREET,,Commercial - Retail - Fast food outlets / takeaways (hot and cold),Commercial - Retail - Fast food outlets / takeaways (hot and cold),,Coventry City Council (LLPG),#N/A,#N/A,LLPG 9 Jul 2020
Pork And Stuffing Batch Van Hertford Street,PORK AND STUFFING BATCH VAN HERTFORD STREET,,Commercial - Retail - Fast food outlets / takeaways (hot and cold),Commercial - Retail - Fast food outlets / takeaways (hot and cold),,Coventry City Council (LLPG),#N/A,#N/A,LLPG 9 Jul 2020
Taste Of India Food Van Hertford Street,TASTE OF INDIA FOOD VAN HERTFORD STREET,,Commercial - Retail - Fast food outlets / takeaways (hot and cold),Commercial - Retail - Fast food outlets / takeaways (hot and cold),,Coventry City Council (LLPG),#N/A,#N/A,LLPG 9 Jul 2020
Inpost Delivery Locker  W M Morrison Supermarket Skipworth Road,INPOST DELIVERY LOCKER  W M MORRISON SUPERMARKET SKIPWORTH ROAD,,Commercial - Retail - Retail Service Agent,Commercial - Retail - Retail Service Agent,,Coventry City Council (LLPG),#N/A,#N/A,LLPG 9 Jul 2020
Auntie Annes The Mall  Arena Retail Park Classic Drive,AUNTIE ANNES THE MALL  ARENA RETAIL PARK CLASSIC DRIVE,,Commercial - Retail - Fast food outlets / takeaways (hot and cold),Commercial - Retail - Fast food outlets / takeaways (hot and cold),,Coventry City Council (LLPG),#N/A,#N/A,LLPG 9 Jul 2020
Photo Me Booth At Level 3  West Orchards Shopping Centre Smithford Way,PHOTO ME BOOTH AT LEVEL 3  WEST ORCHARDS SHOPPING CENTRE SMITHFORD WAY,,Commercial - Retail - Retail Service Agent,Commercial - Retail - Retail Service Agent,,Coventry City Council (LLPG),#N/A,#N/A,LLPG 9 Jul 2020
Kiosk Level 1  West Orchards Shopping Centre Smithford Way,KIOSK LEVEL 1  WEST ORCHARDS SHOPPING CENTRE SMITHFORD WAY,,Commercial - Retail - Shop / Showroom,Commercial - Retail - Shop / Showroom,,Coventry City Council (LLPG),#N/A,#N/A,LLPG 9 Jul 2020
First Floor Auntie Annes  West Orchards Shopping Centre Smithford Way,FIRST FLOOR AUNTIE ANNES  WEST ORCHARDS SHOPPING CENTRE SMITHFORD WAY,,Commercial - Retail - Fast food outlets / takeaways (hot and cold),Commercial - Retail - Fast food outlets / takeaways (hot and cold),,Coventry City Council (LLPG),#N/A,#N/A,LLPG 9 Jul 2020
Ground Floor Atrium  West Orchards Shopping Centre Smithford Way,GROUND FLOOR ATRIUM  WEST ORCHARDS SHOPPING CENTRE SMITHFORD WAY,,Commercial - Retail - Restaurant / Cafeteria,Commercial - Retail - Restaurant / Cafeteria,,Coventry City Council (LLPG),#N/A,#N/A,LLPG 9 Jul 2020
Kiosk Ground Floor Smithford Way Entrance  West Orchards Shopping Centre Smithford Way,KIOSK GROUND FLOOR SMITHFORD WAY ENTRANCE  WEST ORCHARDS SHOPPING CENTRE SMITHFORD WAY,,Commercial - Retail - Shop / Showroom,Commercial - Retail - Shop / Showroom,,Coventry City Council (LLPG),#N/A,#N/A,LLPG 9 Jul 2020
Photo Booth Adjacent 63 Lower Precinct,PHOTO BOOTH ADJACENT 63 LOWER PRECINCT,,Commercial - Retail - Retail Service Agent,Commercial - Retail - Retail Service Agent,,Coventry City Council (LLPG),#N/A,#N/A,LLPG 9 Jul 2020
Grahams Jacket Potatoes  Central Six Retail Park Warwick Road,GRAHAMS JACKET POTATOES  CENTRAL SIX RETAIL PARK WARWICK ROAD,,Commercial - Retail - Restaurant / Cafeteria,Commercial - Retail - Restaurant / Cafeteria,,Coventry City Council (LLPG),#N/A,#N/A,LLPG 9 Jul 2020
The Lunch Box Brandon Road,THE LUNCH BOX BRANDON ROAD,,Commercial - Retail - Fast food outlets / takeaways (hot and cold),Commercial - Retail - Fast food outlets / takeaways (hot and cold),,Coventry City Council (LLPG),#N/A,#N/A,LLPG 9 Jul 2020
Vip E Cigarettes Lower Precinct,VIP E CIGARETTES LOWER PRECINCT,,Commercial - Retail - Retail Service Agent,Commercial - Retail - Retail Service Agent,,Coventry City Council (LLPG),#N/A,#N/A,LLPG 9 Jul 2020
Top Gift Phone Accessories Lower Precinct,TOP GIFT PHONE ACCESSORIES LOWER PRECINCT,,Commercial - Retail - Retail Service Agent,Commercial - Retail - Retail Service Agent,,Coventry City Council (LLPG),#N/A,#N/A,LLPG 9 Jul 2020
Yummy Cup Corn Lower Precinct,YUMMY CUP CORN LOWER PRECINCT,,Commercial - Retail - Other Licensed Premise / Vendor,Commercial - Retail - Other Licensed Premise / Vendor,,Coventry City Council (LLPG),#N/A,#N/A,LLPG 9 Jul 2020
Jacket Potato Van Car Park At Tesco  Arena Retail Park Classic Drive,JACKET POTATO VAN CAR PARK AT TESCO  ARENA RETAIL PARK CLASSIC DRIVE,,Commercial - Retail - Fast food outlets / takeaways (hot and cold),Commercial - Retail - Fast food outlets / takeaways (hot and cold),,Coventry City Council (LLPG),#N/A,#N/A,LLPG 9 Jul 2020
