MSOA,Attribute,Value,%,,MSOA,Attribute,Value,,
E02001958,% aged 85 and over,1.1,,,E02001958,% aged 85 and over,TRUETRUE,,
E02001959,% aged 85 and over,2.8,,,E02001959,% aged 85 and over,TRUETRUE,,
E02001961,% aged 85 and over,1.3,,,E02001961,% aged 85 and over,TRUETRUE,,
E02001962,% aged 85 and over,1.3,,,E02001962,% aged 85 and over,TRUETRUE,,
E02001963,% aged 85 and over,3.1,,,E02001963,% aged 85 and over,TRUETRUE,,
E02001964,% aged 85 and over,1.3,,,E02001964,% aged 85 and over,TRUETRUE,,
E02001965,% aged 85 and over,2.3,,,E02001965,% aged 85 and over,TRUETRUE,,
E02001966,% aged 85 and over,1.4,,,E02001966,% aged 85 and over,TRUETRUE,,
E02001967,% aged 85 and over,3.3,,,E02001967,% aged 85 and over,TRUETRUE,,
E02001968,% aged 85 and over,1.4,,,E02001968,% aged 85 and over,TRUETRUE,,
E02001969,% aged 85 and over,2.4,,,E02001969,% aged 85 and over,TRUETRUE,,
E02001970,% aged 85 and over,3.5,,,E02001970,% aged 85 and over,TRUETRUE,,
E02001971,% aged 85 and over,1.9,,,E02001971,% aged 85 and over,TRUETRUE,,
E02001972,% aged 85 and over,0.5,,,E02001972,% aged 85 and over,TRUETRUE,,
E02001973,% aged 85 and over,1.2,,,E02001973,% aged 85 and over,TRUETRUE,,
E02001974,% aged 85 and over,2.4,,,E02001974,% aged 85 and over,TRUETRUE,,
E02001975,% aged 85 and over,1.7,,,E02001975,% aged 85 and over,TRUETRUE,,
E02001976,% aged 85 and over,2.6,,,E02001976,% aged 85 and over,TRUETRUE,,
E02001977,% aged 85 and over,1.1,,,E02001977,% aged 85 and over,TRUETRUE,,
E02001978,% aged 85 and over,1.9,,,E02001978,% aged 85 and over,TRUETRUE,,
E02001979,% aged 85 and over,4.1,,,E02001979,% aged 85 and over,TRUETRUE,,
E02001980,% aged 85 and over,3.3,,,E02001980,% aged 85 and over,TRUETRUE,,
E02001981,% aged 85 and over,0.5,,,E02001981,% aged 85 and over,TRUETRUE,,
E02001982,% aged 85 and over,2.3,,,E02001982,% aged 85 and over,TRUETRUE,,
E02001983,% aged 85 and over,2.2,,,E02001983,% aged 85 and over,TRUETRUE,,
E02001984,% aged 85 and over,1.8,,,E02001984,% aged 85 and over,TRUETRUE,,
E02001985,% aged 85 and over,0.4,,,E02001985,% aged 85 and over,TRUETRUE,,
E02001986,% aged 85 and over,1.8,,,E02001986,% aged 85 and over,TRUETRUE,,
E02001987,% aged 85 and over,1.7,,,E02001987,% aged 85 and over,TRUETRUE,,
E02001988,% aged 85 and over,0.8,,,E02001988,% aged 85 and over,TRUETRUE,,
E02001989,% aged 85 and over,1.5,,,E02001989,% aged 85 and over,TRUETRUE,,
E02001990,% aged 85 and over,2.9,,,E02001990,% aged 85 and over,TRUETRUE,,
E02001991,% aged 85 and over,3.5,,,E02001991,% aged 85 and over,TRUETRUE,,
E02001992,% aged 85 and over,1.6,,,E02001992,% aged 85 and over,TRUETRUE,,
E02001993,% aged 85 and over,2,,,E02001993,% aged 85 and over,TRUETRUE,,
E02001994,% aged 85 and over,2.2,,,E02001994,% aged 85 and over,TRUETRUE,,
E02001995,% aged 85 and over,2.1,,,E02001995,% aged 85 and over,TRUETRUE,,
E02001996,% aged 85 and over,1.6,,,E02001996,% aged 85 and over,TRUETRUE,,
E02001997,% aged 85 and over,3.9,,,E02001997,% aged 85 and over,TRUETRUE,,
E02001998,% aged 85 and over,3.1,,,E02001998,% aged 85 and over,TRUETRUE,,
E02001999,% aged 85 and over,1.5,,,E02001999,% aged 85 and over,TRUETRUE,,
E02006805,% aged 85 and over,1.4,,,E02006805,% aged 85 and over,TRUETRUE,,
E08000026,% aged 85 and over,,2.00%,,,,,,
E02001958,% agree it is easy to travel around in Coventry by bike,,62.30%,,E02006805,% agree it is easy to travel around in Coventry by bike,FALSETRUE,,
E02001959,% agree it is easy to travel around in Coventry by bike,,34.62%,,E02001958,% agree it is easy to travel around in Coventry by bike,FALSETRUE,,
E02001961,% agree it is easy to travel around in Coventry by bike,,63.83%,,E02001959,% agree it is easy to travel around in Coventry by bike,FALSETRUE,,
E02001962,% agree it is easy to travel around in Coventry by bike,,31.25%,,E02001961,% agree it is easy to travel around in Coventry by bike,FALSETRUE,,
E02001963,% agree it is easy to travel around in Coventry by bike,,39.53%,,E02001962,% agree it is easy to travel around in Coventry by bike,FALSETRUE,,
E02001964,% agree it is easy to travel around in Coventry by bike,,38.71%,,E02001963,% agree it is easy to travel around in Coventry by bike,FALSETRUE,,
E02001965,% agree it is easy to travel around in Coventry by bike,,32.35%,,E02001964,% agree it is easy to travel around in Coventry by bike,FALSETRUE,,
E02001966,% agree it is easy to travel around in Coventry by bike,,65.00%,,E02001965,% agree it is easy to travel around in Coventry by bike,FALSETRUE,,
E02001967,% agree it is easy to travel around in Coventry by bike,,60.00%,,E02001966,% agree it is easy to travel around in Coventry by bike,FALSETRUE,,
E02001968,% agree it is easy to travel around in Coventry by bike,,58.14%,,E02001967,% agree it is easy to travel around in Coventry by bike,FALSETRUE,,
E02001969,% agree it is easy to travel around in Coventry by bike,,56.25%,,E02001968,% agree it is easy to travel around in Coventry by bike,FALSETRUE,,
E02001970,% agree it is easy to travel around in Coventry by bike,,58.82%,,E02001969,% agree it is easy to travel around in Coventry by bike,FALSETRUE,,
E02001971,% agree it is easy to travel around in Coventry by bike,,42.42%,,E02001970,% agree it is easy to travel around in Coventry by bike,FALSETRUE,,
E02001972,% agree it is easy to travel around in Coventry by bike,,73.58%,,E02001971,% agree it is easy to travel around in Coventry by bike,FALSETRUE,,
E02001973,% agree it is easy to travel around in Coventry by bike,,41.54%,,E02001972,% agree it is easy to travel around in Coventry by bike,FALSETRUE,,
E02001974,% agree it is easy to travel around in Coventry by bike,,43.48%,,E02001973,% agree it is easy to travel around in Coventry by bike,FALSETRUE,,
E02001975,% agree it is easy to travel around in Coventry by bike,,36.73%,,E02001974,% agree it is easy to travel around in Coventry by bike,FALSETRUE,,
E02001976,% agree it is easy to travel around in Coventry by bike,,64.38%,,E02001975,% agree it is easy to travel around in Coventry by bike,FALSETRUE,,
E02001977,% agree it is easy to travel around in Coventry by bike,,52.00%,,E02001976,% agree it is easy to travel around in Coventry by bike,FALSETRUE,,
E02001978,% agree it is easy to travel around in Coventry by bike,,53.49%,,E02001977,% agree it is easy to travel around in Coventry by bike,FALSETRUE,,
E02001979,% agree it is easy to travel around in Coventry by bike,,40.38%,,E02001978,% agree it is easy to travel around in Coventry by bike,FALSETRUE,,
E02001980,% agree it is easy to travel around in Coventry by bike,,41.67%,,E02001979,% agree it is easy to travel around in Coventry by bike,FALSETRUE,,
E02001981,% agree it is easy to travel around in Coventry by bike,,65.75%,,E02001980,% agree it is easy to travel around in Coventry by bike,FALSETRUE,,
E02001982,% agree it is easy to travel around in Coventry by bike,,48.15%,,E02001981,% agree it is easy to travel around in Coventry by bike,FALSETRUE,,
E02001983,% agree it is easy to travel around in Coventry by bike,,63.41%,,E02001982,% agree it is easy to travel around in Coventry by bike,FALSETRUE,,
E02001984,% agree it is easy to travel around in Coventry by bike,,45.33%,,E02001983,% agree it is easy to travel around in Coventry by bike,FALSETRUE,,
E02001985,% agree it is easy to travel around in Coventry by bike,,54.17%,,E02001984,% agree it is easy to travel around in Coventry by bike,FALSETRUE,,
E02001986,% agree it is easy to travel around in Coventry by bike,,57.14%,,E02001985,% agree it is easy to travel around in Coventry by bike,FALSETRUE,,
E02001987,% agree it is easy to travel around in Coventry by bike,,58.70%,,E02001986,% agree it is easy to travel around in Coventry by bike,FALSETRUE,,
E02001988,% agree it is easy to travel around in Coventry by bike,,77.19%,,E02001987,% agree it is easy to travel around in Coventry by bike,FALSETRUE,,
E02001989,% agree it is easy to travel around in Coventry by bike,,41.67%,,E02001988,% agree it is easy to travel around in Coventry by bike,FALSETRUE,,
E02001990,% agree it is easy to travel around in Coventry by bike,,32.61%,,E02001989,% agree it is easy to travel around in Coventry by bike,FALSETRUE,,
E02001991,% agree it is easy to travel around in Coventry by bike,,49.50%,,E02001990,% agree it is easy to travel around in Coventry by bike,FALSETRUE,,
E02001992,% agree it is easy to travel around in Coventry by bike,,43.64%,,E02001991,% agree it is easy to travel around in Coventry by bike,FALSETRUE,,
E02001993,% agree it is easy to travel around in Coventry by bike,,48.28%,,E02001992,% agree it is easy to travel around in Coventry by bike,FALSETRUE,,
E02001994,% agree it is easy to travel around in Coventry by bike,,41.38%,,E02001993,% agree it is easy to travel around in Coventry by bike,FALSETRUE,,
E02001995,% agree it is easy to travel around in Coventry by bike,,50.00%,,E02001994,% agree it is easy to travel around in Coventry by bike,FALSETRUE,,
E02001996,% agree it is easy to travel around in Coventry by bike,,62.50%,,E02001995,% agree it is easy to travel around in Coventry by bike,FALSETRUE,,
E02001997,% agree it is easy to travel around in Coventry by bike,,50.00%,,E02001996,% agree it is easy to travel around in Coventry by bike,FALSETRUE,,
E02001998,% agree it is easy to travel around in Coventry by bike,,64.86%,,E02001997,% agree it is easy to travel around in Coventry by bike,FALSETRUE,,
E02001999,% agree it is easy to travel around in Coventry by bike,,50.00%,,E02001998,% agree it is easy to travel around in Coventry by bike,FALSETRUE,,
E02006805,% agree it is easy to travel around in Coventry by bike,,48.57%,,E02001999,% agree it is easy to travel around in Coventry by bike,FALSETRUE,,
E08000026,% agree it is easy to travel around in Coventry by bike,,51.03%,,,,,,
