Year,ID,NO2 annual mean concentration
2018,BH13,30.88
2018,SE3,31.92
2018,QAV12,32.41
2018,QAV13,33.74
2018,R5,39.48
2018,R8,35.48
2018,LR1,34.88
2018,LR2,38.10
2018,LR3,37.12
2018,BRN2,34.41
2018,BRN5,35.40
2018,SS1,34.08
2018,SS2,33.19
2018,SS3,35.29
2018,BELL1,36.26
2018,BELL2,33.37
2018,FGS2,32.36
2018,FGS3A,32.87
2018,GR1,33.06
2018,GS1,32.94
2018,GF1,33.95
2018,EB1,30.01
2017,BH13,34.10
2017,SE3,36.60
2017,QAV12,31.10
2017,QAV13,37.30
2017,R8,37.30
2017,LR1,37.80
2017,LR2,37.20
2017,LR3,38.70
2017,BRN2,36.00
2017,BRN5,32.60
2017,SS1,34.30
2017,SS2,31.30
2017,SS3,36.10
2017,BELL1,38.20
2017,BELL2,35.20
2017,FGS2,32.70
2017,FGS3A,33.80
2017,GR1,33.50
2017,GS1,35.30
2017,LON8,30.00
2016,HR2c,35.92
2016,BH13,38.00
2016,QAV12,33.70
2016,BA1c,30.30
2016,SS2,38.80
2016,BELL2,39.50
2016,FGS2,39.10
2016,GR1,39.00
2016,SHP2,35.20
2015,HR2c,31.60
2015,BH13,38.60
2015,SE3,38.70
2015,QAV12,37.10
2015,QAV13,37.40
2015,R4,36.90
2015,R8,38.10
2015,BRN2,37.50
2015,BA1c,33.90
2015,SS1,35.00
2015,SS2,36.40
2015,SS3,37.30
2015,BELL1,38.90
2015,BELL2,36.40
2015,FGS2,37.90
2015,FGS3,37.50
2015,GR1,36.80
2015,TOR1,31.00
2015,SHP1,36.00
2015,BL2,33.70
2014,BH13,37.40
2014,QAV12,38.50
2014,R4,39.60
2014,R8,38.90
2014,BRN2,39.10
2014,SS1,36.80
2014,SS2,38.10
2014,SS3,39.10
2014,BELL2,38.90
2014,FGS2,38.90
2014,GR1,36.50
2014,GF1,37.80
2013,QAV12,39.40
2013,BRN2,38.90
2013,SS1,37.30
2013,SS2,39.00
2013,SS3,39.00
2013,BELL2,39.50
2013,FGS2,39.70
2013,GR1,37.70
2012,R4,39.50
2011,BH13,37.28
2011,SE3,38.73
2011,QAV12,38.26
2011,R4,36.77
2011,R8,38.30
2011,BRN2,38.84
2011,SS1,37.55
2011,SS2,37.53
2011,SS3,38.68
2011,BELL1,39.98
2011,BELL2,39.18
2011,FGS2,37.97
2011,FGS3,38.18
2011,GR1,37.25
2018,HR1,47.11
2018,HR4,46.27
2018,HR6,55.53
2018,BH2a,40.42
2018,FGS4,40.75
2017,HR1,52.80
2017,BH2a,43.50
2017,R5,40.10
2016,HR1,60.60
2016,BH2a,51.20
2016,SE3,42.00
2016,QAV13,42.70
2016,R4,41.90
2016,R5,49.00
2016,R8,41.60
2016,LR1,45.10
2016,LR2,45.30
2016,LR3,44.70
2016,BRN2,41.80
2016,BRN5,41.40
2016,SS1,41.20
2016,SS3,42.80
2016,BELL1,42.20
2016,GS1,40.30
2016,GF1,42.40
2015,HR1,57.60
2015,BH2a,47.10
2015,R5,46.60
2015,LR1,42.30
2015,LR2,43.50
2015,LR3,41.60
2015,BRN5,45.90
2015,FGS1,42.30
2015,GS1,43.10
2015,GF1,40.10
2014,HR1,63.10
2014,BH2a,48.90
2014,SE3,41.40
2014,QAV13,43.30
2014,R5,44.90
2014,LR1,44.00
2014,LR2,43.40
2014,LR3,44.60
2014,BELL1,40.20
2014,FGS1,41.70
2014,FGS3,42.70
2014,GS1,44.50
2013,HR1,60.40
2013,BH2a,53.80
2013,BH13,41.20
2013,SE3,42.50
2013,QAV13,43.10
2013,R4,40.10
2013,R5,48.80
2013,R8,43.00
2013,LR1,42.60
2013,LR2,47.40
2013,LR3,46.50
2013,BELL1,42.30
2013,FGS1,43.90
2013,FGS3,44.00
2012,HR1,63.50
2012,BH2a,77.40
2012,BH13,42.90
2012,SE3,46.40
2012,QAV12,41.60
2012,QAV13,46.00
2012,R5,53.40
2012,R8,41.50
2012,LR1,47.60
2012,LR2,47.20
2012,LR3,64.70
2012,BRN2,44.70
2012,SS1,42.70
2012,SS2,43.20
2012,SS3,40.90
2012,BELL1,44.10
2012,BELL2,42.90
2012,FGS1,45.00
2012,FGS2,43.40
2012,FGS3,47.40
2012,GR1,40.80
2011,HR1,48.67
2011,QAV13,41.92
2011,R5,42.15
2011,LR1,42.18
2011,LR2,44.85
2011,LR3,41.56
2011,FGS1,41.39
2018,HR2c,27.50
2018,SHP1,28.04
2018,SHP2,29.52
2018,LON8,25.30
2018,BS1,21.16
2017,HR2c,26.90
2017,BA1c,25.20
2017,GF1,25.50
2017,SHP2,28.60
2015,SHP2,28.70
2015,LG1,20.00
2011,BH2a,29.47
2018,CC01*/1N,29.00
2018,HR1c,58.40
2018,HR5,46.90
2018,SE1,29.40
2018,QAV01,26.90
2018,R6,42.10
2018,SS5,41.90
2018,BL1,26.00
2018,STL1,28.40
2018,SA1,20.70
2018,SA2,24.20
2018,SA3,25.30
2018,HL1,21.00
2018,KG1,27.40
2017,HR1c,63.90
2017,LON12,44.30
2017,QAV01,28.80
2017,R6,45.70
2017,SS5,42.70
2017,BL1,26.40
2017,DH1,25.60
2016,HR1c,75.60
2016,BH4,47.60
2016,BH15i,42.50
2016,FS1,43.90
2016,CS3,48.10
2016,LON12,45.20
2016,R6,50.50
2016,SS5,49.10
2016,TS3,47.60
2016,QV1,40.40
2016,DH1,29.70
2015,HR1c,81.70
2015,BH4,43.20
2015,FS1,41.20
2015,LON12,42.70
2015,R6,46.10
2015,SS5,47.70
2015,TS3,45.30
2015,TOR2,28.10
2015,BL1,48.50
2014,BH4,47.00
2014,BH15i,42.30
2014,FS1,44.20
2014,LON12,43.90
2014,R6,52.90
2014,R9,41.20
2014,SS5,49.20
2014,Grange2,42.90
2014,TS3,47.90
2013,BH1a,41.20
2013,BH4,46.20
2013,BH15i,44.70
2013,FS1,49.60
2013,CS2,45.90
2013,LON12,44.00
2013,R6,55.70
2013,R9,45.80
2013,SS5,50.70
2012,CC01*/1N,41.70
2012,BH1a,52.80
2012,BH4,56.10
2012,BH14,43.90
2012,FS1,60.00
2012,CS2,49.10
2012,LON12,45.80
2012,R6,58.50
2012,R9,46.60
2012,SS5,51.80
2011,BH1a,48.34
2011,BH4,45.21
2011,BH15i,48.47
2011,FS1,68.26
2011,CS2,46.34
2011,HS3,29.47
2011,LON12,44.01
2011,QAV01,43.37
2011,R6,48.98
2011,SS5,42.67
2018,BH1a,32.10
2018,BH4,37.40
2018,BH15i,34.20
2018,BH14,30.10
2018,FS1,37.80
2018,LON12,39.80
2018,R9,34.40
2018,GR2A,37.80
2018,QV1,30.40
2018,SHP3,30.70
2018,Grange3,30.90
2017,CC01*/1N,33.90
2017,BH1a,35.00
2017,BH4,39.80
2017,BH15i,34.40
2017,BH14,30.30
2017,FS1,39.30
2017,SE1,30.00
2017,R9,34.90
2017,Grange2,32.50
2017,QV1,35.10
2017,SHP3,31.20
2017,STL1,31.20
2017,Grange3,32.20
2016,CC01*/1N,37.10
2016,BH1a,38.60
2016,BH14,36.90
2016,HS3,31.10
2016,SE1,33.40
2016,QAV01,34.20
2016,R9,39.30
2016,Grange2,36.30
2016,SHP3,34.90
2016,BL1,30.00
2015,CC01*/1N,34.90
2015,BH1a,36.80
2015,BH15i,39.30
2015,BH14,34.80
2015,CS2,31.90
2015,HS3,30.60
2015,SE1,31.40
2015,QAV01,34.90
2015,R9,36.70
2015,Grange2,33.00
2015,QV1,39.80
2015,SHP3,31.30
2015,DH1,37.50
2014,CC01*/1N,39.30
2014,BH1a,39.00
2014,BH14,36.70
2014,CS2,38.00
2014,HS3,35.60
2014,SE1,36.10
2014,QAV01,35.00
2014,QV1,39.80
2013,CC01*/1N,32.50
2013,BH14,36.20
2013,HS3,33.20
2013,SE1,37.00
2013,QAV01,38.10
2013,Grange2,38.20
2012,HS3,37.20
2012,SE1,38.10
2012,QAV01,39.10
2012,Grange2,37.60
2011,CC01*/1N,38.15
2011,SE1,38.55
2011,R9,34.63
2018,BA1,32.65
2017,BA1,33.80
2016,BA1,39.70
2015,BA1,32.50
2014,BA1,38.30
2013,BA1,32.90
2012,BA1,59.80
2011,BA1,39.99
2019,CC01/1*N,34.17
2019,HR1,49.44
2019,HR1C,69.66
2019,HR2C,28.77
2019,HR4,44.10
2019,HR5,48.37
2019,HR6,49.60
2019,BH1a,37.05
2019,BH2b,42.96
2019,BH4,41.68
2019,BH13,33.13
2019,BH14,37.35
2019,BH15i,39.96
2019,FS1,44.59
2019,QV1,37.30
2019,GF1,33.55
2019,GS1,34.61
2019,STL1,33.61
2019,LON8,25.32
2019,LON12,45.77
2019,SE1,36.41
2019,SE3,34.60
2019,QAV01,39.99
2019,QAV12,33.76
2019,QAV13,35.18
2019,R5,38.58
2019,R6,48.08
2019,R8a,40.51
2019,R9,37.28
2019,LR1,37.59
2019,LR2,37.79
2019,LR3,35.53
2019,BRN2,34.54
2019,BRN5,33.78
2019,BA1,31.93
2019,SS1,33.31
2019,SS2,33.61
2019,SS3,36.72
2019,SS5,45.81
2019,BELL1,37.49
2019,BELL2,33.48
2019,FGS2,32.88
2019,FGS3a,32.83
2019,FGS4,36.92
2019,GR1,32.31
2019,GR2a,48.22
2019,Grange 3,31.26
2019,SHP1,27.54
2019,SHP2,27.83
2019,SHP3,31.34
2019,BL1,30.05
2019,RR1,39.22
2019,RR2,38.23
2019,RR3,51.60
2019,RR4,37.17
2019,RR5,39.43
2019,SA1,24.00
2019,SA2,27.57
2019,SA4,25.77
2019,HL1,23.60
2019,BS1A,24.23
2019,KG1,29.81
2019,EB1,28.81
