Year,LSOA code (2011),LSOA name (2011),IoD air quality indicator score,Change in score,Coventry postcodes 11 2019.Lower-layer Super Output Area (LSOA) 2011 local name
2012,E01009522,Coventry 014A,1.129,,Coundon - Scots Lane
2012,E01009523,Coventry 010A,0.935,,Hawkes End & countryside
2012,E01009524,Coventry 006A,1.002,,Keresley – Kemscote Road Sandpits Lane
2012,E01009525,Coventry 006B,1.086,,Keresley Green East
2012,E01009526,Coventry 010B,1.046,,Coundon Wedge
2012,E01009527,Coventry 006C,1.138,,Keresley South - Kipling Road
2012,E01009528,Coventry 010C,1.092,,Browns Lane
2012,E01009529,Coventry 014B,1.138,,"Coundon - Keresley Road, Wallace Road"
2012,E01009530,Coventry 014C,1.051,,Coundon – Norman Place Road
2012,E01009531,Coventry 010D,1.09,,Allesley Village
2012,E01009532,Coventry 033A,1.119,,Binley Business Park - Bredon Avenue
2012,E01009535,Coventry 033B,1.081,,Binley - Oxenden Way
2012,E01009536,Coventry 033C,1.119,,Binley - Princethorpe
2012,E01009537,Coventry 035C,1.081,,Binley - Quorn Way Bredon Avenue
2012,E01009538,Coventry 035D,1.081,,Binley Industrial Estate South - Willenhall Lane Central
2012,E01009539,Coventry 039A,1.184,,Willenhall Wood - Middle Ride
2012,E01009540,Coventry 039B,1.106,,Willenhall - Robin Hood & Mary Slessor
2012,E01009541,Coventry 039C,1.107,,Willenhall - Yarningale
2012,E01009542,Coventry 039D,1.107,,Willenhall - Chace Stretton
2012,E01009543,Coventry 033D,1.237,,Binley Oak Farm – Skipworth Road
2012,E01009544,Coventry 038A,1.264,,Whitley Common - Jaguar
2012,E01009548,Coventry 031A,1.598,,"Friargate & Parkside –Technology, N. Cheylesmore"
2012,E01009549,Coventry 037B,1.226,,Cheylesmore - Humphrey Burtons
2012,E01009550,Coventry 037C,1.226,,Cheylesmore N  - The Mount
2012,E01009552,Coventry 037E,1.226,,Cheylesmore - Quinton Park Ulverscroft
2012,E01009553,Coventry 031B,1.24,,Central Six Retail Park - Queens Road
2012,E01009554,Coventry 034A,1.19,,Earlsdon - Newcombe Clarendon & Shaftsbury Roads
2012,E01009555,Coventry 034B,1.249,,"Westwood Gardens - Sir Henry Parkes, Burnsall Roads"
2012,E01009556,Coventry 034C,1.091,,Earlsdon Street Beechwood Avenue South
2012,E01009557,Coventry 034D,1.091,,Canley Gardens – Hearsall Golf course
2012,E01009558,Coventry 034E,1.24,,Earlsdon - Broadway Albany Roads
