GeographyID,MetricType,Value,Recent Trend,Compared to England value or percentiles,Compared to CCGs (since 4/19) value or percentiles
E02001958,"Emergency hospital admissions for hip fracture in 65+
lower confidence limit",67.6,,,
E02001959,"Emergency hospital admissions for hip fracture in 65+
lower confidence limit",44.5,,,
E02001961,"Emergency hospital admissions for hip fracture in 65+
lower confidence limit",113.5,,,
E02001962,"Emergency hospital admissions for hip fracture in 65+
lower confidence limit",72.8,,,
E02001963,"Emergency hospital admissions for hip fracture in 65+
lower confidence limit",86,,,
E02001964,"Emergency hospital admissions for hip fracture in 65+
lower confidence limit",69.9,,,
E02001965,"Emergency hospital admissions for hip fracture in 65+
lower confidence limit",60.8,,,
E02001966,"Emergency hospital admissions for hip fracture in 65+
lower confidence limit",36.9,,,
E02001967,"Emergency hospital admissions for hip fracture in 65+
lower confidence limit",98.4,,,
E02001968,"Emergency hospital admissions for hip fracture in 65+
lower confidence limit",67.6,,,
E02001969,"Emergency hospital admissions for hip fracture in 65+
lower confidence limit",140,,,
E02001970,"Emergency hospital admissions for hip fracture in 65+
lower confidence limit",65.4,,,
E02001971,"Emergency hospital admissions for hip fracture in 65+
lower confidence limit",54.5,,,
E02001972,"Emergency hospital admissions for hip fracture in 65+
lower confidence limit",56.1,,,
E02001973,"Emergency hospital admissions for hip fracture in 65+
lower confidence limit",66.2,,,
E02001974,"Emergency hospital admissions for hip fracture in 65+
lower confidence limit",76.7,,,
E02001975,"Emergency hospital admissions for hip fracture in 65+
lower confidence limit",52.9,,,
E02001976,"Emergency hospital admissions for hip fracture in 65+
lower confidence limit",66.7,,,
E02001977,"Emergency hospital admissions for hip fracture in 65+
lower confidence limit",89.4,,,
E02001978,"Emergency hospital admissions for hip fracture in 65+
lower confidence limit",69.4,,,
E02001979,"Emergency hospital admissions for hip fracture in 65+
lower confidence limit",68.6,,,
E02001980,"Emergency hospital admissions for hip fracture in 65+
lower confidence limit",59.5,,,
E02001981,"Emergency hospital admissions for hip fracture in 65+
lower confidence limit",61.9,,,
E02001982,"Emergency hospital admissions for hip fracture in 65+
lower confidence limit",66.1,,,
E02001983,"Emergency hospital admissions for hip fracture in 65+
lower confidence limit",77.1,,,
E02001984,"Emergency hospital admissions for hip fracture in 65+
lower confidence limit",78.1,,,
E02001985,"Emergency hospital admissions for hip fracture in 65+
lower confidence limit",37.1,,,
E02001986,"Emergency hospital admissions for hip fracture in 65+
lower confidence limit",60.7,,,
E02001987,"Emergency hospital admissions for hip fracture in 65+
lower confidence limit",53.2,,,
E02001988,"Emergency hospital admissions for hip fracture in 65+
lower confidence limit",106,,,
E02001989,"Emergency hospital admissions for hip fracture in 65+
lower confidence limit",38.2,,,
E02001990,"Emergency hospital admissions for hip fracture in 65+
lower confidence limit",80.3,,,
E02001991,"Emergency hospital admissions for hip fracture in 65+
lower confidence limit",70.4,,,
E02001992,"Emergency hospital admissions for hip fracture in 65+
lower confidence limit",85,,,
E02001993,"Emergency hospital admissions for hip fracture in 65+
lower confidence limit",85.2,,,
E02001994,"Emergency hospital admissions for hip fracture in 65+
lower confidence limit",70.1,,,
E02001995,"Emergency hospital admissions for hip fracture in 65+
lower confidence limit",100.8,,,
E02001996,"Emergency hospital admissions for hip fracture in 65+
lower confidence limit",108.4,,,
E02001997,"Emergency hospital admissions for hip fracture in 65+
lower confidence limit",60.8,,,
E02001998,"Emergency hospital admissions for hip fracture in 65+
lower confidence limit",60.9,,,
E02001999,"Emergency hospital admissions for hip fracture in 65+
lower confidence limit",55.8,,,
E02006468,"Emergency hospital admissions for hip fracture in 65+
lower confidence limit",91.1,,,
E02006469,"Emergency hospital admissions for hip fracture in 65+
lower confidence limit",107.1,,,
E02006470,"Emergency hospital admissions for hip fracture in 65+
lower confidence limit",82.2,,,
E02006471,"Emergency hospital admissions for hip fracture in 65+
lower confidence limit",75.6,,,
E02006472,"Emergency hospital admissions for hip fracture in 65+
lower confidence limit",83.8,,,
E02006473,"Emergency hospital admissions for hip fracture in 65+
lower confidence limit",88.7,,,
E02006474,"Emergency hospital admissions for hip fracture in 65+
lower confidence limit",106.8,,,
E02006475,"Emergency hospital admissions for hip fracture in 65+
lower confidence limit",41.4,,,
E02006476,"Emergency hospital admissions for hip fracture in 65+
lower confidence limit",72.7,,,
E02006477,"Emergency hospital admissions for hip fracture in 65+
lower confidence limit",58.6,,,
E02006478,"Emergency hospital admissions for hip fracture in 65+
lower confidence limit",29,,,
E02006479,"Emergency hospital admissions for hip fracture in 65+
lower confidence limit",47.8,,,
E02006480,"Emergency hospital admissions for hip fracture in 65+
lower confidence limit",59,,,
E02006481,"Emergency hospital admissions for hip fracture in 65+
lower confidence limit",127.5,,,
E02006482,"Emergency hospital admissions for hip fracture in 65+
lower confidence limit",45.6,,,
E02006483,"Emergency hospital admissions for hip fracture in 65+
lower confidence limit",128.3,,,
E02006484,"Emergency hospital admissions for hip fracture in 65+
lower confidence limit",90.1,,,
E02006485,"Emergency hospital admissions for hip fracture in 65+
lower confidence limit",68.9,,,
E02006486,"Emergency hospital admissions for hip fracture in 65+
lower confidence limit",88.8,,,
E02006487,"Emergency hospital admissions for hip fracture in 65+
lower confidence limit",108,,,
E02006488,"Emergency hospital admissions for hip fracture in 65+
lower confidence limit",64.4,,,
E02006489,"Emergency hospital admissions for hip fracture in 65+
lower confidence limit",82.9,,,
E02006490,"Emergency hospital admissions for hip fracture in 65+
lower confidence limit",79.4,,,
E02006492,"Emergency hospital admissions for hip fracture in 65+
lower confidence limit",86,,,
E02006493,"Emergency hospital admissions for hip fracture in 65+
lower confidence limit",41.2,,,
E02006494,"Emergency hospital admissions for hip fracture in 65+
lower confidence limit",142.7,,,
E02006495,"Emergency hospital admissions for hip fracture in 65+
lower confidence limit",61.9,,,
E02006496,"Emergency hospital admissions for hip fracture in 65+
lower confidence limit",73.8,,,
E02006497,"Emergency hospital admissions for hip fracture in 65+
lower confidence limit",49.6,,,
E02006498,"Emergency hospital admissions for hip fracture in 65+
lower confidence limit",54.8,,,
E02006499,"Emergency hospital admissions for hip fracture in 65+
lower confidence limit",59.4,,,
E02006500,"Emergency hospital admissions for hip fracture in 65+
lower confidence limit",67.1,,,
E02006501,"Emergency hospital admissions for hip fracture in 65+
lower confidence limit",80.9,,,
E02006502,"Emergency hospital admissions for hip fracture in 65+
lower confidence limit",84.2,,,
E02006503,"Emergency hospital admissions for hip fracture in 65+
lower confidence limit",40.5,,,
E02006504,"Emergency hospital admissions for hip fracture in 65+
lower confidence limit",58.5,,,
E02006505,"Emergency hospital admissions for hip fracture in 65+
lower confidence limit",69.9,,,
E02006506,"Emergency hospital admissions for hip fracture in 65+
lower confidence limit",93.9,,,
E02006507,"Emergency hospital admissions for hip fracture in 65+
lower confidence limit",84.3,,,
E02006508,"Emergency hospital admissions for hip fracture in 65+
lower confidence limit",56.6,,,
E02006509,"Emergency hospital admissions for hip fracture in 65+
lower confidence limit",79.9,,,
E02006510,"Emergency hospital admissions for hip fracture in 65+
lower confidence limit",88.3,,,
E02006511,"Emergency hospital admissions for hip fracture in 65+
lower confidence limit",60.5,,,
E02006512,"Emergency hospital admissions for hip fracture in 65+
lower confidence limit",75.5,,,
E02006513,"Emergency hospital admissions for hip fracture in 65+
lower confidence limit",65.2,,,
E02006514,"Emergency hospital admissions for hip fracture in 65+
lower confidence limit",86.1,,,
E02006515,"Emergency hospital admissions for hip fracture in 65+
lower confidence limit",95.6,,,
E02006516,"Emergency hospital admissions for hip fracture in 65+
lower confidence limit",80.9,,,
E02006517,"Emergency hospital admissions for hip fracture in 65+
lower confidence limit",59.5,,,
E02006518,"Emergency hospital admissions for hip fracture in 65+
lower confidence limit",71.7,,,
E02006519,"Emergency hospital admissions for hip fracture in 65+
lower confidence limit",76,,,
E02006520,"Emergency hospital admissions for hip fracture in 65+
lower confidence limit",84.4,,,
E02006521,"Emergency hospital admissions for hip fracture in 65+
lower confidence limit",54.7,,,
E02006522,"Emergency hospital admissions for hip fracture in 65+
lower confidence limit",46.7,,,
E02006523,"Emergency hospital admissions for hip fracture in 65+
lower confidence limit",92.1,,,
E02006524,"Emergency hospital admissions for hip fracture in 65+
lower confidence limit",58.8,,,
E02006525,"Emergency hospital admissions for hip fracture in 65+
lower confidence limit",89.9,,,
E02006526,"Emergency hospital admissions for hip fracture in 65+
lower confidence limit",96.6,,,
E02006527,"Emergency hospital admissions for hip fracture in 65+
lower confidence limit",76.5,,,
