AreaKey,Period,Value
E05000026,2019,15770
E05000027,2019,10948
E05000028,2019,15261
E05000029,2019,11424
E05000030,2019,11584
E05000031,2019,12824
E05000032,2019,12407
E05000033,2019,12112
E05000034,2019,12072
E05000035,2019,12825
E05000036,2019,11105
E05000037,2019,11138
E05000038,2019,12124
E05000039,2019,15695
E05000040,2019,11042
E05000041,2019,11885
E05000042,2019,12690
E05000043,2019,16674
E05000044,2019,19755
E05000045,2019,22502
E05000046,2019,26162
E05000047,2019,18837
E05000048,2019,17367
E05000049,2019,17591
E05000050,2019,18816
E05000051,2019,17571
E05000052,2019,16784
E05000053,2019,21312
E05000054,2019,18729
E05000055,2019,19650
E05000056,2019,16394
E05000057,2019,20694
E05000058,2019,17013
E05000059,2019,16315
E05000060,2019,16301
E05000061,2019,18340
E05000062,2019,19484
E05000063,2019,19578
E05000085,2019,16144
E05000086,2019,16318
E05000087,2019,13120
E05000088,2019,13710
E05000089,2019,16091
E05000090,2019,13677
E05000091,2019,18075
E05000092,2019,14938
E05000093,2019,11779
E05000094,2019,17007
E05000095,2019,16594
E05000096,2019,13341
E05000097,2019,16127
E05000098,2019,14762
E05000099,2019,15745
E05000100,2019,18706
E05000101,2019,15462
E05000102,2019,18790
E05000103,2019,14127
E05000104,2019,17496
E05000105,2019,17762
E05000106,2019,15604
E05000107,2019,9841
E05000108,2019,17115
E05000109,2019,19801
E05000110,2019,14931
E05000111,2019,16064
E05000112,2019,16754
E05000113,2019,17760
E05000114,2019,16913
E05000115,2019,17855
E05000116,2019,14281
E05000117,2019,5363
E05000118,2019,15106
E05000119,2019,16218
E05000120,2019,16637
E05000121,2019,11012
E05000122,2019,16277
E05000123,2019,19220
E05000124,2019,13862
E05000125,2019,16205
E05000126,2019,10557
E05000127,2019,14960
E05000128,2019,15536
E05000129,2019,12399
E05000130,2019,14457
E05000131,2019,14874
E05000132,2019,14161
E05000133,2019,15742
E05000134,2019,13390
E05000135,2019,13943
E05000136,2019,14920
E05000137,2019,12879
E05000138,2019,15987
E05000139,2019,15945
E05000140,2019,14649
E05000141,2019,14434
E05000142,2019,15643
E05000143,2019,18762
E05000144,2019,16767
E05000145,2019,15541
E05000170,2019,15712
E05000171,2019,14122
E05000172,2019,13727
E05000173,2019,14848
E05000174,2019,13664
E05000175,2019,22007
E05000176,2019,14524
E05000177,2019,17574
E05000178,2019,14021
E05000179,2019,16193
E05000180,2019,13524
E05000181,2019,12951
E05000182,2019,13071
E05000183,2019,14370
E05000184,2019,15124
E05000185,2019,15180
E05000186,2019,13846
E05000187,2019,15736
E05000188,2019,14889
E05000189,2019,14249
E05000190,2019,16166
E05000191,2019,13679
E05000192,2019,12629
E05000193,2019,15678
E05000194,2019,14520
E05000195,2019,14063
E05000196,2019,14373
E05000197,2019,19207
E05000198,2019,17161
E05000199,2019,18629
E05000200,2019,13533
E05000201,2019,17436
E05000202,2019,13342
E05000203,2019,15450
E05000204,2019,17958
E05000205,2019,15837
E05000206,2019,15869
E05000207,2019,15659
E05000208,2019,16067
E05000209,2019,14358
E05000210,2019,15158
E05000211,2019,15737
E05000212,2019,20074
E05000213,2019,13685
E05000214,2019,16979
E05000215,2019,13354
E05000216,2019,15391
E05000217,2019,13463
E05000218,2019,13139
E05000219,2019,12875
E05000220,2019,12273
E05000221,2019,19404
E05000222,2019,21945
E05000223,2019,14983
E05000224,2019,14672
E05000225,2019,22146
E05000226,2019,17979
E05000227,2019,14040
E05000228,2019,23544
E05000229,2019,18460
E05000230,2019,23295
E05000250,2019,11252
E05000251,2019,14548
E05000252,2019,12007
E05000253,2019,9789
E05000254,2019,11377
E05000255,2019,11355
E05000256,2019,11900
E05000257,2019,10779
E05000258,2019,11331
E05000259,2019,7574
E05000260,2019,11350
E05000261,2019,10571
E05000262,2019,14609
E05000263,2019,12177
E05000264,2019,11129
E05000265,2019,13395
E05000266,2019,11457
E05000267,2019,14901
E05000268,2019,14697
E05000269,2019,12064
E05000270,2019,12535
E05000271,2019,14223
E05000272,2019,10565
E05000273,2019,13069
E05000274,2019,10563
E05000275,2019,14947
E05000276,2019,16441
E05000277,2019,15837
E05000278,2019,17792
E05000279,2019,11199
E05000280,2019,16509
E05000281,2019,19235
E05000282,2019,13442
E05000283,2019,13216
E05000284,2019,15955
E05000285,2019,11412
E05000286,2019,13735
E05000287,2019,12589
E05000288,2019,14886
E05000289,2019,13169
E05000290,2019,11502
E05000291,2019,10498
E05000292,2019,10275
E05000293,2019,11807
E05000294,2019,11415
E05000295,2019,11150
E05000296,2019,13381
E05000297,2019,10453
E05000298,2019,10590
E05000299,2019,12547
E05000300,2019,11019
E05000301,2019,14116
E05000302,2019,11573
E05000303,2019,11877
E05000304,2019,12284
E05000305,2019,10882
E05000306,2019,18773
E05000307,2019,12971
E05000308,2019,13107
E05000309,2019,11953
E05000310,2019,17284
E05000311,2019,12434
E05000312,2019,14908
E05000313,2019,14156
E05000314,2019,15037
E05000315,2019,13294
E05000316,2019,13863
E05000317,2019,13313
E05000318,2019,13309
E05000319,2019,18998
E05000320,2019,13875
E05000321,2019,14839
E05000322,2019,14260
E05000323,2019,13178
E05000324,2019,14733
E05000325,2019,18885
E05000326,2019,15604
E05000327,2019,11752
E05000328,2019,13439
E05000329,2019,12667
E05000330,2019,7696
E05000331,2019,15159
E05000332,2019,13660
E05000333,2019,10475
E05000334,2019,11738
E05000335,2019,11132
E05000336,2019,11996
E05000337,2019,16262
E05000338,2019,13338
E05000339,2019,16575
E05000340,2019,14623
E05000341,2019,16544
E05000342,2019,18837
E05000343,2019,12186
E05000344,2019,15120
E05000345,2019,14449
E05000346,2019,13597
E05000347,2019,16067
E05000348,2019,11382
E05000349,2019,11380
E05000350,2019,13868
E05000351,2019,12298
E05000352,2019,16290
E05000353,2019,12986
E05000354,2019,12312
E05000355,2019,13001
E05000356,2019,12608
E05000357,2019,12979
E05000358,2019,18679
E05000359,2019,15585
