Area Code,Under 18,18-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80+,18+,16+
E07000032,"24,361","8,972","7,614","7,955","7,690","7,598","8,834","10,237","10,129","8,682","7,591","8,214","5,875","6,809","106,200","108,779"
E07000170,"27,092","9,454","8,207","9,164","8,495","7,854","8,339","9,789","9,503","7,855","6,744","6,742","5,312","6,163","103,621","106,386"
E07000171,"24,239","8,891","7,847","8,170","7,633","7,213","7,945","9,394","9,591","8,103","6,995","7,340","5,388","6,494","101,004","103,572"
E07000129,"21,991","7,127","6,218","7,111","7,107","6,684","6,819","7,612","7,409","6,523","5,465","5,796","4,264","5,665","83,800","86,102"
E07000033,"16,256","6,010","5,582","5,734","5,329","4,631","5,409","6,676","6,286","5,372","4,487","4,430","3,475","3,848","67,269","68,921"
E07000136,"16,355","6,276","5,716","6,385","6,017","5,312","5,363","5,522","5,452","4,738","4,073","4,020","2,922","3,907","65,703","67,410"
E07000172,"21,775","9,951","8,443","8,969","8,398","7,460","7,294","8,354","8,293","7,100","6,229","6,864","4,953","6,459","98,767","100,941"
E07000130,"35,886","23,145","13,773","13,534","12,781","11,496","11,547","12,798","12,255","10,834","9,514","9,440","6,931","8,932","156,980","160,923"
E07000034,"20,191","7,565","6,819","6,912","6,634","6,412","6,961","7,958","8,207","7,089","6,125","6,084","4,507","5,666","86,939","89,067"
E06000015,"62,955","26,895","21,435","21,857","21,514","19,393","18,570","18,702","17,520","14,253","11,790","11,368","8,236","12,111","223,644","230,309"
E07000035,"12,389","4,844","3,367","3,505","3,485","3,898","4,821","6,071","6,531","5,815","5,200","5,574","4,144","5,149","62,404","64,034"
E07000137,"24,701","9,205","7,325","7,790","7,184","6,944","8,197","10,736","12,136","11,858","11,429","12,451","9,229","10,642","125,126","127,958"
E07000036,"22,673","8,360","7,344","8,043","7,398","7,069","7,840","9,060","8,857","7,273","6,233","6,480","4,847","6,075","94,879","97,394"
E07000173,"24,134","8,056","7,289","8,195","7,872","7,836","7,953","9,080","8,952","7,606","6,742","7,033","4,968","6,768","98,350","100,874"
E07000131,"19,630","6,845","5,110","5,600","5,769","5,958","6,863","7,738","7,605","6,444","5,633","5,904","4,390","5,518","79,377","81,740"
E07000037,"17,713","6,672","5,432","6,026","5,768","5,605","6,197","7,657","7,930","6,901","5,667","5,644","4,005","4,726","78,230","80,227"
E07000132,"22,744","7,676","6,800","7,591","7,537","7,140","7,694","8,780","8,511","7,486","6,777","7,201","5,222","6,313","94,728","97,183"
E06000016,"92,937","50,703","36,380","34,730","33,909","29,602","25,901","24,217","21,527","18,797","14,988","11,806","7,584","11,120","321,264","331,144"
E07000138,"19,505","15,993","9,130","8,674","7,554","6,575","6,099","6,381","6,386","5,276","4,290","4,126","2,871","4,111","87,466","89,489"
E07000174,"23,840","8,035","7,910","8,762","8,407","7,112","7,255","8,335","8,451","7,244","6,067","5,786","4,359","5,270","92,993","95,338"
E07000133,"10,026","3,427","2,859","3,049","2,927","3,098","3,321","4,226","4,459","3,701","3,328","3,463","2,446","3,010","43,314","44,381"
E07000175,"24,983","9,037","7,792","8,277","7,877","7,438","8,170","9,604","9,677","8,514","7,368","7,776","5,703","7,001","104,234","106,958"
E07000038,"19,316","6,853","6,002","6,055","5,894","5,827","6,523","7,922","7,937","7,239","6,514","6,883","5,477","6,410","85,536","87,706"
E07000139,"23,235","8,680","7,140","7,537","7,334","6,856","7,735","9,131","9,301","7,812","6,799","7,604","5,851","7,330","99,110","101,702"
E06000061,"82,837","27,124","23,895","27,246","26,935","25,234","25,453","27,813","26,144","21,492","18,572","18,676","13,215","15,790","297,589","306,579"
E07000134,"21,358","7,763","6,314","6,907","6,778","6,484","7,329","8,270","7,802","6,550","5,772","6,085","4,363","4,880","85,297","87,677"
E06000018,"73,447","63,189","34,898","33,936","28,536","22,946","20,406","20,132","18,794","15,019","11,565","10,150","7,051","10,350","296,972","304,284"
E07000135,"12,487","5,518","3,811","3,905","3,853","3,833","3,734","4,085","4,122","3,683","3,057","3,109","2,396","3,863","48,969","50,360"
E07000176,"24,834","9,477","6,828","7,431","7,885","8,268","8,288","8,995","8,838","7,453","6,550","6,918","5,158","7,138","99,227","101,953"
E06000017,"8,213","3,382","2,291","2,460","2,440","2,418","2,534","3,022","2,970","2,756","2,525","2,851","2,138","2,852","34,639","36,005"
E07000039,"23,354","7,940","7,022","7,528","7,277","7,003","7,577","8,668","8,048","6,540","5,823","5,672","4,036","4,632","87,766","90,306"
E07000140,"19,024","6,858","5,973","6,535","6,261","5,857","6,356","7,255","7,468","6,411","5,786","6,299","4,539","6,162","81,760","83,618"
E07000141,"29,596","9,973","8,110","8,691","8,779","8,970","9,996","11,212","11,315","9,927","8,763","9,232","6,914","8,438","120,320","123,629"
E07000142,"18,745","6,325","5,136","5,481","5,420","5,186","5,949","7,320","7,779","7,075","6,430","6,746","5,075","5,826","79,748","81,882"
E06000062,"96,673","35,660","30,957","34,940","33,754","31,627","31,332","32,664","30,958","25,100","20,770","21,128","14,647","18,143","361,680","371,748"
E07000200,"17,501","6,274","4,596","5,080","4,966","5,342","5,976","7,227","7,316","6,409","6,053","6,794","5,151","6,507","77,691","79,905"
E07000066,"46,175","14,908","13,104","15,101","14,723","13,250","12,901","13,859","12,940","10,960","8,708","9,061","6,249","8,497","154,261","158,901"
E06000055,"43,445","15,205","13,331","15,150","14,932","14,262","13,364","13,821","12,867","10,526","8,685","8,588","5,945","8,476","155,152","159,743"
E07000067,"32,738","11,115","9,238","10,241","10,026","9,784","10,724","12,071","11,245","9,482","8,454","9,000","6,337","7,791","125,508","129,044"
E07000143,"27,463","10,411","9,112","9,677","8,849","8,437","9,050","10,573","11,025","9,657","8,979","9,790","7,263","9,346","122,169","125,063"
E07000068,"16,717","5,736","5,058","5,584","5,522","5,447","5,416","5,879","5,933","4,757","3,896","4,048","3,000","4,759","65,035","66,922"
E07000144,"24,574","8,750","6,890","7,651","7,684","7,886","8,896","10,193","10,238","8,993","8,339","9,272","6,917","9,604","111,313","114,103"
E07000095,"22,676","8,025","6,665","7,574","7,727","7,272","7,043","7,641","7,147","5,805","4,488","4,643","3,477","5,058","82,565","84,911"
E07000008,"26,659","30,686","24,378","22,240","16,706","12,805","9,989","8,853","7,726","6,032","5,100","4,460","3,270","4,810","157,055","160,329"
E07000069,"18,017","6,816","5,385","5,638","5,518","5,288","5,712","6,807","6,792","5,957","5,446","6,544","4,919","6,065","76,887","78,967"
E06000056,"65,781","21,278","19,055","22,176","22,026","20,535","20,218","21,816","21,758","18,057","14,762","14,898","10,713","13,092","240,384","246,820"
E07000070,"39,357","13,809","12,694","13,798","13,601","13,068","13,127","13,517","12,594","10,520","9,046","9,786","7,038","9,634","152,232","156,443"
E07000071,"42,292","22,294","16,012","15,898","14,638","13,758","13,275","13,613","12,610","10,377","8,898","9,865","7,055","8,975","167,268","171,578"
E07000096,"36,001","11,495","10,118","12,026","12,403","12,166","11,694","11,626","11,406","9,593","7,620","7,230","5,145","7,560","130,082","133,718"
E07000009,"19,028","7,054","6,305","6,855","6,928","6,759","6,895","6,955","6,615","5,636","4,906","5,118","3,655","4,907","78,588","80,688"
E07000242,"33,934","11,759","9,929","10,632","10,748","11,063","11,732","12,108","11,515","9,300","7,452","7,657","5,319","7,508","126,722","130,696"
E07000244,"46,657","17,490","13,394","14,384","13,896","13,885","15,613","18,515","19,406","18,226","16,942","18,897","14,063","18,760","213,471","219,067"
E07000072,"29,236","10,272","8,639","9,783","9,822","9,741","9,536","10,552","10,350","8,516","7,013","7,186","5,263","7,399","114,072","117,168"
E07000010,"21,183","7,982","7,046","7,584","7,152","6,547","6,863","7,957","8,013","7,030","6,392","6,433","4,784","6,152","89,935","92,141"
E07000145,"20,740","8,043","6,892","7,127","6,603","6,216","6,660","7,758","7,906","7,041","6,426","6,789","5,043","6,146","88,650","90,989"
E07000073,"23,475","7,375","6,761","8,408","8,269","7,276","6,238","6,487","6,249","5,255","4,198","3,536","2,477","3,748","76,277","78,540"
E07000098,"25,528","8,979","7,378","8,084","8,786","8,874","8,340","8,293","8,154","6,496","5,227","5,218","3,839","5,807","93,475","96,349"
E07000011,"38,001","13,270","11,774","13,646","13,402","12,662","13,148","14,224","13,913","11,831","10,011","10,508","7,629","9,213","155,231","159,265"
E07000202,"34,020","12,017","11,133","12,826","12,585","11,312","10,105","10,004","9,265","7,760","6,542","6,151","4,315","6,424","120,439","124,084"
E07000146,"29,057","10,878","9,500","10,232","9,472","8,766","9,793","11,184","11,964","10,803","10,034","10,846","8,262","10,801","132,535","135,582"
E06000032,"63,778","23,380","19,626","21,724","21,441","19,413","16,171","15,346","13,759","10,942","8,390","6,851","5,053","7,693","189,789","196,390"
E07000074,"12,445","4,786","3,540","3,645","3,554","3,596","4,341","5,466","5,440","4,938","4,307","4,759","3,477","4,228","56,077","57,549"
E07000203,"19,172","7,299","5,757","6,149","5,947","5,798","6,701","7,866","8,325","7,430","6,861","7,338","5,251","6,612","87,334","89,676"
E07000099,"29,393","9,307","8,186","9,418","9,860","10,086","10,123","10,026","9,918","8,074","6,693","6,872","5,076","7,523","111,162","114,293"
E07000147,"16,289","6,376","4,940","5,047","4,954","4,835","5,871","7,357","8,337","8,727","8,429","9,543","7,061","9,508","90,985","92,987"
E07000148,"27,554","22,838","15,670","14,358","12,730","10,573","9,434","9,164","8,314","6,891","6,122","5,838","4,178","5,867","131,977","134,735"
E06000031,"59,199","19,450","18,845","21,780","21,488","18,632","16,236","15,432","13,901","11,542","9,361","8,475","5,825","8,304","189,271","195,128"
E07000075,"17,425","6,458","5,118","5,326","5,229","5,339","5,854","6,857","6,712","5,702","4,880","5,653","4,173","5,550","72,851","74,863"
E07000012,"37,724","11,718","9,805","11,510","12,354","13,030","12,791","12,573","11,907","9,809","8,474","8,756","6,525","8,827","138,079","142,181"
E07000149,"28,768","9,343","7,810","8,629","8,972","8,743","9,584","10,407","10,760","9,496","8,609","9,536","7,181","9,347","118,417","121,618"
E06000033,"40,445","14,145","12,063","13,283","13,816","13,383","13,313","13,541","13,384","11,068","9,265","9,513","6,990","9,793","153,557","157,659"
E07000240,"37,827","10,594","8,996","10,336","11,582","13,157","13,140","12,376","10,862","8,560","6,820","6,787","5,052","7,617","125,879","130,014"
E07000243,"20,998","7,072","6,802","8,071","7,570","6,633","6,026","6,663","6,674","5,308","3,908","3,551","2,573","3,776","74,627","76,718"
E07000076,"27,883","10,165","7,892","8,411","7,441","7,572","8,644","10,640","11,548","11,144","10,575","12,240","9,260","12,034","127,566","130,635"
E07000102,"21,927","7,338","5,705","6,389","7,118","7,767","7,666","7,682","7,328","5,812","4,668","4,657","3,383","4,952","80,465","82,954"
E06000034,"46,182","14,232","12,240","14,824","14,893","13,380","12,482","12,496","11,194","8,782","6,989","7,007","4,523","5,857","138,899","143,457"
E07000077,"20,663","6,632","5,148","5,727","6,230","6,392","6,570","7,351","7,095","5,961","4,939","5,087","3,742","4,920","75,794","78,063"
E07000103,"25,042","8,427","8,772","10,403","10,453","9,760","8,308","7,578","6,456","5,090","3,888","3,443","2,548","3,637","88,763","91,252"
E07000241,"26,052","14,598","10,432","9,860","9,660","9,034","8,075","8,293","8,062","6,647","5,124","4,795","3,579","5,682","103,841","106,554"
E07000245,"34,267","12,452","11,335","12,709","12,170","11,626","11,681","12,906","12,601","10,672","9,421","10,342","7,824","10,244","145,983","149,826"
E09000002,"68,974","21,121","17,965","21,902","22,079","19,822","17,120","15,526","12,762","9,598","6,667","5,168","3,517","5,230","178,477","185,190"
E09000003,"97,438","35,981","35,629","39,344","38,771","36,616","31,844","28,880","25,409","21,070","17,061","15,564","11,160","16,512","353,841","363,855"
E09000004,"58,516","19,838","16,427","18,852","19,101","18,180","16,990","17,995","17,401","14,203","11,086","10,789","7,961","11,916","200,739","206,789"
E09000005,"85,442","39,952","40,425","44,776","41,841","36,035","30,104","27,846","24,028","19,327","14,055","10,715","7,656","11,197","347,957","357,077"
E09000006,"76,436","24,042","21,069","25,513","27,689","27,598","25,815","25,751","24,102","19,339","15,297","16,023","11,543","17,234","281,015","288,994"
E09000007,"43,203","38,891","36,034","35,064","28,594","22,897","19,127","16,826","14,195","11,016","8,328","7,385","5,313","6,717","250,387","255,269"
E09000001,738,"1,229","1,621","1,448","1,132",738,703,676,615,493,387,351,233,290,"9,916","9,981"
E09000008,"98,421","35,990","32,911","38,602","38,114","34,370","30,420","30,541","28,877","22,579","16,730","14,686","10,280","15,056","349,156","359,840"
E09000009,"91,968","38,703","37,631","44,042","43,372","40,057","33,778","29,761","25,571","20,048","15,376","12,500","8,578","12,265","361,682","371,319"
E09000010,"88,799","31,147","25,850","28,886","29,321","28,764","25,977","25,410","23,258","18,728","13,933","11,927","8,639","13,163","285,003","294,739"
E09000011,"70,858","27,620","28,261","33,367","31,143","27,026","22,077","20,638","17,661","13,683","10,129","8,506","5,857","7,415","253,383","260,040"
E09000012,"64,633","28,647","40,045","45,306","35,441","26,454","20,207","18,124","16,158","11,892","8,103","6,031","3,804","5,082","265,294","271,727"
E09000013,"37,891","23,834","32,501","32,578","26,987","21,116","17,035","15,010","12,475","9,112","6,777","5,830","4,048","5,300","212,603","216,521"
E09000014,"62,186","27,065","32,095","36,760","32,906","28,216","24,237","22,245","19,196","14,026","10,046","7,830","5,286","7,270","267,178","273,852"
E09000015,"65,999","24,648","23,491","26,717","26,914","24,375","19,969","18,564","17,297","15,140","12,478","10,590","7,749","11,782","239,714","246,680"
