Ward,Surname,Firstname,Party,Ward URL,Councillor URL,Year,Ward Code
Bablake,Birdi,Jaswant,Conservative,https://www.coventry.gov.uk/councillors?/specificWard/7/bablake,https://www.coventry.gov.uk/councillors?/11/jaswant_singh_birdi,2020-21,E05001218
Bablake,Jandu,Tarlochan,Conservative,https://www.coventry.gov.uk/councillors?/specificWard/7/bablake,https://www.coventry.gov.uk/councillors?/82/tarlochan_singh_jandu,2020-21,E05001218
Bablake,Williams,Glenn,Independent,https://www.coventry.gov.uk/councillors?/specificWard/7/bablake,https://www.coventry.gov.uk/councillors?/70/glenn_williams,2020-21,E05001218
Binley and Willenhall,Lakha,Ram,Labour,https://www.coventry.gov.uk/councillors?/specificWard/8/binley_and_willenhall,https://www.coventry.gov.uk/councillors?/14/ram_lakha,2020-21,E05001219
Binley and Willenhall,Mutton,John,Labour,https://www.coventry.gov.uk/councillors?/specificWard/8/binley_and_willenhall,https://www.coventry.gov.uk/councillors?/13/john_mutton,2020-21,E05001219
Binley and Willenhall,Thomas,Christine,Labour,https://www.coventry.gov.uk/councillors?/specificWard/8/binley_and_willenhall,https://www.coventry.gov.uk/councillors?/12/christine_thomas,2020-21,E05001219
Cheylesmore,Ali,Rois,Labour,https://www.coventry.gov.uk/councillors?/specificWard/9/cheylesmore,https://www.coventry.gov.uk/councillors?/17/rois_ali,2020-21,E05001220
Cheylesmore,Bailey,Roger,Conservative,https://www.coventry.gov.uk/councillors?/specificWard/9/cheylesmore,https://www.coventry.gov.uk/councillors?/15/roger_bailey,2020-21,E05001220
Cheylesmore,Brown ,Richard,Labour,https://www.coventry.gov.uk/councillors?/specificWard/9/cheylesmore,https://www.coventry.gov.uk/councillors?/19/richard_brown,2020-21,E05001220
Earlsdon,Andrews,Allan,Conservative,https://www.coventry.gov.uk/councillors?/specificWard/10/earlsdon,https://www.coventry.gov.uk/councillors?/21/allan_andrews,2020-21,E05001221
Earlsdon,Gittins,Becky,Labour,https://www.coventry.gov.uk/councillors?/specificWard/10/earlsdon,https://www.coventry.gov.uk/councillors?/83/becky_gittins,2020-21,E05001221
