Postcode,Total
CV 2HZ,1
CV1 1AJ,2
CV1 1DL,3
CV1 1DN,1
CV1 1DS,1
CV1 1EX,3
CV1 1FZ,5
CV1 1GF,2
CV1 1GU,5
CV1 1GX,6
CV1 1JD,2
CV1 1JQ,1
CV1 1JR,3
CV1 1LA,1
CV1 1NB,1
CV1 1NQ,8
CV1 1NR,5
CV1 2AA,1
CV1 2AB,3
CV1 2AD,3
CV1 2AE,2
CV1 2AG,1
CV1 2AH,2
CV1 2AJ,13
CV1 2AL,8
CV1 2AR,3
CV1 2AT,2
CV1 2AU,1
Cv1 2aw,5
CV1 2AX,6
CV1 2AY,3
CV1 2AZ,1
CV1 2BA,12
CV1 2BB,1
cv1 2bd,4
CV1 2BG,2
CV1 2BJ,4
CV1 2BN,2
CV1 2BT,5
CV1 2BU,5
CV1 2BX,4
CV1 2BZ,1
CV1 2DA,2
CV1 2DE,10
CV1 2DF,4
CV1 2DG,8
CV1 2DH,1
CV1 2DJ,3
CV1 2DL,9
CV1 2DR,12
CV1 2DS,1
CV1 2EA,1
CV1 2EE,3
CV1 2EL,1
CV1 2FJ,1
CV1 2GB,1
CV1 2GX,1
CV1 2GY,7
CV1 2hn,1
CV1 2HP,1
cv1 2ht,2
CV1 2HU,6
CV1 2HX,5
cv1 2hz,6
CV1 2JA,1
CV1 2JD,5
CV1 2JF,2
CV1 2JH,6
CV1 2JJ,2
Cv1 2jq,2
CV1 2JU,4
CV1 2JW,1
CV1 2LB,4
CV1 2LD,3
cv1 2le,4
CV1 2LJ,1
CV1 2LL,6
CV1 2LP,2
CV1 2LX,2
CV1 2LZ,1
CV1 2NE,3
CV1 2NJ,1
CV1 2NP,11
CV1 2NT,3
CV1 2NU,1
cv1 2pl,1
CV1 2PS,1
CV1 2TE,1
CV1 2TY,6
CV1 2UA,5
CV1 2UB,2
CV1 2UD,5
CV1 2UE,14
CV1 2UF,4
CV1 2UG,8
CV1 2UH,2
CV1 2UJ,1
CV1 2UQ,1
CV1 3AA,2
CV1 3AD,3
CV1 3AE,2
CV1 3AF,3
CV1 3AG,2
CV1 3AL,6
CV1 3AN,5
CV1 3AP,6
CV1 3AQ,8
CV1 3AT,2
CV1 3AU,1
CV1 3AX,1
CV1 3bd,6
CV1 3BE,2
CV1 3BF,11
CV1 3BG,3
CV1 3BJ,3
CV1 3BL,2
CV1 3BN,11
CV1 3BS,2
CV1 3BU,4
CV1 3BX,1
CV1 3BZ,2
CV1 3DA,5
CV1 3DB,1
Cv1 3dd,2
CV1 3DJ,7
CV1 3DT,4
CV1 3EG,1
CV1 3EJ,4
CV1 3EP,4
Cv1 3eq,10
CV1 3ER,1
CV1 3ES,2
CV1 3EW,2
CV1 3EX,4
CV1 3EY,4
CV1 3FZ,1
CV1 3GA,1
CV1 3GB,5
CV1 3GH,4
CV1 3GJ,1
CV1 3GQ,9
CV1 3GS,2
CV1 3GW,7
CV1 3GX,3
CV1 3HB,1
CV1 3HJ,8
Cv1 3hl,1
CV1 3HN,5
CV1 3HP,6
cv1 3hz,1
CV1 3JB,7
CV1 3JN,1
CV1 3JU,4
CV1 3LB,4
CV1 3LD,4
CV1 3LJ,6
CV1 3LL,4
CV1 3LW,2
CV1 3PF,1
CV1 3PG,1
CV1 3PQ,5
CV1 3RW,2
CV1 3RX,4
Cv1 4ae,2
CV1 4AH,1
CV1 4AL,7
CV1 4AN,2
CV1 4AP,1
CV1 4AQ,2
CV1 4AR,3
CV1 4AS,7
CV1 4AW,2
CV1 4AX,5
CV1 4AZ,2
CV1 4BA,1
CV1 4BE,2
CV1 4BH,2
CV1 4BN,2
CV1 4BP,3
CV1 4BS,5
CV1 4BX,1
CV1 4BY,1
CV1 4BZ,2
CV1 4DA,4
CV1 4DB,4
CV1 4DD,4
CV1 4DE,6
CV1 4DG,4
Cv1 4dh,4
CV1 4DJ,2
Cv1 4DL,3
CV1 4DN,1
CV1 4DQ,1
cv1 4ds,3
CV1 4DT,9
CV1 4DU,2
CV1 4DW,2
Cv1 4dy,1
CV1 4EA,1
CV1 4EB,5
cv1 4ed,2
CV1 4EE,12
Cv1 4ef,2
CV1 4EG,3
CV1 4EH,1
CV1 4EN,2
CV1 4EQ,3
CV1 4ER,2
CV1 4ES,3
CV1 4ET,3
CV1 4EU,3
CV1 4EW,5
CV1 4EX,1
CV1 4EZ,1
CV1 4FF,1
CV1 4FL,4
CV1 4FN,3
CV1 4FP,4
CV1 4FQ,7
CV1 4FR,2
CV1 4FT,2
CV1 4FU,2
CV1 4FW,14
CV1 4FZ,1
CV1 4GB,1
CV1 4GD,1
CV1 4GE,3
CV1 4GF,2
CV1 4GG,2
CV1 4GP,4
Cv1 4gq,2
CV1 4GR,2
CV1 4GS,1
CV1 4GT,2
CV1 4GU,9
CV1 4GW,5
CV1 4GX,2
CV1 4GY,1
CV1 4HA,3
CV1 4HB,2
Cv1 4hd,9
CV1 4HE,2
CV1 4HF,1
CV1 4HG,5
CV1 4HH,4
CV1 4HJ,4
CV1 4HL,4
CV1 4HN,1
CV1 4HP,1
Cv1 4hq,4
CV1 4HR,1
Cv1 4hs,3
CV1 4HT,2
CV1 4HU,5
Cv1 4hx,4
CV1 4JA,1
CV1 4JB,2
CV1 4JE,1
CV1 4JH,2
CV1 4JJ,1
CV1 4JL,1
CV1 4JQ,8
CV1 4JR,5
CV1 4JS,1
CV1 4JT,1
CV1 4JU,4
CV1 4JW,3
