Code,Primary Care Network
M86045,Coventry Navigation
M86028,GP Connect
M86617,Coventry Navigation
M86633,GP Connect
M84059,Leamington South
M86612,GP Connect
M86002,GP Connect
M86624,Coventry Navigation
M84041,Nuneaton Grp2
Y04883,Bedworth
M84055,Nuneaton Grp1
M84005,Nuneaton Grp1
M84621,Nuneaton Grp2
M84627,Bedworth
M86012,Coventry Navigation
Y04882,Nuneaton Grp2
M86016,Coventry Navigation
M84618,Bedworth
M86035,Sowe Valley
M84022,Nuneaton Grp1
M84003,Nuneaton Grp1
Y00140,Sowe Valley
M86033,Sowe Valley
M84007,Rural
M86008,Coventry North
M84011,Bedworth
M86048,GP Connect
M86046,Sowe Valley
M86003,Coventry Navigation
M86038,Coventry Navigation
M86007,GP Connect
M86020,Sowe Valley
M86613,Coventry Navigation
M86044,GP Connect
M84006,Rural
M84065,Rugby
M86605,Go West
M84061,Bedworth
M84001,Nuneaton Grp2
M86017,Sowe Valley
M86019,Go West
M84609,Bedworth
M86638,GP Connect
M86001,Sowe Valley
M86005,Coventry Navigation
M84016,Rugby
M84002,Arden
M86032,GP Connect
M86610,GP Connect
M86041,Coventry Navigation
M84004,Rugby
M86021,Coventry North
M86040,Sowe Valley
M86013,Coventry Navigation
M84019,Rural
M86627,GP Connect
M86015,Sowe Valley
M84012,Coventry North
M84051,Nuneaton Grp2
M84037,Nuneaton Grp1
M84035,Rugby
M86034,Go West
M84067,Rugby
M84615,Rural
M86037,Coventry Navigation
M84026,East
M84024,Arden
M86014,Sowe Valley
M84049,Arden
M84066,Stratford Surrounds
M84050,Rugby
M84020,Rugby
M84028,Warwick and Kenilworth
M86010,Go West
M86027,GP Connect
M86622,Coventry North
M84612,Rural
M84064,Leamington South
M86023,Sowe Valley
M84023,Rugby
M84008,Rural
M84030,Stratford Surrounds
M84025,Stratford Surrounds
M84018,Stratford Surrounds
M86018,Coventry North
M84015,Leamington South
M84060,Arden
M84046,Rugby
M84010,Warwick and Kenilworth
M84034,Bedworth
M86039,Coventry North
M84047,Arden
M84042,Rural
Y04965,Coventry Navigation
Y04884,Rural
M84629,East
M84029,Leamington North
M84063,Warwick and Kenilworth
M84044,East
M86006,Go West
Y04952,Go West
M84021,Stratford Central
M84036,Warwick and Kenilworth
M86030,Go West
M84062,East
M84031,Rugby
Y04947,Coventry Navigation
M84070,Leamington South
M84013,Warwick and Kenilworth
M84617,Stratford Central
M84616,Rugby
Y04969,Nuneaton Grp1
M84017,Leamington North
M84014,Stratford Central
M84069,Arden
M84009,East
M84040,Leamington North
M84032,Leamington North
M84043,Stratford Central
Y00060,Coventry Navigation
Y04951,Coventry Navigation
Y00996,Coventry Navigation
M86029,Unity
M86009,Unity
M86004,Unity
Y06218,Rugby
