LSOA,IMD rank,IMD decile,IDACI rank,IDACI decile,IDAOPI rank,IDAOPI decile
E01000001,"29,199",9,"32,806",10,"32,820",10
E01000002,"30,379",10,"29,682",10,"31,938",10
E01000003,"14,915",5,"27,063",9,"16,377",5
E01000005,"8,678",3,"9,458",3,"3,885",2
E01000006,"14,486",5,"13,592",5,"12,934",4
E01000007,"7,256",3,"6,750",3,"2,514",1
E01000008,"5,010",2,"4,452",2,893,1
E01000009,"6,736",3,"10,487",4,"2,238",1
E01000010,"6,900",3,"8,757",3,531,1
E01000011,"7,698",3,"10,815",4,"2,747",1
E01000012,"5,990",2,"4,419",2,"3,554",2
E01000013,"4,573",2,"7,335",3,"6,152",2
E01000014,"5,650",2,"9,854",4,"5,474",2
E01000015,"6,405",2,"6,921",3,"4,299",2
E01000016,"6,739",3,"6,841",3,"6,054",2
E01000017,"4,570",2,"3,696",2,"4,966",2
E01000018,"6,504",2,"5,110",2,"7,710",3
E01000019,"6,410",2,"10,305",4,"5,121",2
E01000020,"5,520",2,"8,053",3,"3,361",2
E01000021,"4,611",2,"4,790",2,"2,973",1
E01000022,"6,098",2,"6,989",3,"8,010",3
E01000023,"5,243",2,"3,538",2,"3,920",2
E01000024,"8,333",3,"13,512",5,"5,988",2
E01000025,"5,303",2,"5,422",2,"5,223",2
E01000027,"5,097",2,"5,532",2,"8,003",3
E01000028,"4,240",2,"5,919",2,"1,337",1
E01000029,"12,389",4,"16,396",5,"14,665",5
E01000030,"4,760",2,"2,800",1,"6,752",3
E01000031,"12,267",4,"12,475",4,"10,229",4
E01000032,"8,037",3,"12,340",4,"10,623",4
E01000033,"4,879",2,"2,770",1,"6,836",3
E01000034,"5,575",2,"6,977",3,"4,183",2
E01000035,"10,070",4,"8,675",3,"10,771",4
E01000036,"15,028",5,"12,404",4,"17,831",6
E01000037,"16,128",5,"16,218",5,"19,150",6
E01000038,"14,671",5,"9,850",3,"12,816",4
E01000039,"12,542",4,"12,722",4,"10,237",4
E01000040,"6,028",2,"6,212",2,"4,009",2
E01000041,"6,601",3,"10,224",4,"8,307",3
E01000042,"3,842",2,"5,029",2,"2,664",1
E01000043,"8,992",3,"12,693",4,"7,080",3
E01000044,"8,825",3,"12,212",4,"11,619",4
E01000045,"5,639",2,"8,928",3,"6,039",2
E01000046,"8,138",3,"9,558",3,"6,970",3
E01000048,"3,117",1,"1,664",1,542,1
E01000049,"3,928",2,"3,071",1,"2,013",1
E01000050,"5,994",2,"13,867",5,"3,780",2
E01000051,"5,228",2,"3,558",2,"4,347",2
E01000052,"6,549",2,"9,291",3,"4,952",2
E01000053,"4,249",2,"5,363",2,"3,562",2
E01000054,"8,124",3,"7,230",3,"8,518",3
E01000055,"7,604",3,"4,611",2,"5,627",2
E01000056,"5,571",2,"8,437",3,"7,170",3
E01000057,"6,712",3,"6,686",3,"9,204",3
E01000058,"7,176",3,"6,900",3,"3,947",2
E01000059,"6,950",3,"10,451",4,"6,592",3
E01000060,"5,475",2,"7,232",3,"6,146",2
E01000061,"2,802",1,"2,377",1,876,1
E01000062,"9,781",3,"11,417",4,"9,404",3
E01000063,"6,520",2,"8,950",3,"9,933",4
E01000064,"5,791",2,"6,500",2,"7,753",3
E01000065,"4,296",2,"7,188",3,"4,265",2
E01000066,"10,329",4,"14,705",5,"6,256",2
E01000067,"13,573",5,"13,001",4,"7,362",3
E01000068,"10,421",4,"16,195",5,"6,374",2
E01000069,"17,580",6,"20,929",7,"11,375",4
E01000070,"13,531",5,"16,928",6,"11,616",4
E01000071,"15,370",5,"13,267",5,"7,099",3
E01000072,"3,974",2,"4,870",2,"4,356",2
E01000073,"4,645",2,"7,658",3,"3,775",2
E01000074,"5,870",2,"5,018",2,"5,611",2
E01000075,"5,215",2,"5,360",2,"8,331",3
E01000076,"5,451",2,"9,330",3,"5,967",2
E01000077,"3,967",2,"4,647",2,"4,001",2
E01000078,"5,874",2,"3,524",2,"7,609",3
E01000079,"6,057",2,"6,811",3,"3,522",2
E01000080,"6,596",3,"8,697",3,"7,102",3
E01000081,"7,738",3,"9,610",3,"8,809",3
E01000082,"9,100",3,"12,181",4,"8,412",3
E01000083,"6,111",2,"6,969",3,"7,666",3
E01000084,"4,315",2,"6,043",2,"5,988",2
E01000085,"5,838",2,"10,257",4,"4,473",2
E01000086,"4,822",2,"7,715",3,"2,071",1
E01000087,"6,122",2,"6,195",2,"5,755",2
E01000088,"8,574",3,"11,795",4,"11,461",4
E01000089,"8,508",3,"9,002",3,"10,978",4
E01000090,"8,873",3,"6,899",3,"13,059",4
E01000091,"3,669",2,"5,868",2,"4,494",2
E01000092,"6,348",2,"6,203",2,"2,433",1
E01000093,"2,669",1,"3,607",2,"3,602",2
E01000094,"8,930",3,"10,679",4,"4,696",2
E01000095,"6,984",3,"6,227",2,"5,578",2
E01000096,"3,997",2,"2,772",1,"7,216",3
E01000097,"4,866",2,"7,948",3,"3,003",1
E01000098,"4,455",2,"6,387",2,"3,976",2
