dateTime,apMAC,Value
15/01/2020 00:00,D8:84:66:0D:1B:E4,0
15/01/2020 00:00,D8:84:66:30:F2:EC,165
15/01/2020 00:00,D8:84:66:30:F7:A2,0
15/01/2020 00:00,D8:84:66:30:F7:C0,0
15/01/2020 00:00,D8:84:66:30:F8:64,0
15/01/2020 00:00,D8:84:66:30:F8:A4,0
15/01/2020 00:00,D8:84:66:30:F9:DA,452
15/01/2020 00:00,D8:84:66:31:7F:24,166
15/01/2020 00:00,D8:84:66:31:7F:36,0
15/01/2020 00:00,D8:84:66:31:7F:42,38
15/01/2020 00:00,D8:84:66:31:7F:7E,94
15/01/2020 00:00,D8:84:66:31:7F:BC,0
15/01/2020 00:00,D8:84:66:31:7F:D4,178
15/01/2020 00:00,D8:84:66:31:80:02,125
15/01/2020 00:00,D8:84:66:31:80:1E,560
15/01/2020 00:00,D8:84:66:31:80:78,6
15/01/2020 00:00,D8:84:66:31:80:7C,0
15/01/2020 00:00,D8:84:66:31:80:86,387
15/01/2020 00:00,D8:84:66:31:80:D2,430
15/01/2020 00:00,D8:84:66:31:80:E4,58
15/01/2020 00:00,D8:84:66:31:80:EC,135
15/01/2020 00:00,D8:84:66:31:80:EE,152
15/01/2020 00:00,D8:84:66:31:80:F2,49
15/01/2020 00:00,D8:84:66:31:81:42,154
15/01/2020 00:00,D8:84:66:31:81:6C,629
15/01/2020 00:00,D8:84:66:31:81:74,0
15/01/2020 00:00,D8:84:66:31:81:A4,246
15/01/2020 00:00,D8:84:66:31:82:26,944
15/01/2020 00:00,D8:84:66:31:82:28,266
15/01/2020 00:00,D8:84:66:31:82:32,281
15/01/2020 00:00,D8:84:66:31:82:3E,0
15/01/2020 00:00,D8:84:66:31:82:40,58
15/01/2020 00:00,D8:84:66:31:82:66,118
15/01/2020 00:00,D8:84:66:31:82:B6,552
15/01/2020 00:00,D8:84:66:31:83:12,218
15/01/2020 00:00,D8:84:66:31:83:14,374
15/01/2020 00:00,D8:84:66:31:83:DA,192
15/01/2020 00:00,D8:84:66:31:85:A0,551
15/01/2020 00:00,D8:84:66:31:D4:0E,0
15/01/2020 00:00,D8:84:66:31:D4:10,0
15/01/2020 00:00,D8:84:66:31:D4:12,111
15/01/2020 00:00,D8:84:66:31:D4:18,0
15/01/2020 00:00,D8:84:66:31:D4:36,0
15/01/2020 00:00,D8:84:66:31:D4:42,792
15/01/2020 00:00,D8:84:66:31:D4:4C,333
15/01/2020 00:00,D8:84:66:31:D4:52,0
15/01/2020 00:00,D8:84:66:31:D4:76,0
15/01/2020 00:00,D8:84:66:31:D4:82,301
15/01/2020 00:00,D8:84:66:31:D4:B2,140
15/01/2020 00:00,D8:84:66:31:D4:E2,0
15/01/2020 00:00,D8:84:66:31:D5:0C,0
15/01/2020 00:00,D8:84:66:31:D5:20,0
15/01/2020 00:00,D8:84:66:31:D5:26,56
15/01/2020 00:00,D8:84:66:31:D5:34,106
15/01/2020 00:00,D8:84:66:31:D5:48,0
15/01/2020 00:00,D8:84:66:31:D5:C4,0
15/01/2020 00:00,D8:84:66:31:D5:DA,506
15/01/2020 00:00,D8:84:66:31:D6:66,285
15/01/2020 00:00,D8:84:66:31:D6:6A,0
15/01/2020 00:00,D8:84:66:31:D6:C8,0
15/01/2020 00:00,D8:84:66:31:D6:D2,0
15/01/2020 00:00,D8:84:66:31:D6:E6,109
15/01/2020 01:00,D8:84:66:0D:1B:E4,0
15/01/2020 01:00,D8:84:66:30:F2:EC,352
15/01/2020 01:00,D8:84:66:30:F7:A2,0
15/01/2020 01:00,D8:84:66:30:F7:C0,0
15/01/2020 01:00,D8:84:66:30:F8:64,0
15/01/2020 01:00,D8:84:66:30:F8:A4,0
15/01/2020 01:00,D8:84:66:30:F9:DA,667
15/01/2020 01:00,D8:84:66:31:7F:24,269
15/01/2020 01:00,D8:84:66:31:7F:36,0
15/01/2020 01:00,D8:84:66:31:7F:42,110
15/01/2020 01:00,D8:84:66:31:7F:7E,193
15/01/2020 01:00,D8:84:66:31:7F:BC,0
15/01/2020 01:00,D8:84:66:31:7F:D4,177
15/01/2020 01:00,D8:84:66:31:80:02,158
15/01/2020 01:00,D8:84:66:31:80:1E,1022
15/01/2020 01:00,D8:84:66:31:80:78,24
15/01/2020 01:00,D8:84:66:31:80:7C,0
15/01/2020 01:00,D8:84:66:31:80:86,439
15/01/2020 01:00,D8:84:66:31:80:D2,775
15/01/2020 01:00,D8:84:66:31:80:E4,71
15/01/2020 01:00,D8:84:66:31:80:EC,158
15/01/2020 01:00,D8:84:66:31:80:EE,229
15/01/2020 01:00,D8:84:66:31:80:F2,80
15/01/2020 01:00,D8:84:66:31:81:42,208
15/01/2020 01:00,D8:84:66:31:81:6C,774
15/01/2020 01:00,D8:84:66:31:81:74,0
15/01/2020 01:00,D8:84:66:31:81:A4,328
15/01/2020 01:00,D8:84:66:31:82:26,1258
15/01/2020 01:00,D8:84:66:31:82:28,369
15/01/2020 01:00,D8:84:66:31:82:32,332
15/01/2020 01:00,D8:84:66:31:82:3E,0
15/01/2020 01:00,D8:84:66:31:82:40,48
15/01/2020 01:00,D8:84:66:31:82:66,126
15/01/2020 01:00,D8:84:66:31:82:B6,954
15/01/2020 01:00,D8:84:66:31:83:12,271
15/01/2020 01:00,D8:84:66:31:83:14,601
15/01/2020 01:00,D8:84:66:31:83:DA,339
15/01/2020 01:00,D8:84:66:31:85:A0,724
15/01/2020 01:00,D8:84:66:31:D4:0E,0
