dateTime,Device,Metric,Value,RAG,
26/01/2020 00:00,A4114,PM2.5,69.529999,,
26/01/2020 00:00,A428,PM2.5,71.134998,,
26/01/2020 00:00,A4600,PM2.5,2.905,,
26/01/2020 00:00,B4098,PM2.5,12.509999,,
26/01/2020 00:00,B4106,PM2.5,28.57,,
26/01/2020 00:30,A4114,PM2.5,89.079994,,
26/01/2020 00:30,A428,PM2.5,87.439995,,
26/01/2020 00:30,A4600,PM2.5,1.99,,
26/01/2020 00:30,B4098,PM2.5,14.92,,
26/01/2020 00:30,B4106,PM2.5,42.689999,,
26/01/2020 01:00,A4114,PM2.5,68.284996,,
26/01/2020 01:00,A428,PM2.5,83.860001,,
26/01/2020 01:00,A4600,PM2.5,1.62,,
26/01/2020 01:00,B4098,PM2.5,19.37,,
26/01/2020 01:00,B4106,PM2.5,38.5,,
26/01/2020 01:30,A4114,PM2.5,43.759998,,
26/01/2020 01:30,A428,PM2.5,64.66,,
26/01/2020 01:30,A4600,PM2.5,1.39,,
26/01/2020 01:30,B4098,PM2.5,12.08,,
26/01/2020 01:30,B4106,PM2.5,28.029999,,
26/01/2020 02:00,A4114,PM2.5,54.57,,
26/01/2020 02:00,A428,PM2.5,48.200001,,
26/01/2020 02:00,A4600,PM2.5,3.02,,
26/01/2020 02:00,B4098,PM2.5,11.11,,
26/01/2020 02:00,B4106,PM2.5,24.495,,
26/01/2020 02:30,A4114,PM2.5,45.66,,
26/01/2020 02:30,A428,PM2.5,48.029999,,
26/01/2020 02:30,A4600,PM2.5,1.26,,
26/01/2020 02:30,B4098,PM2.5,9.12,,
26/01/2020 02:30,B4106,PM2.5,27.75,,
26/01/2020 03:00,A4114,PM2.5,48.254997,,
26/01/2020 03:00,A428,PM2.5,37.529999,,
26/01/2020 03:00,A4600,PM2.5,2.15,,
26/01/2020 03:00,B4098,PM2.5,10.985,,
26/01/2020 03:00,B4106,PM2.5,25.699999,,
26/01/2020 03:30,A4114,PM2.5,31.98,,
26/01/2020 03:30,A428,PM2.5,33.264999,,
26/01/2020 03:30,A4600,PM2.5,2.45,,
26/01/2020 03:30,B4098,PM2.5,7.27,,
26/01/2020 03:30,B4106,PM2.5,18.41,,
26/01/2020 04:00,A4114,PM2.5,28.779999,,
26/01/2020 04:00,A428,PM2.5,15.54,,
26/01/2020 04:00,A4600,PM2.5,1.41,,
26/01/2020 04:00,B4098,PM2.5,8.78,,
26/01/2020 04:00,B4106,PM2.5,17.309999,,
26/01/2020 04:30,A4114,PM2.5,31.514999,,
26/01/2020 04:30,A428,PM2.5,22.469999,,
26/01/2020 04:30,A4600,PM2.5,0.98,,
26/01/2020 04:30,B4098,PM2.5,8.66,,
26/01/2020 04:30,B4106,PM2.5,16.549999,,
26/01/2020 05:00,A4114,PM2.5,24.019999,,
26/01/2020 05:00,A428,PM2.5,27.53,,
26/01/2020 05:00,A4600,PM2.5,0.93,,
26/01/2020 05:00,B4098,PM2.5,8.929999,,
26/01/2020 05:00,B4106,PM2.5,18.84,,
26/01/2020 05:30,A4114,PM2.5,33.419998,,
26/01/2020 05:30,A428,PM2.5,30.67,,
26/01/2020 05:30,A4600,PM2.5,0.64,,
26/01/2020 05:30,B4098,PM2.5,4.98,,
26/01/2020 05:30,B4106,PM2.5,15.52,,
26/01/2020 06:00,A4114,PM2.5,28.809999,,
26/01/2020 06:00,A428,PM2.5,21.529999,,
26/01/2020 06:00,A4600,PM2.5,1.29,,
26/01/2020 06:00,B4098,PM2.5,9.13,,
26/01/2020 06:00,B4106,PM2.5,15.5,,
26/01/2020 06:30,A4114,PM2.5,33.38,,
26/01/2020 06:30,A428,PM2.5,31.49,,
26/01/2020 06:30,A4600,PM2.5,1.03,,
26/01/2020 06:30,B4098,PM2.5,8.78,,
26/01/2020 06:30,B4106,PM2.5,21.459999,,
26/01/2020 07:00,A4114,PM2.5,34.52,,
26/01/2020 07:00,A428,PM2.5,25.064999,,
26/01/2020 07:00,A4600,PM2.5,1.01,,
26/01/2020 07:00,B4098,PM2.5,10.45,,
26/01/2020 07:00,B4106,PM2.5,24.279999,,
26/01/2020 07:30,A4114,PM2.5,29.029999,,
26/01/2020 07:30,A428,PM2.5,23.58,,
26/01/2020 07:30,A4600,PM2.5,1.23,,
26/01/2020 07:30,B4098,PM2.5,6.82,,
26/01/2020 07:30,B4106,PM2.5,14.55,,
26/01/2020 08:00,A4114,PM2.5,25.514999,,
26/01/2020 08:00,A428,PM2.5,20.25,,
26/01/2020 08:00,A4600,PM2.5,1.09,,
26/01/2020 08:00,B4098,PM2.5,7.455,,
26/01/2020 08:00,B4106,PM2.5,15.099999,,
26/01/2020 08:30,A4114,PM2.5,23.949999,,
26/01/2020 08:30,A428,PM2.5,19.249999,,
26/01/2020 08:30,A4600,PM2.5,1.835,,
26/01/2020 08:30,B4098,PM2.5,11.78,,
26/01/2020 08:30,B4106,PM2.5,20.879999,,
26/01/2020 09:00,A4114,PM2.5,20.66,,
26/01/2020 09:00,A428,PM2.5,17.16,,
26/01/2020 09:00,A4600,PM2.5,0.88,,
26/01/2020 09:00,B4098,PM2.5,7.42,,
26/01/2020 09:00,B4106,PM2.5,11.074999,,
26/01/2020 09:30,A4114,PM2.5,18.46,,
26/01/2020 09:30,A428,PM2.5,14.08,,
26/01/2020 09:30,A4600,PM2.5,1.01,,
26/01/2020 09:30,B4098,PM2.5,13.635,,
26/01/2020 09:30,B4106,PM2.5,8.84,,
26/01/2020 10:00,A4114,PM2.5,11.5,,
26/01/2020 10:00,A428,PM2.5,12.11,,
26/01/2020 10:00,A4600,PM2.5,1.13,,
26/01/2020 10:00,B4098,PM2.5,2.61,,
26/01/2020 10:00,B4106,PM2.5,9.33,,
26/01/2020 10:30,A4114,PM2.5,15.33,,
26/01/2020 10:30,A428,PM2.5,11.095,,
26/01/2020 10:30,A4600,PM2.5,3.22,,
26/01/2020 10:30,B4098,PM2.5,0.5,,
26/01/2020 10:30,B4106,PM2.5,8.34,,
26/01/2020 11:00,A4114,PM2.5,10.099999,,
26/01/2020 11:00,A428,PM2.5,6.93,,
26/01/2020 11:00,A4600,PM2.5,1.16,,
26/01/2020 11:00,B4098,PM2.5,2.8,,
26/01/2020 11:00,B4106,PM2.5,8.7,,
26/01/2020 11:30,A4114,PM2.5,12.695,,
26/01/2020 11:30,A428,PM2.5,7.67,,
26/01/2020 11:30,A4600,PM2.5,1.025,,
26/01/2020 11:30,B4098,PM2.5,2.99,,
26/01/2020 11:30,B4106,PM2.5,9.27,,
26/01/2020 12:00,A4114,PM2.5,17.619999,,
26/01/2020 12:00,A428,PM2.5,11.385,,
26/01/2020 12:00,A4600,PM2.5,3.07,,
26/01/2020 12:00,B4098,PM2.5,4.09,,
26/01/2020 12:00,B4106,PM2.5,10.63,,
26/01/2020 12:30,A4114,PM2.5,26.92,,
26/01/2020 12:30,A428,PM2.5,10.57,,
26/01/2020 12:30,A4600,PM2.5,1.39,,
26/01/2020 12:30,B4098,PM2.5,3.59,,
