Site,LocationName,BRCYear,BRCMonthName,BRCWeekNum,DayName,Date,Hour,InCount,OutCount,ReportCount,FactoredInCount,FactoredOutCount,FactoredReportCount,LocationGroup
Coventry City Centre,Broadgate at Greyfriars Lane  Eastbound,2024,January,4,Thursday,25 Jan 2024,00:00,20,0,20,20,0,20,No Group
Coventry City Centre,Broadgate at Greyfriars Lane  Eastbound,2024,January,4,Thursday,25 Jan 2024,01:00,6,0,6,6,0,6,No Group
Coventry City Centre,Broadgate at Greyfriars Lane  Eastbound,2024,January,4,Thursday,25 Jan 2024,02:00,13,0,13,13,0,13,No Group
Coventry City Centre,Broadgate at Greyfriars Lane  Eastbound,2024,January,4,Thursday,25 Jan 2024,03:00,5,0,5,5,0,5,No Group
Coventry City Centre,Broadgate at Greyfriars Lane  Eastbound,2024,January,4,Thursday,25 Jan 2024,04:00,20,0,20,20,0,20,No Group
Coventry City Centre,Broadgate at Greyfriars Lane  Eastbound,2024,January,4,Thursday,25 Jan 2024,05:00,6,0,6,6,0,6,No Group
Coventry City Centre,Broadgate at Greyfriars Lane  Eastbound,2024,January,4,Thursday,25 Jan 2024,06:00,15,0,15,15,0,15,No Group
Coventry City Centre,Broadgate at Greyfriars Lane  Eastbound,2024,January,4,Thursday,25 Jan 2024,07:00,66,0,66,66,0,66,No Group
Coventry City Centre,Broadgate at Greyfriars Lane  Eastbound,2024,January,4,Thursday,25 Jan 2024,08:00,422,0,422,422,0,422,No Group
Coventry City Centre,Broadgate at Greyfriars Lane  Eastbound,2024,January,4,Thursday,25 Jan 2024,09:00,508,0,508,508,0,508,No Group
Coventry City Centre,Broadgate at Greyfriars Lane  Eastbound,2024,January,4,Thursday,25 Jan 2024,10:00,613,0,613,613,0,613,No Group
Coventry City Centre,Broadgate at Greyfriars Lane  Eastbound,2024,January,4,Thursday,25 Jan 2024,11:00,701,0,701,701,0,701,No Group
Coventry City Centre,Broadgate at Greyfriars Lane  Eastbound,2024,January,4,Thursday,25 Jan 2024,12:00,1127,0,1127,1127,0,1127,No Group
Coventry City Centre,Broadgate at Greyfriars Lane  Eastbound,2024,January,4,Thursday,25 Jan 2024,13:00,1129,0,1129,1129,0,1129,No Group
Coventry City Centre,Broadgate at Greyfriars Lane  Eastbound,2024,January,4,Thursday,25 Jan 2024,14:00,859,0,859,859,0,859,No Group
Coventry City Centre,Broadgate at Greyfriars Lane  Eastbound,2024,January,4,Thursday,25 Jan 2024,15:00,694,0,694,694,0,694,No Group
Coventry City Centre,Broadgate at Greyfriars Lane  Eastbound,2024,January,4,Thursday,25 Jan 2024,16:00,664,0,664,664,0,664,No Group
Coventry City Centre,Broadgate at Greyfriars Lane  Eastbound,2024,January,4,Thursday,25 Jan 2024,17:00,386,0,386,386,0,386,No Group
Coventry City Centre,Broadgate at Greyfriars Lane  Eastbound,2024,January,4,Thursday,25 Jan 2024,18:00,241,0,241,241,0,241,No Group
Coventry City Centre,Broadgate at Greyfriars Lane  Eastbound,2024,January,4,Thursday,25 Jan 2024,19:00,203,0,203,203,0,203,No Group
Coventry City Centre,Broadgate at Greyfriars Lane  Eastbound,2024,January,4,Thursday,25 Jan 2024,20:00,110,0,110,110,0,110,No Group
