Attribute,Theme,Order,Hyperlink - link to a pdf or a webpage poss FAC poss CoC,Notes
Tickets Issued (AFD Bookers at Cov Venues),Cultural Participation (Actual),1,Audience Finder Data - Bookings @ Coventry Venues,Number of tickets issued
Tickets Issued (AFD-All),Cultural Participation (Actual),1,Audience Finder Data - Total Bookings ,Number of tickets issued
Total income (AFD Bookers at Cov Venues),Cultural Participation (Actual),1,Audience Finder Data - Bookings @ Coventry Venues,GBP
Total income (AFD-All Bookers),Cultural Participation (Actual),1,Audience Finder Data - Total Bookings ,GBP
No-participation (estimated 2018),Cultural Participation (Estimated),1,Coventry Household Survey 2018,% of people who had not attended cultural events at least 3 times in the last 12 months
Participation (estimated (2018),Cultural Participation (Estimated),1,Coventry Household Survey 2018,% of people who had attended cultural events at least 3 times in the last 12 months
WEMWBS Median Score ,Demographics and Community,1,https://warwick.ac.uk/fac/sci/med/research/platform/wemwbs/,The higher the score the more well people are feeling
Number of Bookers (AFD Bookers at Cov Venues),Cultural Participation (Actual),2,Audience Finder Data - Bookings @ Coventry Venues,Number of bookings made
Number of Bookers (AFD-All) ,Cultural Participation (Actual),2,Audience Finder Data - Total Bookings ,Number of bookings made
Participation (Pubs & cinemas only) [estimated 2018],Cultural Participation (Estimated),2,Coventry Household Survey 2018,% of people who had attended cultural events at least 3 times in the last 12 months but where those took place in a pub or cinema exclusively
Median Age,Demographics and Community,2,http://id.esd.org.uk/metricType/1941,Average Age in Years (from Census 2011)
No of venues visited_Average (AFD Bookers at Cov Venues),Cultural Participation (Actual),3,Audience Finder Data - Bookings @ Coventry Venues,Number of venues visited
No of venues visited_Average (AFD-All),Cultural Participation (Actual),3,Audience Finder Data - Total Bookings ,Number of venues visited
Participation excluding pubs & cinemas (estimated 2018),Cultural Participation (Estimated),3,Coventry Household Survey 2018,% of people who had attended cultural events at least 3 times in the last 12 months excluding pubs & cinemas
Total Participation - Children (estimated 2018),Cultural Participation (Estimated),3,Coventry Household Survey 2018,% of people whose children had attended cultural events at least 3 times in the last 12 months
