Attribute,Theme,Order,Hyperlink - link to a pdf or a webpage poss FAC poss CoC,Notes
Agree They Can Get Involved With The Community,"Civic Pride, Community Cohesion & Safety",8,,% in area - Coventry Household Survey 2018
Agree They Can Influence Decisions,"Civic Pride, Community Cohesion & Safety",8,,% in area - Coventry Household Survey 2019
City Centre Satisfaction,"Civic Pride, Community Cohesion & Safety",8,,% in area - Coventry Household Survey 2020
Feel Safe - Day Time,"Civic Pride, Community Cohesion & Safety",8,,% in area - Coventry Household Survey 2021
Feel Safe - Night Time,"Civic Pride, Community Cohesion & Safety",8,,% in area - Coventry Household Survey 2022
Satisfied with Local Area,"Civic Pride, Community Cohesion & Safety",8,,% in area - Coventry Household Survey 2023
Tickets Issued (AFD Bookers at Cov Venues),Cultural Participation (Actual),1,Audience Finder Data - Bookings @ Coventry Venues,Number of tickets issued
Tickets Issued (AFD-All),Cultural Participation (Actual),1,Audience Finder Data - Total Bookings ,Number of tickets issued
Total income (AFD Bookers at Cov Venues),Cultural Participation (Actual),1,Audience Finder Data - Bookings @ Coventry Venues,GBP
Total income (AFD-All Bookers),Cultural Participation (Actual),1,Audience Finder Data - Total Bookings ,GBP
Number of Bookers (AFD Bookers at Cov Venues),Cultural Participation (Actual),2,Audience Finder Data - Bookings @ Coventry Venues,Number of bookings made
Number of Bookers (AFD-All) ,Cultural Participation (Actual),2,Audience Finder Data - Total Bookings ,Number of bookings made
No of venues visited_Average (AFD Bookers at Cov Venues),Cultural Participation (Actual),3,Audience Finder Data - Bookings @ Coventry Venues,Number of bookings made
No of venues visited_Average (AFD-All),Cultural Participation (Actual),3,Audience Finder Data - Total Bookings ,Number of bookings made
Average yield per ticket (AFD Bookers at Cov Venues),Cultural Participation (Actual),8,Audience Finder Data - Bookings @ Coventry Venues,GBP
Average yield per ticket (AFD),Cultural Participation (Actual),8,Audience Finder Data - Total Bookings ,GBP
Avg. performances booked for per customer (AFD Bookers at Cov Venues),Cultural Participation (Actual),8,Audience Finder Data - Bookings @ Coventry Venues,Average number of performances booked
Avg. performances booked for per customer (AFD),Cultural Participation (Actual),8,Audience Finder Data - Total Bookings ,Average number of performances booked
Children/Family (AFD Bookers at Cov Venues),Cultural Participation (Actual),8,Audience Finder Data - Bookings @ Coventry Venues,Number of bookings made
Children/Family (AFD-All Bookers),Cultural Participation (Actual),8,Audience Finder Data - Total Bookings ,Number of bookings made
Christmas Show  (AFD-All Bookers),Cultural Participation (Actual),8,Audience Finder Data - Total Bookings ,Number of bookings made
Christmas Show(AFD Bookers at Cov Venues),Cultural Participation (Actual),8,Audience Finder Data - Bookings @ Coventry Venues,Number of bookings made
Contemporary Visual Arts  (AFD-All Bookers),Cultural Participation (Actual),8,Audience Finder Data - Total Bookings ,Number of bookings made
Contemporary Visual Arts (AFD Bookers at Cov Venues),Cultural Participation (Actual),8,Audience Finder Data - Bookings @ Coventry Venues,Number of bookings made
