MSOA,Attribute code,Attribute,Value,%
E02001958,1,Agree They Can Get Involved With The Community,,32.86%
E02001959,1,Agree They Can Get Involved With The Community,,54.55%
E02001961,1,Agree They Can Get Involved With The Community,,47.62%
E02001962,1,Agree They Can Get Involved With The Community,,57.89%
E02001963,1,Agree They Can Get Involved With The Community,,64.81%
E02001964,1,Agree They Can Get Involved With The Community,,61.36%
E02001965,1,Agree They Can Get Involved With The Community,,55.13%
E02001966,1,Agree They Can Get Involved With The Community,,54.24%
E02001967,1,Agree They Can Get Involved With The Community,,61.19%
E02001968,1,Agree They Can Get Involved With The Community,,42.37%
E02001969,1,Agree They Can Get Involved With The Community,,47.69%
E02001970,1,Agree They Can Get Involved With The Community,,53.33%
E02001971,1,Agree They Can Get Involved With The Community,,59.42%
E02001972,1,Agree They Can Get Involved With The Community,,51.22%
E02001973,1,Agree They Can Get Involved With The Community,,42.86%
E02001974,1,Agree They Can Get Involved With The Community,,59.32%
E02001975,1,Agree They Can Get Involved With The Community,,63.00%
E02001976,1,Agree They Can Get Involved With The Community,,57.89%
E02001977,1,Agree They Can Get Involved With The Community,,41.73%
E02001978,1,Agree They Can Get Involved With The Community,,35.29%
E02001979,1,Agree They Can Get Involved With The Community,,67.92%
E02001980,1,Agree They Can Get Involved With The Community,,50.82%
E02001981,1,Agree They Can Get Involved With The Community,,36.36%
E02001982,1,Agree They Can Get Involved With The Community,,39.13%
E02001983,1,Agree They Can Get Involved With The Community,,53.66%
E02001984,1,Agree They Can Get Involved With The Community,,71.23%
E02001985,1,Agree They Can Get Involved With The Community,,55.56%
E02001986,1,Agree They Can Get Involved With The Community,,45.59%
E02001987,1,Agree They Can Get Involved With The Community,,55.00%
E02001988,1,Agree They Can Get Involved With The Community,,40.20%
E02001989,1,Agree They Can Get Involved With The Community,,48.21%
E02001990,1,Agree They Can Get Involved With The Community,,55.10%
E02001991,1,Agree They Can Get Involved With The Community,,62.07%
E02001992,1,Agree They Can Get Involved With The Community,,37.50%
