MSOA,Attribute,Value,%
E02001958,% aged 85 and over,1.1,
E02001959,% aged 85 and over,2.8,
E02001961,% aged 85 and over,1.3,
E02001962,% aged 85 and over,1.3,
E02001963,% aged 85 and over,3.1,
E02001964,% aged 85 and over,1.3,
E02001965,% aged 85 and over,2.3,
E02001966,% aged 85 and over,1.4,
E02001967,% aged 85 and over,3.3,
E02001968,% aged 85 and over,1.4,
E02001969,% aged 85 and over,2.4,
E02001970,% aged 85 and over,3.5,
E02001971,% aged 85 and over,1.9,
E02001972,% aged 85 and over,0.5,
E02001973,% aged 85 and over,1.2,
E02001974,% aged 85 and over,2.4,
E02001975,% aged 85 and over,1.7,
E02001976,% aged 85 and over,2.6,
E02001977,% aged 85 and over,1.1,
E02001978,% aged 85 and over,1.9,
E02001979,% aged 85 and over,4.1,
E02001980,% aged 85 and over,3.3,
E02001981,% aged 85 and over,0.5,
E02001982,% aged 85 and over,2.3,
E02001983,% aged 85 and over,2.2,
E02001984,% aged 85 and over,1.8,
E02001985,% aged 85 and over,0.4,
E02001986,% aged 85 and over,1.8,
E02001987,% aged 85 and over,1.7,
E02001988,% aged 85 and over,0.8,
E02001989,% aged 85 and over,1.5,
E02001990,% aged 85 and over,2.9,
E02001991,% aged 85 and over,3.5,
E02001992,% aged 85 and over,1.6,
E02001993,% aged 85 and over,2,
E02001994,% aged 85 and over,2.2,
E02001995,% aged 85 and over,2.1,
E02001996,% aged 85 and over,1.6,
E02001997,% aged 85 and over,3.9,
E02001998,% aged 85 and over,3.1,
E02001999,% aged 85 and over,1.5,
E02006805,% aged 85 and over,1.4,
E02001958,% ethnic minority,,24%
E02001959,% ethnic minority,,23%
E02001961,% ethnic minority,,24%
E02001962,% ethnic minority,,45%
E02001963,% ethnic minority,,15%
E02001964,% ethnic minority,,24%
E02001965,% ethnic minority,,18%
E02001966,% ethnic minority,,77%
E02001967,% ethnic minority,,5%
E02001968,% ethnic minority,,38%
E02001969,% ethnic minority,,23%
E02001970,% ethnic minority,,17%
E02001971,% ethnic minority,,12%
E02001972,% ethnic minority,,69%
E02001973,% ethnic minority,,32%
E02001974,% ethnic minority,,13%
E02001975,% ethnic minority,,20%
E02001976,% ethnic minority,,24%
E02001977,% ethnic minority,,32%
E02001978,% ethnic minority,,31%
E02001979,% ethnic minority,,7%
E02001980,% ethnic minority,,5%
E02001981,% ethnic minority,,59%
E02001982,% ethnic minority,,6%
E02001983,% ethnic minority,,12%
E02001984,% ethnic minority,,22%
E02001985,% ethnic minority,,39%
E02001986,% ethnic minority,,9%
E02001987,% ethnic minority,,23%
E02001988,% ethnic minority,,36%
E02001989,% ethnic minority,,9%
E02001990,% ethnic minority,,18%
E02001991,% ethnic minority,,14%
E02001992,% ethnic minority,,23%
E02001993,% ethnic minority,,20%
E02001994,% ethnic minority,,27%
E02001995,% ethnic minority,,17%
E02001996,% ethnic minority,,18%
E02001997,% ethnic minority,,26%
E02001998,% ethnic minority,,24%
E02001999,% ethnic minority,,35%
E02006805,% ethnic minority,,32%
E02001958,% Households in fuel poverty,334,9.70%
E02001959,% Households in fuel poverty,260,10.30%
E02001961,% Households in fuel poverty,416,12%
E02001962,% Households in fuel poverty,371,15.80%
E02001963,% Households in fuel poverty,231,8.90%
E02001964,% Households in fuel poverty,485,13.90%
E02001965,% Households in fuel poverty,265,7.60%
E02001966,% Households in fuel poverty,538,22.90%
E02001967,% Households in fuel poverty,282,10.10%
E02001968,% Households in fuel poverty,372,13%
E02001969,% Households in fuel poverty,363,12.80%
E02001970,% Households in fuel poverty,251,9.60%
E02001971,% Households in fuel poverty,230,9%
E02001972,% Households in fuel poverty,788,20.50%
E02001973,% Households in fuel poverty,418,11.60%
E02001974,% Households in fuel poverty,347,8.40%
E02001975,% Households in fuel poverty,297,9.40%
E02001976,% Households in fuel poverty,277,8.40%
E02001977,% Households in fuel poverty,629,14.60%
E02001978,% Households in fuel poverty,293,10.90%
E02001979,% Households in fuel poverty,201,7.70%
E02001980,% Households in fuel poverty,204,7.50%
E02001981,% Households in fuel poverty,980,21.40%
E02001982,% Households in fuel poverty,259,7.90%
E02001983,% Households in fuel poverty,299,8.60%
E02001984,% Households in fuel poverty,434,11.60%
E02001985,% Households in fuel poverty,855,26.40%
E02001986,% Households in fuel poverty,355,9.40%
E02001987,% Households in fuel poverty,637,23.10%
E02001988,% Households in fuel poverty,702,18.60%
E02001989,% Households in fuel poverty,246,10.10%
E02001990,% Households in fuel poverty,291,7.50%
E02001991,% Households in fuel poverty,449,11.40%
E02001992,% Households in fuel poverty,465,11.30%
E02001993,% Households in fuel poverty,378,12.20%
E02001994,% Households in fuel poverty,359,10%
E02001995,% Households in fuel poverty,348,10.70%
E02001996,% Households in fuel poverty,366,10.60%
E02001997,% Households in fuel poverty,295,8%
E02001998,% Households in fuel poverty,211,8.40%
E02001999,% Households in fuel poverty,304,12.60%
E02006805,% Households in fuel poverty,427,12.60%
E02001958,Adults 15+ estimate 2019,,80%
E02001959,Adults 15+ estimate 2019,,79%
E02001961,Adults 15+ estimate 2019,,76%
E02001962,Adults 15+ estimate 2019,,73%
E02001963,Adults 15+ estimate 2019,,82%
E02001964,Adults 15+ estimate 2019,,69%
E02001965,Adults 15+ estimate 2019,,81%
E02001966,Adults 15+ estimate 2019,,71%
E02001967,Adults 15+ estimate 2019,,82%
E02001968,Adults 15+ estimate 2019,,74%
E02001969,Adults 15+ estimate 2019,,78%
E02001970,Adults 15+ estimate 2019,,81%
E02001971,Adults 15+ estimate 2019,,79%
E02001972,Adults 15+ estimate 2019,,72%
E02001973,Adults 15+ estimate 2019,,77%
E02001974,Adults 15+ estimate 2019,,80%
E02001975,Adults 15+ estimate 2019,,78%
E02001976,Adults 15+ estimate 2019,,80%
E02001977,Adults 15+ estimate 2019,,83%
E02001978,Adults 15+ estimate 2019,,81%
E02001979,Adults 15+ estimate 2019,,81%
E02001980,Adults 15+ estimate 2019,,86%
E02001981,Adults 15+ estimate 2019,,82%
E02001982,Adults 15+ estimate 2019,,81%
E02001983,Adults 15+ estimate 2019,,82%
E02001984,Adults 15+ estimate 2019,,81%
E02001985,Adults 15+ estimate 2019,,90%
E02001986,Adults 15+ estimate 2019,,78%
E02001987,Adults 15+ estimate 2019,,89%
E02001988,Adults 15+ estimate 2019,,93%
E02001989,Adults 15+ estimate 2019,,80%
E02001990,Adults 15+ estimate 2019,,82%
E02001991,Adults 15+ estimate 2019,,86%
E02001992,Adults 15+ estimate 2019,,75%
E02001993,Adults 15+ estimate 2019,,80%
E02001994,Adults 15+ estimate 2019,,80%
E02001995,Adults 15+ estimate 2019,,81%
E02001996,Adults 15+ estimate 2019,,74%
E02001997,Adults 15+ estimate 2019,,82%
E02001998,Adults 15+ estimate 2019,,81%
E02001999,Adults 15+ estimate 2019,,92%
E02006805,Adults 15+ estimate 2019,,75%
E02001958,Agree They Can Get Involved With The Community,,32.86%
E02001959,Agree They Can Get Involved With The Community,,54.55%
E02001961,Agree They Can Get Involved With The Community,,47.62%
E02001962,Agree They Can Get Involved With The Community,,57.89%
E02001963,Agree They Can Get Involved With The Community,,64.81%
E02001964,Agree They Can Get Involved With The Community,,61.36%
E02001965,Agree They Can Get Involved With The Community,,55.13%
E02001966,Agree They Can Get Involved With The Community,,54.24%
E02001967,Agree They Can Get Involved With The Community,,61.19%
E02001968,Agree They Can Get Involved With The Community,,42.37%
E02001969,Agree They Can Get Involved With The Community,,47.69%
E02001970,Agree They Can Get Involved With The Community,,53.33%
E02001971,Agree They Can Get Involved With The Community,,59.42%
E02001972,Agree They Can Get Involved With The Community,,51.22%
E02001973,Agree They Can Get Involved With The Community,,42.86%
E02001974,Agree They Can Get Involved With The Community,,59.32%
E02001975,Agree They Can Get Involved With The Community,,63.00%
E02001976,Agree They Can Get Involved With The Community,,57.89%
E02001977,Agree They Can Get Involved With The Community,,41.73%
E02001978,Agree They Can Get Involved With The Community,,35.29%
E02001979,Agree They Can Get Involved With The Community,,67.92%
E02001980,Agree They Can Get Involved With The Community,,50.82%
E02001981,Agree They Can Get Involved With The Community,,36.36%
E02001982,Agree They Can Get Involved With The Community,,39.13%
E02001983,Agree They Can Get Involved With The Community,,53.66%
E02001984,Agree They Can Get Involved With The Community,,71.23%
E02001985,Agree They Can Get Involved With The Community,,55.56%
E02001986,Agree They Can Get Involved With The Community,,45.59%
E02001987,Agree They Can Get Involved With The Community,,55.00%
E02001988,Agree They Can Get Involved With The Community,,40.20%
E02001989,Agree They Can Get Involved With The Community,,48.21%
E02001990,Agree They Can Get Involved With The Community,,55.10%
E02001991,Agree They Can Get Involved With The Community,,62.07%
E02001992,Agree They Can Get Involved With The Community,,37.50%
E02001993,Agree They Can Get Involved With The Community,,70.18%
E02001994,Agree They Can Get Involved With The Community,,45.45%
E02001995,Agree They Can Get Involved With The Community,,39.71%
E02001996,Agree They Can Get Involved With The Community,,37.97%
E02001997,Agree They Can Get Involved With The Community,,81.71%
E02001998,Agree They Can Get Involved With The Community,,58.06%
E02001999,Agree They Can Get Involved With The Community,,53.49%
E02006805,Agree They Can Get Involved With The Community,,36.99%
E02001958,Agree They Can Influence Decisions,,22.86%
E02001959,Agree They Can Influence Decisions,,33.33%
E02001961,Agree They Can Influence Decisions,,14.29%
E02001962,Agree They Can Influence Decisions,,61.40%
E02001963,Agree They Can Influence Decisions,,51.85%
E02001964,Agree They Can Influence Decisions,,56.82%
E02001965,Agree They Can Influence Decisions,,37.18%
E02001966,Agree They Can Influence Decisions,,38.98%
E02001967,Agree They Can Influence Decisions,,43.28%
E02001968,Agree They Can Influence Decisions,,16.95%
E02001969,Agree They Can Influence Decisions,,30.77%
E02001970,Agree They Can Influence Decisions,,24.44%
E02001971,Agree They Can Influence Decisions,,33.33%
E02001972,Agree They Can Influence Decisions,,39.02%
E02001973,Agree They Can Influence Decisions,,32.86%
E02001974,Agree They Can Influence Decisions,,38.98%
E02001975,Agree They Can Influence Decisions,,45.00%
E02001976,Agree They Can Influence Decisions,,28.95%
E02001977,Agree They Can Influence Decisions,,30.71%
E02001978,Agree They Can Influence Decisions,,19.61%
E02001979,Agree They Can Influence Decisions,,45.28%
E02001980,Agree They Can Influence Decisions,,27.87%
E02001981,Agree They Can Influence Decisions,,19.70%
E02001982,Agree They Can Influence Decisions,,26.09%
E02001983,Agree They Can Influence Decisions,,29.27%
E02001984,Agree They Can Influence Decisions,,64.38%
E02001985,Agree They Can Influence Decisions,,34.44%
E02001986,Agree They Can Influence Decisions,,32.35%
E02001987,Agree They Can Influence Decisions,,41.67%
E02001988,Agree They Can Influence Decisions,,17.65%
E02001989,Agree They Can Influence Decisions,,41.07%
E02001990,Agree They Can Influence Decisions,,30.61%
E02001991,Agree They Can Influence Decisions,,48.28%
E02001992,Agree They Can Influence Decisions,,20.31%
E02001993,Agree They Can Influence Decisions,,66.67%
E02001994,Agree They Can Influence Decisions,,23.38%
E02001995,Agree They Can Influence Decisions,,16.18%
E02001996,Agree They Can Influence Decisions,,21.52%
