MSOA,Attribute,Value,%
E02001958,Adults 15+ estimate 2018,6717,2.32%
E02001958,Household estimate 2018,3687,2.54%
E02001958,Population estimate 2018,8363,2.34%
E02001958,Segmentation_Audience Spectrum_Metro-culturals,0,0.00%
E02001958,Segmentation_Audience Spectrum_Commuter-land Culturebuffs,0,0.00%
E02001958,Segmentation_Audience Spectrum_Experience Seekers,164,2.46%
E02001958,Segmentation_Audience Spectrum_Dormitory Dependables,234,3.50%
E02001958,Segmentation_Audience Spectrum_Trips & Treats,1637,24.52%
E02001958,Segmentation_Audience Spectrum_Home & Heritage,92,1.38%
E02001958,Segmentation_Audience Spectrum_Up Our Street,2187,32.75%
E02001958,Segmentation_Audience Spectrum_Facebook Families,1463,21.91%
E02001958,Segmentation_Audience Spectrum_Kaleidoscope Creativity,518,7.76%
E02001958,Segmentation_Audience Spectrum segment_Heydays,382,5.72%
E02001958,Segmentation_Audience Spectrum_Adults 15+ estimate 2018,6677,
E02001958,Segmentation_MOSAIC_A City Prosperity ,0,0.00%
E02001958,Segmentation_MOSAIC_B Prestige Positions ,0,0.00%
E02001958,Segmentation_MOSAIC_C Country Living ,0,0.00%
E02001958,Segmentation_MOSAIC_D Rural Reality ,0,0.00%
E02001958,Segmentation_MOSAIC_E Senior Security ,210,3.13%
E02001958,Segmentation_MOSAIC_F Suburban Stability ,49,0.73%
E02001958,Segmentation_MOSAIC_G Domestic Success ,131,1.95%
E02001958,Segmentation_MOSAIC_H Aspiring Homemakers ,847,12.61%
E02001958,Segmentation_MOSAIC_I Family Basics ,1016,15.13%
E02001958,Segmentation_MOSAIC_J Transient Renters ,1383,20.59%
E02001958,Segmentation_MOSAIC_K Municipal Tenants,215,3.20%
E02001958,Segmentation_MOSAIC_L Vintage Value ,443,6.60%
E02001958,Segmentation_MOSAIC_M Modest Traditions ,1788,26.62%
E02001958,Segmentation_MOSAIC_N Urban Cohesion ,137,2.04%
E02001958,Segmentation_MOSAIC_O Rental Hubs ,498,7.41%
E02001958,Segmentation_MOSAIC_U Unclassified,0,0.00%
E02001958,Segmentation_MOSAIC 6 Group (Adults 15+)_Adults 15+ estimate 2018,6717,
E02001958,TGI-Leisure_Art galleries,1379,20.53%
E02001958,TGI-Leisure_Art gallery once a month or more,45,0.67%
E02001958,TGI-Leisure_Ballet,507,7.55%
E02001958,TGI-Leisure_Classical concerts,651,9.69%
E02001958,TGI-Leisure_Comedy Shows,1511,22.50%
E02001958,TGI-Leisure_Contemp-orary dance,414,6.16%
E02001958,TGI-Leisure_Jazz concerts,453,6.74%
E02001958,TGI-Leisure_Opera,356,5.30%
E02001958,TGI-Leisure_Plays,1537,22.88%
E02001958,TGI-Leisure_Popular/rock concert,2287,34.05%
E02001958,TGI-Leisure_Theatre,2296,34.18%
E02001958,TGI-Leisure_Theatre once a month or more,113,1.68%
E02001958,TGI-Leisure_Museums,1350,20.10%
E02001958,TGI-Leisure_Archaeological sites,290,4.32%
E02001958,TGI-Leisure_Stately homes/ castles,1231,18.33%
E02001958,TGI-Leisure_Cinema_Ever go to the cinema,5013,74.63%
E02001958,TGI-Leisure_Cinema_Go every two or three months,927,13.80%
E02001958,TGI-Leisure_Cinema_Go once or more a month,860,12.80%
E02001958,TGI-Leisure_Cinema_Never go,1704,25.37%
E02001958,TGI-Leisure_Adults 15+ estimate 2018,6717,
E02001958,TGI-Media_Daily Express,110,1.64%
E02001958,TGI-Media_Daily Mail,229,3.41%
E02001958,TGI-Media_Daily Mirror,119,1.77%
E02001958,TGI-Media_Daily Record,8,0.12%
E02001958,TGI-Media_Daily Star,107,1.59%
E02001958,TGI-Media_Daily Telegraph,52,0.77%
E02001958,TGI-Media_Financial Times,15,0.22%
E02001958,TGI-Media_The Guardian,57,0.85%
E02001958,TGI-Media_i (newspaper),48,0.71%
E02001958,TGI-Media_The Sun,415,6.18%
E02001958,TGI-Media_The Times,67,1.00%
E02001958,TGI-Media_Adults 15+ estimate 2018,6717,
E02001958,AFD-All_Number of Bookers,997,2.00%
E02001958,AFD-All_Tickets Issued,8501,1.83%
E02001958,AFD-All_No of venues visited_1,723,2.14%
E02001958,AFD-All_No of venues visited_2,173,1.77%
E02001958,AFD-All_No of venues visited_3,62,1.71%
E02001958,AFD-All_No of venues visited_4,20,1.40%
E02001958,AFD-All_No of venues visited_5,14,2.30%
E02001958,AFD-All_No of venues visited_6,3,1.13%
E02001958,AFD-All_No of venues visited_7,1,0.75%
E02001958,AFD-All_No of venues visited_8,0,0.00%
E02001958,AFD-All_No of venues visited_9,1,2.44%
E02001958,AFD-All_No of venues visited_10,0,0.00%
E02001958,AFD-All_No of venues visited_More than 10,0,0.00%
E02001958,AFD-All_No of venues visited_Average,1.44332999,144.33%
E02001958,AFD-All_Bookers per artform_Children/Family,161,2.03%
E02001958,AFD-All_Bookers per artform_Christmas Show,195,2.01%
E02001958,AFD-All_Bookers per artform_Contemporary Visual Arts,3,1.53%
E02001958,AFD-All_Bookers per artform_Dance,119,1.68%
E02001958,AFD-All_Bookers per artform_Film,39,0.77%
E02001958,AFD-All_Bookers per artform_General Entertainment,209,1.93%
E02001958,AFD-All_Bookers per artform_Literature,4,1.32%
