MSOA,Attribute,Value,%,DupValues+.01
E02001967,% ethnic minority,5,5%,0.05
E02001980,% ethnic minority,5,5%,0.06
E02001982,% ethnic minority,6,6%,0.06
E02001979,% ethnic minority,7,7%,0.07
E02001986,% ethnic minority,9,9%,0.09
E02001989,% ethnic minority,9,9%,0.1
E02001971,% ethnic minority,12,12%,0.12
E02001983,% ethnic minority,12,12%,0.13
E02001974,% ethnic minority,13,13%,0.13
E02001991,% ethnic minority,14,14%,0.14
E02001963,% ethnic minority,15,15%,0.15
E02001970,% ethnic minority,17,17%,0.17
E02001995,% ethnic minority,17,17%,0.18
E02001965,% ethnic minority,18,18%,0.18
E02001990,% ethnic minority,18,18%,0.19
E02001996,% ethnic minority,18,18%,0.19
E02001975,% ethnic minority,20,20%,0.2
E02001993,% ethnic minority,20,20%,0.21
E02001984,% ethnic minority,22,22%,0.22
E02001959,% ethnic minority,23,23%,0.23
E02001969,% ethnic minority,23,23%,0.24
E02001987,% ethnic minority,23,23%,0.24
E02001992,% ethnic minority,23,23%,0.24
E02001958,% ethnic minority,24,24%,0.24
E02001961,% ethnic minority,24,24%,0.25
E02001964,% ethnic minority,24,24%,0.25
E02001976,% ethnic minority,24,24%,0.25
E02001998,% ethnic minority,24,24%,0.25
E02001997,% ethnic minority,26,26%,0.26
E02001994,% ethnic minority,27,27%,0.27
E02001978,% ethnic minority,31,31%,0.31
E02001973,% ethnic minority,32,32%,0.32
E02001977,% ethnic minority,32,32%,0.33
E02006805,% ethnic minority,32,32%,0.33
E02001999,% ethnic minority,35,35%,0.35
E02001988,% ethnic minority,36,36%,0.36
E02001968,% ethnic minority,38,38%,0.38
E02001985,% ethnic minority,39,39%,0.39
E02001962,% ethnic minority,45,45%,0.45
E02001981,% ethnic minority,59,59%,0.59
E02001972,% ethnic minority,69,69%,0.69
E02001966,% ethnic minority,77,77%,0.77
E02001991,Adult Skills Sub-domain Score,0.140034808,,0.140034808
E02001998,Adult Skills Sub-domain Score,0.191280081,,0.191280081
E02001999,Adult Skills Sub-domain Score,0.19609704,,0.19609704
E02001997,Adult Skills Sub-domain Score,0.207036689,,0.207036689
E02001987,Adult Skills Sub-domain Score,0.21317817,,0.21317817
E02001980,Adult Skills Sub-domain Score,0.234212682,,0.234212682
E02001979,Adult Skills Sub-domain Score,0.234419659,,0.234419659
E02001982,Adult Skills Sub-domain Score,0.237757385,,0.237757385
