identifier	label	shortLabel	measurementUnitIdentifier	Metadata	SubCategoryID	Subcategory	CategoryID	Category	Source
10255	Gross value added (GVA) per head generated in the area	GVA per head	Ratio_GBP_per_person	https://id.esd.org.uk/metricType/10255	101	Supporting businesses to grow	100	Globally connected	LGInformPlus
4144	Trend of changes in business rateable value	Trend of changes in business rateable value	Other_Index	https://id.esd.org.uk/metricType/4144	101	Supporting businesses to grow	100	Globally connected	LGInformPlus
4142	Total rateable value (local rating lists) in an area	Total rateable value	Quantity_1000000_pounds	https://id.esd.org.uk/metricType/4142	101	Supporting businesses to grow	100	Globally connected	LGInformPlus
202	Non domestic rates collected as percentage non domestic rates due	NDR collection rate	Ratio_Percentage	https://id.esd.org.uk/metricType/202	101	Supporting businesses to grow	100	Globally connected	LGInformPlus
186	Number of active enterprises	Number of active enterprises	Quantity_Enterprises	https://id.esd.org.uk/metricType/186	101	Supporting businesses to grow	100	Globally connected	LGInformPlus
49	Overall employment rate (working-age)	Employment rate	Ratio_Percentage	https://id.esd.org.uk/metricType/49	105	Helping local people into jobs	100	Globally connected	LGInformPlus
97	Population - Percent of people of working age who are unemployed	Unemployed rate	Ratio_Percentage	https://id.esd.org.uk/metricType/97	105	Helping local people into jobs	100	Globally connected	LGInformPlus
11	"Percentage of 16 to 18 year olds who are not in education, employment or training (NEET)"	NEETs (16-18 year olds)	Ratio_Percentage	https://id.esd.org.uk/metricType/11	105	Helping local people into jobs	100	Globally connected	LGInformPlus
1529	Population aged 19-64 for males and 19-59 for females qualified to at least Level 4 or higher - percentage of ONS population count	Level 4 & above per cent	Ratio_Percentage	https://id.esd.org.uk/metricType/1529	105	Helping local people into jobs	100	Globally connected	LGInformPlus
3475	Median gross annual pay of employees by residence (resident base)	Median gross annual pay of employees by residence	Other_Median	https://id.esd.org.uk/metricType/3475	107	Reducing the impact of poverty	100	Globally connected	LGInformPlus
4274	Trend of changes in the council tax base	Trend of changes in the council tax base	Other_Index	https://id.esd.org.uk/metricType/4274	106	"Supply, choice and quality of housing"	100	Globally connected	LGInformPlus
3549	Total amount of Council Tax in an area	Total amount of Council Tax in an area	Quantity_1000_pounds	https://id.esd.org.uk/metricType/3549	106	"Supply, choice and quality of housing"	100	Globally connected	LGInformPlus
3540	Number of chargeable dwellings - Total	Dwellings Total	Quantity_Dwellings	https://id.esd.org.uk/metricType/3540	106	"Supply, choice and quality of housing"	100	Globally connected	LGInformPlus
3532	Number of chargeable dwellings - Council Tax band A	Dwellings Band A	Quantity_Dwellings	https://id.esd.org.uk/metricType/3532	106	"Supply, choice and quality of housing"	100	Globally connected	LGInformPlus
3533	Number of chargeable dwellings - Council Tax band B	Dwellings Band B	Quantity_Dwellings	https://id.esd.org.uk/metricType/3533	106	"Supply, choice and quality of housing"	100	Globally connected	LGInformPlus
3534	Number of chargeable dwellings - Council Tax band C	Dwellings Band C	Quantity_Dwellings	https://id.esd.org.uk/metricType/3534	106	"Supply, choice and quality of housing"	100	Globally connected	LGInformPlus
3535	Number of chargeable dwellings - Council Tax band D	Dwellings Band D	Quantity_Dwellings	https://id.esd.org.uk/metricType/3535	106	"Supply, choice and quality of housing"	100	Globally connected	LGInformPlus
3536	Number of chargeable dwellings - Council Tax band E	Dwellings Band E	Quantity_Dwellings	https://id.esd.org.uk/metricType/3536	106	"Supply, choice and quality of housing"	100	Globally connected	LGInformPlus
3537	Number of chargeable dwellings - Council Tax band F	Dwellings Band F	Quantity_Dwellings	https://id.esd.org.uk/metricType/3537	106	"Supply, choice and quality of housing"	100	Globally connected	LGInformPlus
3538	Number of chargeable dwellings - Council Tax band G	Dwellings Band G	Quantity_Dwellings	https://id.esd.org.uk/metricType/3538	106	"Supply, choice and quality of housing"	100	Globally connected	LGInformPlus
3539	Number of chargeable dwellings - Council Tax band H	Dwellings Band H	Quantity_Dwellings	https://id.esd.org.uk/metricType/3539	106	"Supply, choice and quality of housing"	100	Globally connected	LGInformPlus
200	Council tax collected as a percentage of council tax due	Council tax collection rate	Ratio_Percentage	https://id.esd.org.uk/metricType/200	106	"Supply, choice and quality of housing"	100	Globally connected	LGInformPlus
39	Principal roads where maintenance should be considered	Principal roads where maintenance should be considered	Ratio_Percentage	https://id.esd.org.uk/metricType/39	201	"Create an attractive, cleaner and greener city"	200	Locally committed	LGInformPlus
