GeographyID,GeographyName,GeographyDescription,GeographyType,FamilyHub,PCD,OA11,LSOA11,MSOA,Ward,LTLA18CD,UTLA18CD,LAUA,CAUTH,REGION,CTRY,LAT,LONG,WestMidlandsPolice,WestMidlandsPoliceImpactAreas,PrimaryCareNetwork,CCG18CD
E92000001,England,,England,,,,,,,,,,,,,,,,,,
R0A,Manchester University NHS Foundation Trust,,Acute Trusts,,,,,,,,,,,,,,,,,,
R1F,Isle of Wight MH and Acute Trust,,Acute Trusts,,,,,,,,,,,,,,,,,,
R1H,Barts Health NHS Trust,,Acute Trusts,,,,,,,,,,,,,,,,,,
R1K,London North West Healthcare NHS Trust,,Acute Trusts,,,,,,,,,,,,,,,,,,
RA2,Royal Surrey County Hospital NHS Foundation Trust,,Acute Trusts,,,,,,,,,,,,,,,,,,
RA3,Weston Area Health NHS Trust,,Acute Trusts,,,,,,,,,,,,,,,,,,
RA4,Yeovil District Hospital NHS Foundation Trust,,Acute Trusts,,,,,,,,,,,,,,,,,,
RA7,University Hospitals Bristol NHS Foundation Trust,,Acute Trusts,,,,,,,,,,,,,,,,,,
RA9,Torbay and South Devon NHS Foundation Trust,,Acute Trusts,,,,,,,,,,,,,,,,,,
RAE,Bradford Teaching Hospitals NHS Foundation Trust,,Acute Trusts,,,,,,,,,,,,,,,,,,
RAJ,Southend University Hospital NHS Foundation Trust,,Acute Trusts,,,,,,,,,,,,,,,,,,
RAL,Royal Free London NHS Foundation Trust,,Acute Trusts,,,,,,,,,,,,,,,,,,
RAN,Royal National Orthopaedic Hospital NHS Trust,,Acute Trusts,,,,,,,,,,,,,,,,,,
RAP,North Middlesex University Hospital NHS Trust,,Acute Trusts,,,,,,,,,,,,,,,,,,
RAS,The Hillingdon Hospitals NHS Foundation Trust,,Acute Trusts,,,,,,,,,,,,,,,,,,
RAX,Kingston Hospital NHS Foundation Trust,,Acute Trusts,,,,,,,,,,,,,,,,,,
RBA,Taunton and Somerset NHS Foundation Trust,,Acute Trusts,,,,,,,,,,,,,,,,,,
RBD,Dorset County Hospital NHS Foundation Trust,,Acute Trusts,,,,,,,,,,,,,,,,,,
RBK,Walsall Healthcare NHS Trust,,Acute Trusts,,,,,,,,,,,,,,,,,,
RBL,Wirral University Teaching Hospital NHS Foundation Trust,,Acute Trusts,,,,,,,,,,,,,,,,,,
RBN,St Helens and Knowsley Hospital Services NHS Trust,,Acute Trusts,,,,,,,,,,,,,,,,,,
RBQ,Liverpool Heart and Chest Hospital NHS Foundation Trust,,Acute Trusts,,,,,,,,,,,,,,,,,,
RBS,Alder Hey Children's NHS Foundation Trust,,Acute Trusts,,,,,,,,,,,,,,,,,,
RBT,Mid Cheshire Hospitals NHS Foundation Trust,,Acute Trusts,,,,,,,,,,,,,,,,,,
RBV,The Christie NHS Foundation Trust,,Acute Trusts,,,,,,,,,,,,,,,,,,
RBZ,Northern Devon Healthcare NHS Trust,,Acute Trusts,,,,,,,,,,,,,,,,,,
RC1,Bedford Hospital NHS Trust,,Acute Trusts,,,,,,,,,,,,,,,,,,
RC9,Luton and Dunstable University Hospital NHS Foundation Trust,,Acute Trusts,,,,,,,,,,,,,,,,,,
RCB,York Teaching Hospital NHS Foundation Trust,,Acute Trusts,,,,,,,,,,,,,,,,,,
RCD,Harrogate and District NHS Foundation Trust,,Acute Trusts,,,,,,,,,,,,,,,,,,
RCF,Airedale NHS Foundation Trust,,Acute Trusts,,,,,,,,,,,,,,,,,,
RCU,Sheffield Children's NHS Foundation Trust,,Acute Trusts,,,,,,,,,,,,,,,,,,
RCX,"The Queen Elizabeth Hospital, King's Lynn, NHS Foundation Trust",,Acute Trusts,,,,,,,,,,,,,,,,,,
RD1,Royal United Hospitals Bath NHS Foundation Trust,,Acute Trusts,,,,,,,,,,,,,,,,,,
RD3,Poole Hospital NHS Foundation Trust,,Acute Trusts,,,,,,,,,,,,,,,,,,
RD8,Milton Keynes University Hospital NHS Foundation Trust,,Acute Trusts,,,,,,,,,,,,,,,,,,
RDD,Basildon and Thurrock University Hospitals NHS Foundation Trust,,Acute Trusts,,,,,,,,,,,,,,,,,,
RDE,East Suffolk and North Essex NHS Foundation Trust,,Acute Trusts,,,,,,,,,,,,,,,,,,
RDU,Frimley Health NHS Foundation Trust,,Acute Trusts,,,,,,,,,,,,,,,,,,
RDZ,The Royal Bournemouth and Christchurch Hospitals NHS Foundation Trust,,Acute Trusts,,,,,,,,,,,,,,,,,,
RE9,South Tyneside NHS Foundation Trust,,Acute Trusts,,,,,,,,,,,,,,,,,,
REF,Royal Cornwall Hospitals NHS Trust,,Acute Trusts,,,,,,,,,,,,,,,,,,
REM,Aintree University Hospital NHS Foundation Trust,,Acute Trusts,,,,,,,,,,,,,,,,,,
REN,The Clatterbridge Cancer Centre NHS Foundation Trust,,Acute Trusts,,,,,,,,,,,,,,,,,,
REP,Liverpool Women's NHS Foundation Trust,,Acute Trusts,,,,,,,,,,,,,,,,,,
RET,The Walton Centre NHS Foundation Trust,,Acute Trusts,,,,,,,,,,,,,,,,,,
RF4,"Barking, Havering and Redbridge University Hospitals NHS Trust",,Acute Trusts,,,,,,,,,,,,,,,,,,
RFF,Barnsley Hospital NHS Foundation Trust,,Acute Trusts,,,,,,,,,,,,,,,,,,
RFR,The Rotherham NHS Foundation Trust,,Acute Trusts,,,,,,,,,,,,,,,,,,
RFS,Chesterfield Royal Hospital NHS Foundation Trust,,Acute Trusts,,,,,,,,,,,,,,,,,,
RGM,Papworth Hospital NHS Foundation Trust,,Acute Trusts,,,,,,,,,,,,,,,,,,
RGN,North West Anglia NHS Foundation Trust,,Acute Trusts,,,,,,,,,,,,,,,,,,
RGP,James Paget University Hospitals NHS Foundation Trust,,Acute Trusts,,,,,,,,,,,,,,,,,,
RGR,West Suffolk NHS Foundation Trust,,Acute Trusts,,,,,,,,,,,,,,,,,,
RGT,Cambridge University Hospitals NHS Foundation Trust,,Acute Trusts,,,,,,,,,,,,,,,,,,
RH8,Royal Devon and Exeter NHS Foundation Trust,,Acute Trusts,,,,,,,,,,,,,,,,,,
RHM,University Hospital Southampton NHS Foundation Trust,,Acute Trusts,,,,,,,,,,,,,,,,,,
RHQ,Sheffield Teaching Hospitals NHS Foundation Trust,,Acute Trusts,,,,,,,,,,,,,,,,,,
RHU,Portsmouth Hospitals NHS Trust,,Acute Trusts,,,,,,,,,,,,,,,,,,
RHW,Royal Berkshire NHS Foundation Trust,,Acute Trusts,,,,,,,,,,,,,,,,,,
RJ1,Guy's and St Thomas' NHS Foundation Trust,,Acute Trusts,,,,,,,,,,,,,,,,,,
RJ2,Lewisham and Greenwich NHS Trust,,Acute Trusts,,,,,,,,,,,,,,,,,,
RJ6,Croydon Health Services NHS Trust,,Acute Trusts,,,,,,,,,,,,,,,,,,
RJ7,St George's University Hospitals NHS Foundation Trust,,Acute Trusts,,,,,,,,,,,,,,,,,,
RJC,South Warwickshire NHS Foundation Trust,,Acute Trusts,,,,,,,,,,,,,,,,,,
RJE,University Hospitals of North Midlands NHS Trust,,Acute Trusts,,,,,,,,,,,,,,,,,,
RJF,Burton Hospitals NHS Foundation Trust,,Acute Trusts,,,,,,,,,,,,,,,,,,
RJL,Northern Lincolnshire and Goole NHS Foundation Trust,,Acute Trusts,,,,,,,,,,,,,,,,,,
RJN,East Cheshire NHS Trust,,Acute Trusts,,,,,,,,,,,,,,,,,,
RJR,Countess of Chester Hospital NHS Foundation Trust,,Acute Trusts,,,,,,,,,,,,,,,,,,
RJZ,King's College Hospital NHS Foundation Trust,,Acute Trusts,,,,,,,,,,,,,,,,,,
RK5,Sherwood Forest Hospitals NHS Foundation Trust,,Acute Trusts,,,,,,,,,,,,,,,,,,
RK9,Plymouth Hospitals NHS Trust,,Acute Trusts,,,,,,,,,,,,,,,,,,
RKB,University Hospitals Coventry and Warwickshire NHS Trust,,Acute Trusts,,,,,,,,,,,,,,,,,,
RKE,Whittington Health NHS Trust,,Acute Trusts,,,,,,,,,,,,,,,,,,
RL1,The Robert Jones and Agnes Hunt Orthopaedic Hospital NHS Foundation Trust,,Acute Trusts,,,,,,,,,,,,,,,,,,
RL4,The Royal Wolverhampton NHS Trust,,Acute Trusts,,,,,,,,,,,,,,,,,,
RLN,City Hospitals Sunderland NHS Foundation Trust,,Acute Trusts,,,,,,,,,,,,,,,,,,
RLQ,Wye Valley NHS Trust,,Acute Trusts,,,,,,,,,,,,,,,,,,
RLT,George Eliot Hospital NHS Trust,,Acute Trusts,,,,,,,,,,,,,,,,,,
