identifier	label	shortLabel	measurementUnitIdentifier	Metadata	SubCategoryID	Subcategory	CategoryID	Category	Source
91900	Total number of prescribed antibiotic items per STAR-PU by quarter	Total number of prescribed antibiotic items per STAR-PU by quarter	People	https://fingertips.phe.org.uk/search/91900				GP	Fingertips 20190806
91904	Total number of prescribed antibiotic items per STAR-PU by quarter	Total number of prescribed antibiotic items per STAR-PU by quarter	People	https://fingertips.phe.org.uk/search/91904				CCG	Fingertips 20190806
92039	"C. difficile infection counts and 12-month rolling rates all cases, by CCG and month"	"C. difficile infection counts and 12-month rolling rates all cases, by CCG and month"	People	https://fingertips.phe.org.uk/search/92039				CCG	Fingertips 20190806
92040	"E. coli bacteraemia counts and 12-month rolling rates, by CCG and month"	"E. coli bacteraemia counts and 12-month rolling rates, by CCG and month"	People	https://fingertips.phe.org.uk/search/92040				CCG	Fingertips 20190806
92041	"MSSA bacteraemia cases counts and 12-month rolling rates, by CCG and month"	"MSSA bacteraemia cases counts and 12-month rolling rates, by CCG and month"	People	https://fingertips.phe.org.uk/search/92041				CCG	Fingertips 20190806
92081	"MSSA bacteraemia cases counts and 12-month rolling rates of hospital-onset, by reporting acute trust and month"	"MSSA bacteraemia cases counts and 12-month rolling rates of hospital-onset, by reporting acute trust and month"	People	https://fingertips.phe.org.uk/search/92081				Acute Trust	Fingertips 20190806
92193	"E. coli bacteraemia cases counts and 12-month rolling rates, by reporting acute trust and month"	"E. coli bacteraemia cases counts and 12-month rolling rates, by reporting acute trust and month"	People	https://fingertips.phe.org.uk/search/92193				Acute Trust	Fingertips 20190806
92350	"Twelve-month rolling percentage of prescribed antibiotic items from cephalosporin, quinolone and co-amoxiclav class"	"Twelve-month rolling percentage of prescribed antibiotic items from cephalosporin, quinolone and co-amoxiclav class"	People	https://fingertips.phe.org.uk/search/92350				CCG	Fingertips 20190806
92466	Rolling quarterly average proportion of E. coli blood specimens non-susceptible to ciprofloxacin; by quarter	Rolling quarterly average proportion of E. coli blood specimens non-susceptible to ciprofloxacin; by quarter	People	https://fingertips.phe.org.uk/search/92466				CCG	Fingertips 20190806
92519	Percentage of community E. coli (or coliform) urine specimens non-susceptible to trimethoprim; by quarter	Percentage of community E. coli (or coliform) urine specimens non-susceptible to trimethoprim; by quarter	People	https://fingertips.phe.org.uk/search/92519				CCG	Fingertips 20190806
92521	Percentage of community E. coli (or coliform) positive urine specimens non-susceptible to nitrofurantoin; by quarter	Percentage of community E. coli (or coliform) positive urine specimens non-susceptible to nitrofurantoin; by quarter	People	https://fingertips.phe.org.uk/search/92521				CCG	Fingertips 20190806
92557	Rolling quarterly average proportion of E. coli blood specimens non-susceptible to gentamicin; by quarter	Rolling quarterly average proportion of E. coli blood specimens non-susceptible to gentamicin; by quarter	People	https://fingertips.phe.org.uk/search/92557				CCG	Fingertips 20190806
92558	Rolling quarterly average proportion of E. coli blood specimens resistant to piperacillin/tazobactam; by quarter	Rolling quarterly average proportion of E. coli blood specimens resistant to piperacillin/tazobactam; by quarter	People	https://fingertips.phe.org.uk/search/92558				CCG	Fingertips 20190806
92559	Rolling quarterly average proportion of E. coli blood specimens non-susceptible to 3rd generation cephalosporins; by quarter	Rolling quarterly average proportion of E. coli blood specimens non-susceptible to 3rd generation cephalosporins; by quarter	People	https://fingertips.phe.org.uk/search/92559				CCG	Fingertips 20190806
92602	Rolling quarterly average proportion of E. coli blood specimens non-susceptible to at least 3 of the key antimicrobials; by quarter	Rolling quarterly average proportion of E. coli blood specimens non-susceptible to at least 3 of the key antimicrobials; by quarter	People	https://fingertips.phe.org.uk/search/92602				CCG	Fingertips 20190806
92603	Rolling quarterly average proportion of E. coli blood specimens non-susceptible to any 1 of the key antimicrobials; by quarter	Rolling quarterly average proportion of E. coli blood specimens non-susceptible to any 1 of the key antimicrobials; by quarter	People	https://fingertips.phe.org.uk/search/92603				CCG	Fingertips 20190806
93004	"E. coli hospital-onset cases counts and 12-month rolling rates, by reporting acute trust and month"	"E. coli hospital-onset cases counts and 12-month rolling rates, by reporting acute trust and month"	People	https://fingertips.phe.org.uk/search/93004				Acute Trust	Fingertips 20190806
93005	"E. coli bacteraemia cases counts and 12-month rolling rates of community-onset, by reporting acute trust and month"	"E. coli bacteraemia cases counts and 12-month rolling rates of community-onset, by reporting acute trust and month"	People	https://fingertips.phe.org.uk/search/93005				Acute Trust	Fingertips 20190806
93006	"E. coli bacteraemia counts and 12-month rolling rates of hospital-onset, by CCG and month"	"E. coli bacteraemia counts and 12-month rolling rates of hospital-onset, by CCG and month"	People	https://fingertips.phe.org.uk/search/93006				CCG	Fingertips 20190806
93007	"E. coli bacteraemia counts and 12-month rolling rates of community-onset, by CCG and month"	"E. coli bacteraemia counts and 12-month rolling rates of community-onset, by CCG and month"	People	https://fingertips.phe.org.uk/search/93007				CCG	Fingertips 20190806
93042	Four quarter rolling rate of total antibiotic prescribing per 1000 admissions; by acute trust	Four quarter rolling rate of total antibiotic prescribing per 1000 admissions; by acute trust	People	https://fingertips.phe.org.uk/search/93042				Acute Trust	Fingertips 20190806
