identifier,label,startDate,endDate,periodTypeIdentifier,periodSource
2016/17 Q3,2016/17 Q3,01/10/2016,31/12/2016,quarter,Fingertips
2016/17 Q4,2016/17 Q4,01/01/2017,31/03/2017,quarter,Fingertips
2017/18 Q1,2017/18 Q1,01/04/2017,30/06/2017,quarter,Fingertips
2017/18 Q2,2017/18 Q2,01/07/2017,30/09/2017,quarter,Fingertips
2017/18 Q3,2017/18 Q3,01/10/2017,31/12/2017,quarter,Fingertips
2017/18 Q4,2017/18 Q4,01/01/2018,31/03/2018,quarter,Fingertips
2018/19 Q1,2018/19 Q1,01/04/2018,30/06/2018,quarter,Fingertips
2018/19 Q2,2018/19 Q2,01/07/2018,30/09/2018,quarter,Fingertips
2018/19 Q3,2018/19 Q3,01/10/2018,31/12/2018,quarter,Fingertips
2018/19 Q4,2018/19 Q4,01/01/2019,31/03/2019,quarter,Fingertips
2016 Q4,2016 Q4,01/10/2016,30/12/2016,quarter,Fingertips
2017 Q1,2017 Q1,01/01/2017,30/03/2017,quarter,Fingertips
2017 Q2,2017 Q2,01/04/2017,30/06/2017,quarter,Fingertips
2017 Q3,2017 Q3,01/07/2017,30/09/2017,quarter,Fingertips
2017 Q4,2017 Q4,01/10/2017,30/12/2017,quarter,Fingertips
2018 Q1,2018 Q1,01/01/2018,30/03/2018,quarter,Fingertips
2018 Q2,2018 Q2,01/04/2018,30/06/2018,quarter,Fingertips
2018 Q3,2018 Q3,01/07/2018,30/09/2018,quarter,Fingertips
2018 Q4,2018 Q4,01/10/2018,30/12/2018,quarter,Fingertips
2019 Q1,2019 Q1,01/01/2019,31/03/2019,quarter,Fingertips 20190806
Apr-17,Apr-17,01/04/2017,01/04/2017,date,Fingertips
May-17,May-17,01/05/2017,01/05/2017,date,Fingertips 20190806
Jun-17,Jun-17,01/06/2017,01/06/2017,date,Fingertips 20190806
Jul-17,Jul-17,01/07/2017,01/07/2017,date,Fingertips 20190806
Aug-17,Aug-17,01/08/2017,01/08/2017,date,Fingertips 20190806
Sep-17,Sep-17,01/09/2017,01/09/2017,date,Fingertips
Oct-17,Oct-17,01/10/2017,01/10/2017,date,Fingertips 20190806
Nov-17,Nov-17,01/11/2017,01/11/2017,date,Fingertips 20190806
Dec-17,Dec-17,01/12/2017,01/12/2017,date,Fingertips 20190806
Jan-18,Jan-18,01/01/2018,01/01/2018,date,Fingertips 20190806
Feb-18,Feb-18,01/02/2018,01/02/2018,date,Fingertips 20190806
Mar-18,Mar-18,01/03/2018,01/03/2018,date,Fingertips 20190806
Apr-18,Apr-18,01/04/2018,01/04/2018,date,Fingertips 20190806
May-18,May-18,01/05/2018,01/05/2018,date,Fingertips 20190806
Jun-18,Jun-18,01/06/2018,01/06/2018,date,Fingertips 20190806
Jul-18,Jul-18,01/07/2018,01/07/2018,date,Fingertips 20190806
Aug-18,Aug-18,01/08/2018,01/08/2018,date,Fingertips 20190806
Sep-18,Sep-18,01/09/2018,01/09/2018,date,Fingertips 20190806
Oct-18,Oct-18,01/10/2018,01/10/2018,date,Fingertips 20190806
Nov-18,Nov-18,01/11/2018,01/11/2018,date,Fingertips 20190806
Dec-18,Dec-18,01/12/2018,01/12/2018,date,Fingertips
Jan-19,Jan-19,01/01/2019,01/01/2019,date,Fingertips 20190806
Feb-19,Feb-19,01/02/2019,01/02/2019,date,Fingertips 20190806
Mar-19,Mar-19,01/03/2019,01/03/2019,date,Fingertips 20190806
Apr-19,Apr-19,01/04/2019,01/04/2019,date,Fingertips 20190806
May-19,May-19,01/05/2019,01/05/2019,date,Fingertips 20190806
Nov-14,Nov-14,01/11/2014,01/11/2014,date,Fingertips 20190806
Dec-14,Dec-14,01/12/2014,01/12/2014,date,Fingertips 20190806
Jan-15,Jan-15,01/01/2015,01/01/2015,date,Fingertips 20190806
Feb-15,Feb-15,01/02/2015,01/02/2015,date,Fingertips 20190806
Mar-15,Mar-15,01/03/2015,01/03/2015,date,Fingertips 20190806
Apr-15,Apr-15,01/04/2015,01/04/2015,date,Fingertips 20190806
May-15,May-15,01/05/2015,01/05/2015,date,Fingertips 20190806
Jun-15,Jun-15,01/06/2015,01/06/2015,date,Fingertips 20190806
Jul-15,Jul-15,01/07/2015,01/07/2015,date,Fingertips 20190806
Aug-15,Aug-15,01/08/2015,01/08/2015,date,Fingertips 20190806
Sep-15,Sep-15,01/09/2015,01/09/2015,date,Fingertips 20190806
Oct-15,Oct-15,01/10/2015,01/10/2015,date,Fingertips 20190806
Nov-15,Nov-15,01/11/2015,01/11/2015,date,Fingertips 20190806
Dec-15,Dec-15,01/12/2015,01/12/2015,date,Fingertips 20190806
Jan-16,Jan-16,01/01/2016,01/01/2016,date,Fingertips 20190806
Feb-16,Feb-16,01/02/2016,01/02/2016,date,Fingertips 20190806
Mar-16,Mar-16,01/03/2016,01/03/2016,date,Fingertips
Apr-16,Apr-16,01/04/2016,01/04/2016,date,Fingertips 20190806
May-16,May-16,01/05/2016,01/05/2016,date,Fingertips 20190806
Jun-16,Jun-16,01/06/2016,01/06/2016,date,Fingertips 20190806
Jul-16,Jul-16,01/07/2016,01/07/2016,date,Fingertips 20190806
Aug-16,Aug-16,01/08/2016,01/08/2016,date,Fingertips 20190806
Sep-16,Sep-16,01/09/2016,01/09/2016,date,Fingertips
Oct-16,Oct-16,01/10/2016,01/10/2016,date,Fingertips 20190806
Nov-16,Nov-16,01/11/2016,01/11/2016,date,Fingertips 20190806
Dec-16,Dec-16,01/12/2016,01/12/2016,date,Fingertips 20190806
Jan-17,Jan-17,01/01/2017,01/01/2017,date,Fingertips 20190806
Feb-17,Feb-17,01/02/2017,01/02/2017,date,Fingertips 20190806
Mar-17,Mar-17,01/03/2017,01/03/2017,date,Fingertips 20190806
Jan-14,Jan-14,01/01/2014,01/01/2014,date,Fingertips 20190806
Feb-14,Feb-14,01/02/2014,01/02/2014,date,Fingertips
Mar-14,Mar-14,01/03/2014,01/03/2014,date,Fingertips 20190806
Apr-14,Apr-14,01/04/2014,01/04/2014,date,Fingertips 20190806
May-14,May-14,01/05/2014,01/05/2014,date,Fingertips
Jun-14,Jun-14,01/06/2014,01/06/2014,date,Fingertips 20190806
Jul-14,Jul-14,01/07/2014,01/07/2014,date,Fingertips 20190806
Aug-14,Aug-14,01/08/2014,01/08/2014,date,Fingertips 20190806
Sep-14,Sep-14,01/09/2014,01/09/2014,date,Fingertips 20190806
Oct-14,Oct-14,01/10/2014,01/10/2014,date,Fingertips 20190806
Nov-14,Nov-14,01/11/2014,01/11/2014,date,Fingertips 20190806
Dec-14,Dec-14,01/12/2014,01/12/2014,date,Fingertips 20190806
Jan-15,Jan-15,01/01/2015,01/01/2015,date,Fingertips 20190806
Feb-15,Feb-15,01/02/2015,01/02/2015,date,Fingertips 20190806
Mar-15,Mar-15,01/03/2015,01/03/2015,date,Fingertips 20190806
Apr-15,Apr-15,01/04/2015,01/04/2015,date,Fingertips 20190806
May-15,May-15,01/05/2015,01/05/2015,date,Fingertips 20190806
Jun-15,Jun-15,01/06/2015,01/06/2015,date,Fingertips 20190806
Jul-15,Jul-15,01/07/2015,01/07/2015,date,Fingertips 20190806
Aug-15,Aug-15,01/08/2015,01/08/2015,date,Fingertips 20190806
Sep-15,Sep-15,01/09/2015,01/09/2015,date,Fingertips 20190806
Oct-15,Oct-15,01/10/2015,01/10/2015,date,Fingertips 20190806
Nov-15,Nov-15,01/11/2015,01/11/2015,date,Fingertips 20190806
Dec-15,Dec-15,01/12/2015,01/12/2015,date,Fingertips 20190806
Jan-16,Jan-16,01/01/2016,01/01/2016,date,Fingertips 20190806
Feb-16,Feb-16,01/02/2016,01/02/2016,date,Fingertips 20190806
Mar-16,Mar-16,01/03/2016,01/03/2016,date,Fingertips
Apr-16,Apr-16,01/04/2016,01/04/2016,date,Fingertips 20190806
May-16,May-16,01/05/2016,01/05/2016,date,Fingertips 20190806
Jun-16,Jun-16,01/06/2016,01/06/2016,date,Fingertips 20190806
Jul-16,Jul-16,01/07/2016,01/07/2016,date,Fingertips 20190806
Aug-16,Aug-16,01/08/2016,01/08/2016,date,Fingertips 20190806
Sep-16,Sep-16,01/09/2016,01/09/2016,date,Fingertips
Oct-16,Oct-16,01/10/2016,01/10/2016,date,Fingertips 20190806
Nov-16,Nov-16,01/11/2016,01/11/2016,date,Fingertips 20190806
Dec-16,Dec-16,01/12/2016,01/12/2016,date,Fingertips 20190806
Jan-17,Jan-17,01/01/2017,01/01/2017,date,Fingertips 20190806
Feb-17,Feb-17,01/02/2017,01/02/2017,date,Fingertips 20190806
Mar-17,Mar-17,01/03/2017,01/03/2017,date,Fingertips 20190806
Apr-17,Apr-17,01/04/2017,01/04/2017,date,Fingertips
May-17,May-17,01/05/2017,01/05/2017,date,Fingertips 20190806
Jun-17,Jun-17,01/06/2017,01/06/2017,date,Fingertips 20190806
Jul-17,Jul-17,01/07/2017,01/07/2017,date,Fingertips 20190806
Aug-17,Aug-17,01/08/2017,01/08/2017,date,Fingertips 20190806
Sep-17,Sep-17,01/09/2017,01/09/2017,date,Fingertips
Oct-17,Oct-17,01/10/2017,01/10/2017,date,Fingertips 20190806
Nov-17,Nov-17,01/11/2017,01/11/2017,date,Fingertips 20190806
Dec-17,Dec-17,01/12/2017,01/12/2017,date,Fingertips 20190806
Jan-18,Jan-18,01/01/2018,01/01/2018,date,Fingertips 20190806
Feb-18,Feb-18,01/02/2018,01/02/2018,date,Fingertips 20190806
Mar-18,Mar-18,01/03/2018,01/03/2018,date,Fingertips 20190806
Apr-18,Apr-18,01/04/2018,01/04/2018,date,Fingertips 20190806
May-18,May-18,01/05/2018,01/05/2018,date,Fingertips 20190806
Jun-18,Jun-18,01/06/2018,01/06/2018,date,Fingertips 20190806
Jul-18,Jul-18,01/07/2018,01/07/2018,date,Fingertips 20190806
Aug-18,Aug-18,01/08/2018,01/08/2018,date,Fingertips 20190806
Sep-18,Sep-18,01/09/2018,01/09/2018,date,Fingertips 20190806
Oct-18,Oct-18,01/10/2018,01/10/2018,date,Fingertips 20190806
Nov-18,Nov-18,01/11/2018,01/11/2018,date,Fingertips 20190806
Dec-18,Dec-18,01/12/2018,01/12/2018,date,Fingertips
Jan-19,Jan-19,01/01/2019,01/01/2019,date,Fingertips 20190806
Feb-19,Feb-19,01/02/2019,01/02/2019,date,Fingertips 20190806
Mar-19,Mar-19,01/03/2019,01/03/2019,date,Fingertips 20190806
2014 Q1,2014 Q1,01/01/2014,30/03/2014,quarter,Fingertips
2014 Q2,2014 Q2,01/04/2014,30/06/2014,quarter,Fingertips
2014 Q3,2014 Q3,01/07/2014,30/09/2014,quarter,Fingertips
2014 Q4,2014 Q4,01/10/2014,30/12/2014,quarter,Fingertips
2015 Q1,2015 Q1,01/01/2015,30/03/2015,quarter,Fingertips
2015 Q2,2015 Q2,01/04/2015,30/06/2015,quarter,Fingertips
2015 Q3,2015 Q3,01/07/2015,30/09/2015,quarter,Fingertips
2015 Q4,2015 Q4,01/10/2015,30/12/2015,quarter,Fingertips
