GeographyID,GeographyCode,PrimaryGrowth,SecondaryGrowth
E02001958,Coventry 001,-3,13
E02001959,Coventry 002,0,-1.5
E02001961,Coventry 004,51,0
E02001962,Coventry 005,34,0
E02001963,Coventry 006,-18,22
E02001964,Coventry 007,0,18
E02001965,Coventry 008,1,86.5
E02001966,Coventry 009,35,0
E02001967,Coventry 010,19,11.5
E02001968,Coventry 011,2,0
E02001969,Coventry 012,-18,0
E02001970,Coventry 013,-10,51
E02001971,Coventry 014,1,0
E02001972,Coventry 015,-3,69
E02001973,Coventry 016,-5,0
E02001974,Coventry 017,-31,0
E02001975,Coventry 018,-20,0
E02001976,Coventry 019,20,1
E02001977,Coventry 020,-12,36.5
E02001978,Coventry 021,-5,4
E02001979,Coventry 022,10,0
E02001980,Coventry 023,11,0
E02001981,Coventry 024,63,2.5
E02001982,Coventry 025,-4,0
E02001983,Coventry 026,3,0
E02001984,Coventry 027,-2,0
E02001985,Coventry 028,-5,50
E02001986,Coventry 029,-16,-39
E02001987,Coventry 030,9,0
E02001988,Coventry 031,-12,0
E02001989,Coventry 032,9,0
E02001990,Coventry 033,6,0
E02001991,Coventry 034,4,0
E02001992,Coventry 035,15.5,69.5
E02001993,Coventry 036,2,120
E02001994,Coventry 037,-7,0
E02001995,Coventry 038,34,-2
E02001996,Coventry 039,-1,0
E02001997,Coventry 040,-18,0
E02001998,Coventry 041,21,35
E02001999,Coventry 042,5,0
E02006805,Coventry 043,5,0
